topic	platform	surface	recommended_family	headline_rule	image_rule
burnout	instagram	instagram_feed_portrait	photo_full_bleed_emotional	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
burnout	facebook	facebook_feed	photo_full_bleed_emotional	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
burnout	linkedin	linkedin_feed_portrait	diagram_framework	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
burnout	pinterest	pinterest_pin	object_metaphor	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
burnout	x	x_image	photo_full_bleed_emotional	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
burnout	threads	threads_image	photo_full_bleed_emotional	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
burnout	bluesky	bluesky_image	photo_full_bleed_emotional	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
burnout	google_business	google_business_square	photo_full_bleed_emotional	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
burnout	tiktok_reels_shorts	tiktok_reels_shorts_vertical	faceless_video_broll	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
burnout	youtube_shorts	youtube_shorts	faceless_video_broll	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
overthinking	instagram	instagram_feed_portrait	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
overthinking	facebook	facebook_feed	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
overthinking	linkedin	linkedin_feed_portrait	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
overthinking	pinterest	pinterest_pin	object_metaphor	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
overthinking	x	x_image	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
overthinking	threads	threads_image	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
overthinking	bluesky	bluesky_image	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
overthinking	google_business	google_business_square	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
overthinking	tiktok_reels_shorts	tiktok_reels_shorts_vertical	faceless_video_broll	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
