rank	practice_id	inbox_alias	content_type	explicit_plan_refs	expected_appearances_per_1000_books_uniform_model	tier	note
1	lib34_meditations_07	med_07	meditations	4	44.1	1	flagship ch1 twelve-shape manifest names it (4 refs) — author frames FIRST
2	lib34_meditations_01	med_01	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
3	lib34_meditations_02	med_02	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
4	lib34_meditations_03	med_03	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
5	lib34_meditations_04	med_04	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
6	lib34_meditations_05	med_05	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
7	lib34_meditations_06	med_06	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
8	lib34_meditations_08	med_08	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
9	lib34_meditations_09	med_09	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
10	lib34_meditations_10	med_10	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
11	lib34_meditations_11	med_11	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
12	lib34_meditations_12	med_12	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
13	lib34_meditations_13	med_13	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
14	lib34_meditations_14	med_14	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
15	lib34_meditations_15	med_15	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
16	lib34_meditations_16	med_16	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
17	lib34_meditations_17	med_17	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
18	lib34_meditations_18	med_18	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
19	lib34_meditations_19	med_19	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
20	lib34_meditations_20	med_20	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
21	lib34_meditations_21	med_21	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
22	lib34_meditations_22	med_22	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
23	lib34_meditations_23	med_23	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
24	lib34_meditations_24	med_24	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
25	lib34_meditations_25	med_25	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
26	lib34_meditations_26	med_26	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
27	lib34_meditations_27	med_27	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
28	lib34_meditations_28	med_28	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
