locale,tier,brand_id,demographic,genre,series_id,series_index,title,title_status,localized_title,topic,teacher_id,manga_author,format,master_format,distribution_status,locale_origin,chapters_target,ai_disclosure_required,brand_primary_topic,brand_secondary_topics,target_platforms
ja_JP,flagship,cognitive_clarity,general,dark_fantasy,cognitive_clarity__ja_JP__dark_fantasy__series01,01,闇の紋章,filled,闇の紋章,overthinking,,水瀬 凪,bw_page_manga,bw_page_manga,distributed,jp,14,True,overthinking,imposter_syndrome|burnout|boundaries,bookwalker|comic_cmoa|line_manga_indies|amazon_kdp_comics
ja_JP,flagship,cognitive_clarity,general,dark_fantasy,cognitive_clarity__ja_JP__dark_fantasy__series02,02,影の継承者,filled,影の継承者,imposter_syndrome,,風花 楓,bw_page_manga,bw_page_manga,distributed,jp,14,True,overthinking,imposter_syndrome|burnout|boundaries,bookwalker|comic_cmoa|line_manga_indies|amazon_kdp_comics
ja_JP,flagship,cognitive_clarity,general,dark_fantasy,cognitive_clarity__ja_JP__dark_fantasy__series03,03,月食の密約,filled,月食の密約,burnout,,海原 静,bw_page_manga,bw_page_manga,distributed,jp,14,True,overthinking,imposter_syndrome|burnout|boundaries,bookwalker|comic_cmoa|line_manga_indies|amazon_kdp_comics
ja_JP,flagship,cognitive_clarity,general,psychological_thriller,cognitive_clarity__ja_JP__psychological_thriller__series01,01,鏡の迷宮,filled,鏡の迷宮,boundaries,,雪村 凪,bw_page_manga,bw_page_manga,distributed,jp,14,True,overthinking,imposter_syndrome|burnout|boundaries,bookwalker|comic_cmoa|line_manga_indies|amazon_kdp_comics
ja_JP,flagship,cognitive_clarity,general,psychological_thriller,cognitive_clarity__ja_JP__psychological_thriller__series02,02,虚像の遺言,filled,虚像の遺言,overthinking,,風花 静,bw_page_manga,bw_page_manga,distributed,jp,14,True,overthinking,imposter_syndrome|burnout|boundaries,bookwalker|comic_cmoa|line_manga_indies|amazon_kdp_comics
ja_JP,flagship,cognitive_clarity,general,psychological_thriller,cognitive_clarity__ja_JP__psychological_thriller__series03,03,偽りの双面,filled,偽りの双面,imposter_syndrome,,風花 楓,bw_page_manga,bw_page_manga,distributed,jp,14,True,overthinking,imposter_syndrome|burnout|boundaries,bookwalker|comic_cmoa|line_manga_indies|amazon_kdp_comics
ja_JP,flagship,cognitive_clarity,general,psychological_thriller,cognitive_clarity__ja_JP__psychological_thriller__series04,04,幻影の沙汰人,filled,幻影の沙汰人,burnout,,水瀬 蛍,bw_page_manga,bw_page_manga,distributed,jp,14,True,overthinking,imposter_syndrome|burnout|boundaries,bookwalker|comic_cmoa|line_manga_indies|amazon_kdp_comics
ja_JP,flagship,cognitive_clarity,general,psychological_thriller,cognitive_clarity__ja_JP__psychological_thriller__series05,05,断絶の肖像,filled,断絶の肖像,boundaries,,雪村 凪,bw_page_manga,bw_page_manga,distributed,jp,14,True,overthinking,imposter_syndrome|burnout|boundaries,bookwalker|comic_cmoa|line_manga_indies|amazon_kdp_comics
ja_JP,flagship,cognitive_clarity,general,sci_fi_cyberpunk,cognitive_clarity__ja_JP__sci_fi_cyberpunk__series01,01,電脳潜行者,filled,電脳潜行者,overthinking,,森川 優,color_vertical_webtoon,color_vertical_webtoon,distributed,jp,14,True,overthinking,imposter_syndrome|burnout|boundaries,line_manga_indies|bookwalker
ja_JP,flagship,cognitive_clarity,general,sci_fi_cyberpunk,cognitive_clarity__ja_JP__sci_fi_cyberpunk__series02,02,電脳叛逆者,filled,電脳叛逆者,imposter_syndrome,,白石 蛍,color_vertical_webtoon,color_vertical_webtoon,distributed,jp,14,True,overthinking,imposter_syndrome|burnout|boundaries,line_manga_indies|bookwalker
