lane,locale,brand,brand_locale_name,subject,persona,teacher,teacher_mode,title,subtitle,raw_score,normalized_score,listing_ready,format
book_script,ja_JP,warrior_calm,鉄門社,courage,first_responders,master_wu,true,ゆるがぬ勇気の手当て,勇気を抜けるための、ゆるがぬ日々への手引き — 現場の最前線へ,0.95,0.95,True,pearl_prime_12x10x5
book_script,ja_JP,sleep_restoration,夜の設計社,sleep_anxiety,healthcare_rns,master_sha,true,やすらかな睡眠の不安の手当て,睡眠の不安を抜けるための、やすらかな日々への手引き — 医療従事者へ,0.95,0.95,True,pearl_prime_12x10x5
book_script,ja_JP,body_memory,体記堂,grief,healthcare_rns,omote,true,抱きしめる喪失とかなしみとの対話,喪失とかなしみのあとに、抱きしめる静けさを取り戻す — 医療従事者へ,0.95,0.95,True,pearl_prime_12x10x5
book_script,ja_JP,body_memory,体記堂,somatic_healing,healthcare_rns,omote,true,身体の癒しのあとに、抱きしめる日々,抱きしめる暮らしへの、身体の癒し回復の手引き — 医療従事者へ,0.95,0.95,True,pearl_prime_12x10x5
book_script,ja_JP,cognitive_clarity,直見堂,overthinking,tech_finance_burnout,joshin,true,澄んだ考えすぎの手当て,考えすぎを抜けるための、澄んだ日々への手引き — テック・金融で働く人へ,0.93,0.93,True,pearl_prime_12x10x5
book_script,ja_JP,somatic_wisdom,体知社,somatic_healing,millennial_women_professionals,pamela_fellows,true,身体の癒しのあとに、からだに宿る日々,からだに宿る暮らしへの、身体の癒し回復の手引き — ミレニアル世代の女性へ,0.93,0.93,True,pearl_prime_12x10x5
book_script,ja_JP,somatic_wisdom,体知社,somatic_healing,healthcare_rns,pamela_fellows,true,からだに宿る身体の癒し回復の歩み,身体の癒しが止まらないときの、からだに宿る手引き — 医療従事者へ,0.93,0.93,True,pearl_prime_12x10x5
book_script,ja_JP,digital_ground,今此処社,financial_anxiety,gen_z_professionals,miki,true,お金への不安のあとに、落ち着いた日々,落ち着いた暮らしへの、お金への不安回復の手引き — Z世代の働き手へ,0.93,0.93,True,pearl_prime_12x10x5
book_script,ja_JP,digital_ground,今此処社,financial_anxiety,gen_z_student,miki,true,落ち着いたお金への不安との対話,お金への不安のあとに、落ち着いた静けさを取り戻す — Z世代の学生へ,0.93,0.93,True,pearl_prime_12x10x5
book_script,ja_JP,digital_ground,今此処社,financial_stress,gen_z_professionals,miki,true,落ち着いた経済的なストレス回復の歩み,経済的なストレスが止まらないときの、落ち着いた手引き — Z世代の働き手へ,0.93,0.93,True,pearl_prime_12x10x5
