locale,tier,brand_id,demographic,genre,series_id,series_index,title,title_status,localized_title,topic,teacher_id,manga_author,format,master_format,distribution_status,locale_origin,chapters_target,ai_disclosure_required,brand_primary_topic,brand_secondary_topics,target_platforms
fr_FR,flagship,cognitive_clarity,general,action_battle,cognitive_clarity__fr_FR__action_battle__series01,01,TBD,TBD,TBD,TBD,,TBD,color_vertical_webtoon,color_vertical_webtoon,distributed,fr,14,True,overthinking,imposter_syndrome|burnout|boundaries,webtoon_canvas|amazon_kdp_comics|globalcomix|kobo|apple_books
fr_FR,flagship,cognitive_clarity,general,dark_fantasy,cognitive_clarity__fr_FR__dark_fantasy__series01,01,TBD,TBD,TBD,TBD,,TBD,bw_page_manga,bw_page_manga,distributed,fr,14,True,overthinking,imposter_syndrome|burnout|boundaries,amazon_kdp_comics|globalcomix|kobo|apple_books
fr_FR,flagship,cognitive_clarity,general,dark_fantasy,cognitive_clarity__fr_FR__dark_fantasy__series02,02,TBD,TBD,TBD,TBD,,TBD,bw_page_manga,bw_page_manga,distributed,fr,14,True,overthinking,imposter_syndrome|burnout|boundaries,amazon_kdp_comics|globalcomix|kobo|apple_books
fr_FR,flagship,cognitive_clarity,general,historical_period,cognitive_clarity__fr_FR__historical_period__series01,01,TBD,TBD,TBD,TBD,,TBD,bw_page_manga,bw_page_manga,distributed,fr,14,True,overthinking,imposter_syndrome|burnout|boundaries,amazon_kdp_comics|globalcomix|kobo|apple_books
fr_FR,flagship,cognitive_clarity,general,iyashikei,cognitive_clarity__fr_FR__iyashikei__series01,01,TBD,TBD,TBD,TBD,,TBD,color_vertical_webtoon,color_vertical_webtoon,distributed,fr,14,True,overthinking,imposter_syndrome|burnout|boundaries,webtoon_canvas|amazon_kdp_comics|globalcomix|kobo|apple_books
fr_FR,flagship,cognitive_clarity,general,psychological_horror,cognitive_clarity__fr_FR__psychological_horror__series01,01,TBD,TBD,TBD,TBD,,TBD,bw_page_manga,bw_page_manga,distributed,fr,14,True,overthinking,imposter_syndrome|burnout|boundaries,amazon_kdp_comics|globalcomix|kobo|apple_books
fr_FR,flagship,cognitive_clarity,general,psychological_thriller,cognitive_clarity__fr_FR__psychological_thriller__series01,01,TBD,TBD,TBD,TBD,,TBD,bw_page_manga,bw_page_manga,distributed,fr,14,True,overthinking,imposter_syndrome|burnout|boundaries,amazon_kdp_comics|globalcomix|kobo|apple_books
fr_FR,flagship,cognitive_clarity,general,psychological_thriller,cognitive_clarity__fr_FR__psychological_thriller__series02,02,TBD,TBD,TBD,TBD,,TBD,bw_page_manga,bw_page_manga,distributed,fr,14,True,overthinking,imposter_syndrome|burnout|boundaries,amazon_kdp_comics|globalcomix|kobo|apple_books
fr_FR,flagship,cognitive_clarity,general,romance_josei_drama,cognitive_clarity__fr_FR__romance_josei_drama__series01,01,TBD,TBD,TBD,TBD,,TBD,color_vertical_webtoon,color_vertical_webtoon,distributed,fr,14,True,overthinking,imposter_syndrome|burnout|boundaries,webtoon_canvas|amazon_kdp_comics|globalcomix|kobo|apple_books
fr_FR,flagship,cognitive_clarity,general,school_coming_of_age,cognitive_clarity__fr_FR__school_coming_of_age__series01,01,TBD,TBD,TBD,TBD,,TBD,color_vertical_webtoon,color_vertical_webtoon,distributed,fr,14,True,overthinking,imposter_syndrome|burnout|boundaries,webtoon_canvas|amazon_kdp_comics|globalcomix|kobo|apple_books
