domain	research_claim_id	research_source	spec_source	pipeline_path	function_or_key	status	evidence	gap_type	next_action
genre_story	RC-GENRE-01	docs/GENRE_PORTFOLIO_PLAN.md	specs/AI_MANGA_PIPELINE_SUMMARY.md	phoenix_v4/manga/series/genre.py	build_genre_blueprint	partial	Minimal acts:3 blueprint; not craft bible ingestion	weak_enforcement	Bind craft bibles or keep hand-author as SSOT with honest labeling
genre_story	RC-GENRE-02	docs/GENRE_PORTFOLIO_PLAN.md	config/manga/story_engines.yaml	phoenix_v4/manga/qc/genre_engine_gate.py	evaluate_genre_engine	partial	Post-hoc BLOCKER for generic spines on governed genres	posthoc_only	Keep gate; add pre-write strategy coverage CI
genre_story	RC-GENRE-03	artifacts/research (genre portfolio lineage)	docs/MANGA_IMPLEMENTATION_OUTLINE.md	phoenix_v4/manga/series/story_architect.py	_generate_strategy_chapters|_BEAT_TEMPLATES	partial	Strategy banks when present else hardcoded templates	incomplete_coverage	Expand strategy banks per active genre family
selfhelp	RC-SH-01	docs/GENRE_PORTFOLIO_PLAN.md wellness map	specs/AI_MANGA_PIPELINE_SUMMARY.md	phoenix_v4/manga/story_strategy_loader.py	resolve_topic_strategy	partial	Optional topic→strategy_id pin when topic_strategy_map exists	no_fail_closed	Add fail-closed map coverage for catalog topics
selfhelp	RC-SH-02	docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md	specs/PHOENIX_V4_5_WRITER_SPEC.md STORY show-dont-teach	phoenix_v4/planning/enrichment_select.py	select_enrichment	wired	Book path only; EnrichmentGapError fail-closed	manga_disconnected	Do not claim manga inherits; optional bridge spec
selfhelp	RC-SH-03	docs/GENRE_PORTFOLIO_PLAN.md anti-facade	scripts/ci/check_manga_story_authored.py	scripts/ci/check_manga_story_authored.py	assert_story_authored	partial	Entry floor panels/stubs/teacher-name ban; not anti-lecture craft	entry_not_craft	Add overt-teaching lint for manga scripts
teacher	RC-T-01	PROGRAM_STATE ProPrime C	docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md	scripts/run_pipeline.py	--teacher / teacher_mode	wired	Book teacher enrichment+wrappers verified on main	n/a_book	Keep book path; separate manga vessel lane
teacher	RC-T-02	artifacts/manga/pilots/MANGA_MODE_WRAPPER_DESIGN.md	config/manga/manga_mode_vessels.yaml	phoenix_v4/manga/series/story_architect.py	apply_mode_vessel	partial	Wired when mode=teacher; diegetic vessel beats	default_dormant	Plumb mode through emit + series_plan
teacher	RC-T-03	SUBSYSTEM_AUTHORITY_MAP teacher_mode	specs/AI_MANGA_PIPELINE_SUMMARY.md	scripts/run_manga_pipeline.py	resolve_teacher_for_brand	partial	Stamps teacher_id identity; not doctrine embedding	identity_only	Do not equate brand teacher_id with teacher-mode
teacher	RC-T-04	M4 vessel doctrine	phoenix_v4/manga/series/emit.py	phoenix_v4/manga/series/emit.py	build_story_architecture_internal call	drift	emit passes genre_id+topic only; omits mode=	wiring_gap	Pass mode from series_plan into emit
music	RC-M-01	PROGRAM_STATE ProPrime D	docs/specs/MUSIC_MODE_BRAND_INTEGRATION_V1_SPEC.md	phoenix_v4/planning/music_overlay.py	plan_music_injection	wired	Book LYRIC/REFLECTION manuscript overlay	n/a_book	Keep book path
music	RC-M-02	docs/specs/MUSIC_MODE_MANGA_V1_SPEC.md	config/manga/manga_mode_vessels.yaml	phoenix_v4/manga/series/story_architect.py	apply_mode_vessel(mode=music)	partial	Vessel path exists; default emit omits mode	default_dormant	Plumb mode=music from series_plan
music	RC-M-03	MUSIC_MODE_MANGA_V1 pilot	artifacts/manga/chapter_scripts/ahjan_music__rena_vale__en_US__romance__the_shared_song_ep01/ep_001.yaml	artifacts/manga/chapter_scripts/.../ep_001.yaml	mode: music / vessel	partial	Hand-authored music pilot on main	unproven_at_bar	Blind craft review + catalog fan-out
music	RC-M-04	book music banks	phoenix_v4/rendering/music_manuscript_overlay.py	phoenix_v4/manga/	(none)	missing	Zero manga callers of book music manuscript overlay	fork_not_bridge	Document fork; do not dual-wire without spec
manga_integration	RC-MI-01	shared stealth teaching idea	docs/PEARL_PRIME_BOOK_SYSTEM_CANONICAL.md	scripts/run_manga_pipeline.py	emit_series_setup + run_chapter_dag	partial	Parallel entrypoint; never run_pipeline spine	fork	Ratify bridge-or-fork decision in Architect cap
manga_integration	RC-MI-02	bestseller story guide	docs/MANGA_BESTSELLER_STORY_WRITING_GUIDE.md	(absent)	(absent)	missing	File not on origin/main	ghost_doc	Land guide or remove index pointers
manga_integration	RC-MI-03	vision audit R2 hand-author truth	phoenix_v4/manga/qc/bestseller_gate.py	phoenix_v4/manga/chapter/writer_stub.py	_stage_writer default stub	partial	Automated substance often stub; craft=hand YAML	stub_default	Require authored handoff for production quality_profile
manga_integration	RC-MI-04	book four-piece chord	scripts/ci/check_canonical_pipeline_path.py	scripts/run_manga_pipeline.py	quality_profile name collision	contradicted	Manga quality_profile ≠ book spine+production+exercise-journeys chord	name_collision	Rename or document non-equivalence in manga CLI help
manga_integration	RC-MI-05	teaching atoms to writer	docs/MANGA_IMPLEMENTATION_OUTLINE.md	phoenix_v4/manga/chapter/writer.py	speech atoms / vessels	documented_only	Outline promise; not book enrichment atoms	aspirational	Either wire or mark outline aspirational explicitly
