locale,market,brand,brand_locale_name,title,subtitle,topic,persona,teacher_id,teacher_mode,runtime_format,duration_band,section_plan_id,variant_pool_size,bestseller_overlay_ref,selection_strategy,pipeline_route,readiness_status,required_source_atoms,required_registry_topic,output_target_path,notes,blockers,angle_id,motif_id,book_structure_id,journey_shape_id,variation_signature
ja_JP,japan,stillness_press,静心社,静かな集中の困難の手当て,集中の困難を抜けるための、静かな日々への手引き — 管理職のために,adhd_focus,corporate_managers,ahjan,true,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,ready,atoms/corporate_managers/anchored/adhd_focus/CANONICAL.txt;atoms/corporate_managers/adhd_focus/scene/CANONICAL.txt;atoms/corporate_managers/adhd_focus/depth/CANONICAL.txt;atoms/corporate_managers/adhd_focus/teacher/CANONICAL.txt,registry/adhd_focus.yaml,artifacts/books/ja_JP/stillness_press/adhd_focus_corporate_managers_ahjan.json,composite=0.76; angle_source=deterministic_topic_persona_hash,,HIDDEN_TRUTH,motif_choice,recognition_to_agency,scaffold_deepen,387c7764b9223c2fbf9b61686309251c
ja_JP,japan,stillness_press,静心社,集中の困難を超えて、静かな日々へ,集中の困難回復のための、しずかな歩み — ミレニアル世代の女性へ,adhd_focus,millennial_women_professionals,ahjan,true,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,ready,atoms/millennial_women_professionals/anchored/adhd_focus/CANONICAL.txt;atoms/millennial_women_professionals/adhd_focus/scene/CANONICAL.txt;atoms/millennial_women_professionals/adhd_focus/depth/CANONICAL.txt;atoms/millennial_women_professionals/adhd_focus/teacher/CANONICAL.txt,registry/adhd_focus.yaml,artifacts/books/ja_JP/stillness_press/adhd_focus_millennial_women_professionals_ahjan.json,composite=0.77; angle_source=deterministic_topic_persona_hash,,HIDDEN_TRUTH,motif_pattern,classic_linear,recognition_to_agency,69cf7662918ca55952445cc84b38dd2e
ja_JP,japan,stillness_press,静心社,集中の困難を超えて、静かな日々へ,集中の困難回復のための、しずかな歩み — テック・金融で働く人へ,adhd_focus,tech_finance_burnout,ahjan,true,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,ready,atoms/tech_finance_burnout/anchored/adhd_focus/CANONICAL.txt;atoms/tech_finance_burnout/adhd_focus/scene/CANONICAL.txt;atoms/tech_finance_burnout/adhd_focus/depth/CANONICAL.txt;atoms/tech_finance_burnout/adhd_focus/teacher/CANONICAL.txt,registry/adhd_focus.yaml,artifacts/books/ja_JP/stillness_press/adhd_focus_tech_finance_burnout_ahjan.json,composite=0.79; angle_source=deterministic_topic_persona_hash,,MAP_PROMISE,motif_choice,three_act,scaffold_deepen,f6266dc9018e79e9364054877d96eab8
ja_JP,japan,stillness_press,静心社,集中の困難のあとに、静かな日々,静かな暮らしへの、集中の困難回復の手引き — Z世代の働き手へ,adhd_focus,gen_z_professionals,ahjan,true,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,ready,atoms/gen_z_professionals/anchored/adhd_focus/CANONICAL.txt;atoms/gen_z_professionals/adhd_focus/scene/CANONICAL.txt;atoms/gen_z_professionals/adhd_focus/depth/CANONICAL.txt;atoms/gen_z_professionals/adhd_focus/teacher/CANONICAL.txt,registry/adhd_focus.yaml,artifacts/books/ja_JP/stillness_press/adhd_focus_gen_z_professionals_ahjan.json,composite=0.79; angle_source=deterministic_topic_persona_hash,,ONE_LEVER,motif_pattern,classic_linear,recognition_to_agency,79279939aeba51ccca866b394f359f6b
ja_JP,japan,stillness_press,静心社,静かな集中の困難の手当て,集中の困難を抜けるための、静かな日々への手引き — 現場の最前線へ,adhd_focus,first_responders,ahjan,true,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,ready,atoms/first_responders/anchored/adhd_focus/CANONICAL.txt;atoms/first_responders/adhd_focus/scene/CANONICAL.txt;atoms/first_responders/adhd_focus/depth/CANONICAL.txt;atoms/first_responders/adhd_focus/teacher/CANONICAL.txt,registry/adhd_focus.yaml,artifacts/books/ja_JP/stillness_press/adhd_focus_first_responders_ahjan.json,composite=0.76; angle_source=deterministic_topic_persona_hash,,WRONG_PROBLEM,motif_choice,recognition_to_agency,scaffold_deepen,a2a9bc772e762df7f24cc041b52838c0
ja_JP,japan,stillness_press,静心社,静かな集中の困難の手当て,集中の困難を抜けるための、静かな日々への手引き — 教える人へ,adhd_focus,educators,ahjan,true,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,ready,atoms/educators/anchored/adhd_focus/CANONICAL.txt;atoms/educators/adhd_focus/scene/CANONICAL.txt;atoms/educators/adhd_focus/depth/CANONICAL.txt;atoms/educators/adhd_focus/teacher/CANONICAL.txt,registry/adhd_focus.yaml,artifacts/books/ja_JP/stillness_press/adhd_focus_educators_ahjan.json,composite=0.76; angle_source=deterministic_topic_persona_hash,,MAP_PROMISE,motif_cost,three_act,linear_rise,052dca8ee007699f9c2aab82e4885aef
ja_JP,japan,stillness_press,静心社,集中の困難のあとに、静かな日々,静かな暮らしへの、集中の困難回復の手引き — 働く親へ,adhd_focus,working_parents,ahjan,true,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,ready,atoms/working_parents/anchored/adhd_focus/CANONICAL.txt;atoms/working_parents/adhd_focus/scene/CANONICAL.txt;atoms/working_parents/adhd_focus/depth/CANONICAL.txt;atoms/working_parents/adhd_focus/teacher/CANONICAL.txt,registry/adhd_focus.yaml,artifacts/books/ja_JP/stillness_press/adhd_focus_working_parents_ahjan.json,composite=0.76; angle_source=deterministic_topic_persona_hash,,MAP_PROMISE,motif_pattern,classic_linear,recognition_to_agency,ddf285e8104e042438660e645a29966c
ja_JP,japan,stillness_press,静心社,静かな集中の困難の手当て,集中の困難を抜けるための、静かな日々への手引き — 起業家へ,adhd_focus,entrepreneurs,ahjan,true,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,ready,atoms/entrepreneurs/anchored/adhd_focus/CANONICAL.txt;atoms/entrepreneurs/adhd_focus/scene/CANONICAL.txt;atoms/entrepreneurs/adhd_focus/depth/CANONICAL.txt;atoms/entrepreneurs/adhd_focus/teacher/CANONICAL.txt,registry/adhd_focus.yaml,artifacts/books/ja_JP/stillness_press/adhd_focus_entrepreneurs_ahjan.json,composite=0.76; angle_source=deterministic_topic_persona_hash,,HIDDEN_TRUTH,motif_cost,three_act,linear_rise,0620bb75bbb58e81836b431630be4e18
ja_JP,japan,stillness_press,静心社,静かな集中の困難回復の歩み,集中の困難が止まらないときの、静かな手引き — Z世代の学生へ,adhd_focus,gen_z_student,ahjan,true,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,ready,atoms/gen_z_student/anchored/adhd_focus/CANONICAL.txt;atoms/gen_z_student/adhd_focus/scene/CANONICAL.txt;atoms/gen_z_student/adhd_focus/depth/CANONICAL.txt;atoms/gen_z_student/adhd_focus/teacher/CANONICAL.txt,registry/adhd_focus.yaml,artifacts/books/ja_JP/stillness_press/adhd_focus_gen_z_student_ahjan.json,composite=0.76; angle_source=deterministic_topic_persona_hash,,ONE_LEVER,motif_pattern,linear_transformation,recognition_to_agency,96b71bc4b28d15d2fc18e3fcd190aeab
ja_JP,japan,stillness_press,静心社,不安のあとに、静かな日々,静かな暮らしへの、不安回復の手引き — 管理職のために,anxiety,corporate_managers,ahjan,true,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,ready,atoms/corporate_managers/anchored/anxiety/CANONICAL.txt;atoms/corporate_managers/anxiety/scene/CANONICAL.txt;atoms/corporate_managers/anxiety/depth/CANONICAL.txt;atoms/corporate_managers/anxiety/teacher/CANONICAL.txt,registry/anxiety.yaml,artifacts/books/ja_JP/stillness_press/anxiety_corporate_managers_ahjan.json,composite=0.84; angle_source=deterministic_topic_persona_hash,,WRONG_PROBLEM,motif_cost,linear_transformation,recognition_to_agency,158bac57db93a0414512ecb7ef569443
ja_JP,japan,stillness_press,静心社,不安のあとに、静かな日々,静かな暮らしへの、不安回復の手引き — ミレニアル世代の女性へ,anxiety,millennial_women_professionals,ahjan,true,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,ready,atoms/millennial_women_professionals/anchored/anxiety/CANONICAL.txt;atoms/millennial_women_professionals/anxiety/scene/CANONICAL.txt;atoms/millennial_women_professionals/anxiety/depth/CANONICAL.txt;atoms/millennial_women_professionals/anxiety/teacher/CANONICAL.txt,registry/anxiety.yaml,artifacts/books/ja_JP/stillness_press/anxiety_millennial_women_professionals_ahjan.json,composite=0.85; angle_source=deterministic_topic_persona_hash,,MAP_PROMISE,motif_choice,three_act,scaffold_deepen,784fd469bdc9a337c3f6ccc500d1113a
ja_JP,japan,stillness_press,静心社,不安のあとに、静かな日々,静かな暮らしへの、不安回復の手引き — テック・金融で働く人へ,anxiety,tech_finance_burnout,ahjan,true,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,ready,atoms/tech_finance_burnout/anchored/anxiety/CANONICAL.txt;atoms/tech_finance_burnout/anxiety/scene/CANONICAL.txt;atoms/tech_finance_burnout/anxiety/depth/CANONICAL.txt;atoms/tech_finance_burnout/anxiety/teacher/CANONICAL.txt,registry/anxiety.yaml,artifacts/books/ja_JP/stillness_press/anxiety_tech_finance_burnout_ahjan.json,composite=0.88; angle_source=deterministic_topic_persona_hash,,MAP_PROMISE,motif_pattern,classic_linear,recognition_to_agency,a67c9628ea1a48e7f70cbcdfb0bf5370
ja_JP,japan,stillness_press,静心社,静かな不安回復の歩み,不安が止まらないときの、静かな手引き — Z世代の働き手へ,anxiety,gen_z_professionals,ahjan,true,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,ready,atoms/gen_z_professionals/anchored/anxiety/CANONICAL.txt;atoms/gen_z_professionals/anxiety/scene/CANONICAL.txt;atoms/gen_z_professionals/anxiety/depth/CANONICAL.txt;atoms/gen_z_professionals/anxiety/teacher/CANONICAL.txt,registry/anxiety.yaml,artifacts/books/ja_JP/stillness_press/anxiety_gen_z_professionals_ahjan.json,composite=0.88; angle_source=deterministic_topic_persona_hash,,HIDDEN_TRUTH,motif_choice,three_act,linear_rise,0febbe08c6f39837a49e986978a460f2
ja_JP,japan,stillness_press,静心社,静かな不安との対話,不安のあとに、静かな静けさを取り戻す — 医療従事者へ,anxiety,healthcare_rns,ahjan,true,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,ready,atoms/healthcare_rns/anchored/anxiety/CANONICAL.txt;atoms/healthcare_rns/anxiety/scene/CANONICAL.txt;atoms/healthcare_rns/anxiety/depth/CANONICAL.txt;atoms/healthcare_rns/anxiety/teacher/CANONICAL.txt,registry/anxiety.yaml,artifacts/books/ja_JP/stillness_press/anxiety_healthcare_rns_ahjan.json,composite=0.85; angle_source=deterministic_topic_persona_hash,,HIDDEN_TRUTH,motif_pattern,classic_linear,recognition_to_agency,6479a2b94dd2ea1eb73d6f76f77e28da
ja_JP,japan,stillness_press,静心社,不安を超えて、静かな日々へ,不安回復のための、しずかな歩み — 現場の最前線へ,anxiety,first_responders,ahjan,true,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,ready,atoms/first_responders/anchored/anxiety/CANONICAL.txt;atoms/first_responders/anxiety/scene/CANONICAL.txt;atoms/first_responders/anxiety/depth/CANONICAL.txt;atoms/first_responders/anxiety/teacher/CANONICAL.txt,registry/anxiety.yaml,artifacts/books/ja_JP/stillness_press/anxiety_first_responders_ahjan.json,composite=0.84; angle_source=deterministic_topic_persona_hash,,HIDDEN_TRUTH,motif_choice,three_act,linear_rise,384a8ad3b29d004d453e078eb8a75a0f
ja_JP,japan,stillness_press,静心社,静かな不安の手当て,不安を抜けるための、静かな日々への手引き — 教える人へ,anxiety,educators,ahjan,true,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,ready,atoms/educators/anchored/anxiety/CANONICAL.txt;atoms/educators/anxiety/scene/CANONICAL.txt;atoms/educators/anxiety/depth/CANONICAL.txt;atoms/educators/anxiety/teacher/CANONICAL.txt,registry/anxiety.yaml,artifacts/books/ja_JP/stillness_press/anxiety_educators_ahjan.json,composite=0.84; angle_source=deterministic_topic_persona_hash,,MAP_PROMISE,motif_cost,linear_transformation,recognition_to_agency,a46777887d1285fb5d30134287996751
ja_JP,japan,stillness_press,静心社,静かな不安の手当て,不安を抜けるための、静かな日々への手引き — 働く親へ,anxiety,working_parents,ahjan,true,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,ready,atoms/working_parents/anchored/anxiety/CANONICAL.txt;atoms/working_parents/anxiety/scene/CANONICAL.txt;atoms/working_parents/anxiety/depth/CANONICAL.txt;atoms/working_parents/anxiety/teacher/CANONICAL.txt,registry/anxiety.yaml,artifacts/books/ja_JP/stillness_press/anxiety_working_parents_ahjan.json,composite=0.84; angle_source=deterministic_topic_persona_hash,,ONE_LEVER,motif_ground,recognition_to_agency,scaffold_deepen,7db47ff73eccb5ed7641fc8cca494091
ja_JP,japan,stillness_press,静心社,静かな不安の手当て,不安を抜けるための、静かな日々への手引き — 起業家へ,anxiety,entrepreneurs,ahjan,true,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,ready,atoms/entrepreneurs/anchored/anxiety/CANONICAL.txt;atoms/entrepreneurs/anxiety/scene/CANONICAL.txt;atoms/entrepreneurs/anxiety/depth/CANONICAL.txt;atoms/entrepreneurs/anxiety/teacher/CANONICAL.txt,registry/anxiety.yaml,artifacts/books/ja_JP/stillness_press/anxiety_entrepreneurs_ahjan.json,composite=0.84; angle_source=deterministic_topic_persona_hash,,HIDDEN_TRUTH,motif_ground,recognition_to_agency,scaffold_deepen,a38a64f44ac68c580060dcdce22e60c8
ja_JP,japan,stillness_press,静心社,静かな不安との対話,不安のあとに、静かな静けさを取り戻す — サンドイッチ世代へ,anxiety,gen_x_sandwich,ahjan,true,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,ready,atoms/gen_x_sandwich/anchored/anxiety/CANONICAL.txt;atoms/gen_x_sandwich/anxiety/scene/CANONICAL.txt;atoms/gen_x_sandwich/anxiety/depth/CANONICAL.txt;atoms/gen_x_sandwich/anxiety/teacher/CANONICAL.txt,registry/anxiety.yaml,artifacts/books/ja_JP/stillness_press/anxiety_gen_x_sandwich_ahjan.json,composite=0.84; angle_source=deterministic_topic_persona_hash,,MAP_PROMISE,motif_choice,three_act,linear_rise,2fc90062897c3aa090f5f13cfd38b0e1
