0	PEARL PRIME · EI
1	Pearl Prime
2	关于你的音乐的内容
3	Pearl Prime 如何在全球规模上创作图书、有声书、播客与漫画
4	献给 Pearl Prime 品牌总监网络中的音乐人
5	由 Pearl Prime · Enlightened Intelligence Publishing 呈现
6	概览
7	什么是 Music Mode？
8	Pearl Prime —— Enlightened Intelligence —— 是一套 AI 原生的出版系统。Music mode 是该平台上的一等品牌原型。
10	它创造什么
11	一本常规的 Pearl Prime 电子书 + 你的音乐插槽。你的数据决定配比 —— 你有歌词的地方便是歌词书，没有歌词的地方便是器乐自省书，两者共存于同一个品牌之中。教诲来自你自己的 bank（如果你授课）或 Pearl Prime composite。你的音乐留在你自己的渠道上；书则指向它。
13	它触达谁
14	横跨 12 个市场的 Z 世代与 Alpha 世代读者 —— 美国、日本、台湾、中国等等 —— 覆盖 KDP、Audible、Apple Books 和 Google Play。各地区版本经由 Pearl_Localization 保持对等。直接对读者言说，以作者之声。
16	它如何运作
17	确定性组装：你的调查问卷 + 试金石曲目 + 声音/技法画像，共同馈入一条 atom-bank 流水线。Pearl_Editor + Pearl_Writer 撰写对应 6 个新 slot pool 的 atom。这不是幻觉编造 —— 你的主题与声音将成为系统的永久记忆。
18	Pearl Prime · Enlightened Intelligence Publishing · Music Mode V1 + V2
20	知识库
21	你的声音，被撰写为 atom
22	Pearl Prime 为每位音乐人构建一个 musician_bank —— 你的主题、声音语域、疗愈意图、标志性手法、试金石作品。书，正是从这个 bank 写出来的。
23	6 个 slot pool 框定每一章
24	含歌词变体：
25	LYRIC_OPENING  —— 置于章首的你的歌词之声
26	LYRIC_CLOSING  —— 置于章尾的你的歌词之声
27	LYRIC_BESTSELLER_BEAT  —— 章节中段的一记歌词节拍
28	无歌词变体：
29	MUSIC_REFLECTION_OPENING  —— 自省式开场
30	MUSIC_REFLECTION_CLOSING  —— 自省式收尾
31	MUSIC_REFLECTION_BESTSELLER_BEAT  —— 章节中段节拍
32	+ INTRO_2P_TEMPLATE + CONCLUSION_2P_TEMPLATE
33	（以第二人称视角开启并收束每一本书）外加每个音乐插槽上一层第一人称、归属于音乐的包装
34	运作方式
36	入驻调查问卷
37	身份、主题、声音技法、试金石作品、疗愈意图、乐器、输出偏好、Music-Format（由数据派生）
39	Song-Kit 生成
40	Song-Kit 生成器依据入驻问卷草拟 atom；Pearl_Editor 审核并提升（Tier 1）
42	图书组装
43	atom 按确定性规则混入各章；以第二人称行文向读者言说；任何书发行前都会运行质量关卡
45	配套提示词（可选）
46	每本书一条内部 MusicGen 情绪提示词，供 brand-admin 套装使用 —— 并非交给读者的物件。音频渲染受 Phase-B 把关；你的音乐绝不会以文件形式分发。
47	Pearl Prime · Enlightened Intelligence Publishing · Music Mode V1 + V2
49	SONG-KIT 生成器
50	Song-Kit 生成器
51	一份完成的入驻问卷如何化为音乐人的第一套草稿 atom —— 无论是歌词型还是器乐型。
53	入驻问卷
54	音乐人完成「音乐自省调查问卷」：主题、声音技法、试金石作品、疗愈意图、乐器、输出偏好。
56	派生画像
57	survey_derivation.py 把入驻问卷转化为 profile、themes 和 voice_profile —— 生成器的条件化语境。
59	匹配主题家族
60	调查所得的主题被映射到 8 大家族中的一个或多个；每个家族提供一种歌词语域和一条器乐情绪提示。
62	配比：歌词型 + 器乐型
63	你的数据决定配比 —— 两者共存于同一个目录之中。含歌词 → 歌词 atom（Pearl_Writer）；无歌词 → MusicGen 情绪指令文本。V1 中不渲染任何音频。
65	每个 pool 草拟 3 个以上变体
66	atom 被草拟进现有的 6 个 slot pool；当每个 pool 达到 SPEC-739 规定的三个或以上变体下限时，该单元即告完成。
68	EI 审核 → 上线
69	Pearl_Editor 审核并提升（Tier 1）；G1–G8 多样性关卡 + 音乐归属/声音 lint 一并运行；注入方式保持不变。
70	YouTube → 赠品桥接（规范）：一首歌的视频经由邮箱关卡导向现有的 m1–m5 赠品 —— 属于获客链路；实时上传暂缓。
71	Pearl Prime · Enlightened Intelligence Publishing · Music Mode V1 + V2
73	主题家族
74	八大主题家族
75	穿越其中
76	艰难时节
77	陪你穿越最沉重时段的音乐。音乐人调查所得的主题会最先路由到这里。
78	复元与修复 —— 在耗竭之后重建自己
79	焦虑与不堪重负 —— 为狂奔的思绪寻一份更稳的节奏
80	悲伤与放手 —— 温柔地承载已逝之物
81	自我价值与羞耻 —— 卸下内心的那纸判决
82	重新立足
83	归返与希望
84	助你重新立足、找回自己的音乐。同样的八大家族为每一位音乐人路由。
85	静默的勇气 —— 微小却勇敢的举动；以边界守护自尊
86	临在与静定 —— 一呼一吸，回到身体
87	联结与归属 —— 让自己被看见的勇气
88	希望与新生 —— 漫漫长夜后的第一缕光
89	Pearl Prime · Enlightened Intelligence Publishing · Music Mode V1 + V2
91	参考套件
92	Ahjan —— 参考套件
93	它是什么
94	第零号套件
95	衡量未来所有音乐人套件的黄金标准范例。Brand id：ahjan_music。
96	Bank 位于 SOURCE_OF_TRUTH/musician_banks/ahjan/
97	在 music_brand_registry.yaml 中注册为 music-mode 品牌（38+）
98	端到端演示完整的 入驻问卷 → 生成器 → 6-pool 流程
99	衡量每个未来音乐人套件的黄金基准。
100	它如何被播种
101	复用，而非另起炉灶
102	Ahjan 早已作为一位老师存在，因此这套套件复用了那份声音 —— 无需新人设。非授课的音乐人同样欢迎加入：唯有音乐属于他们自己；教诲则取自 Pearl Prime composite。
103	以现有的 teacher_banks/ahjan/ 语料库为种子
104	13 位老师名册的锚点，如今延伸至音乐领域
105	profile、themes 和声音均派生自一份 Ahjan 入驻问卷
106	生成器草拟出六个音乐 slot pool
107	Pearl Prime · Enlightened Intelligence Publishing · Music Mode V1 + V2
109	图书变体
110	两类变体共存 —— 你的数据决定配比
111	变体 1
112	含歌词
113	歌词内容穿插于章节开篇、收尾以及一记章中节拍。你数据中的歌词素材越多，这部分在目录中的占比就越大。
