atom_path	classification	first_paragraph_excerpt	rewrite_priority
atoms/corporate_managers/adhd_focus/HOOK/CANONICAL.txt	SCENE_FIRST	Marcus is in the conference room at 2:40 PM, laptop open on item three of twelve, cursor blinking while his team waits in the hallway — his jaw is tight and forty minutes have disappeared inside his h	P1
atoms/corporate_managers/anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	"Your chest tightens before you even open the all-hands meeting invite. The calendar invite with ""restructuring discussion"" in the subject line does something your prefrontal cortex can't outthink. You"	P2
atoms/corporate_managers/boundaries/HOOK/CANONICAL.txt	SCENE_FIRST	Marcus is sitting on the edge of his bed at 11:47 PM, phone warm in his palm, thumbs hovering over a Slack thread from his direct report — he already knows he will answer before he finishes reading.	P0
atoms/corporate_managers/burnout/HOOK/CANONICAL.txt	SCENE_FIRST	Elena is at her kitchen table at 11:20 PM, corporate badge still on her bag, shoulders slumped over a cold dinner — she closed the quarterly review deck and felt nothing when the email said well done.	P1
atoms/corporate_managers/compassion_fatigue/HOOK/CANONICAL.txt	SCENE_FIRST	Elena closes her laptop in the home office at 9:15 PM, shoulders still braced from the 1:1 where her direct report cried about the divorce — she held space at work and now her chest has no room left f	P0
atoms/corporate_managers/courage/HOOK/CANONICAL.txt	SCENE_FIRST	James is standing outside his VP's office at 4:15 PM, folder against his chest, throat tight — everyone on the floor knows the direction is wrong and he is the only one who has not said it yet.	P1
atoms/corporate_managers/depression/HOOK/CANONICAL.txt	SCENE_FIRST	James stands in his new corner office on Monday morning, hands flat on the desk, staring at the promotion email on the monitor — his chest feels hollow where pride was supposed to land.	P0
atoms/corporate_managers/financial_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Marcus is in his home office after midnight, spreadsheet glowing, fingers frozen on the mortgage line — the model says fine and his chest says the floor could drop any quarter.	P1
atoms/corporate_managers/financial_stress/HOOK/CANONICAL.txt	SCENE_FIRST	Elena is at the dining table on Sunday night, pay stub and grocery receipt spread out, shoulders hunched — the package that felt like enough last year does not clear this month's math.	P1
atoms/corporate_managers/grief/HOOK/CANONICAL.txt	SCENE_FIRST	James sits in the empty bullpen on Friday afternoon, cardboard box on the desk, hands flat on the laminate — the reorg scattered his team and his chest is heavy in the quiet.	P1
atoms/corporate_managers/imposter_syndrome/HOOK/CANONICAL.txt	SCENE_FIRST	Elena is in the leadership offsite bathroom at 8:55 AM, adjusting her blazer, palms damp — twelve people report to her and she is still waiting for someone to revoke the seat.	P1
atoms/corporate_managers/overthinking/HOOK/CANONICAL.txt	SCENE_FIRST	Marcus is in his car in the parking garage at 6:30 PM, engine off, hands on the wheel — he is replaying skip-level feedback while twelve development plans sit untouched in his inbox.	P1
atoms/corporate_managers/self_worth/HOOK/CANONICAL.txt	SCENE_FIRST	James is at his desk when the performance portal refreshes, chair rolled back, chest hollow — the rating came back neutral and his sense of himself drained with the number.	P1
atoms/corporate_managers/sleep_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Elena is in bed at 12:40 AM, eyes open to the ceiling, fingers pressed into the sheet — she is replaying the 2 PM meeting where one sentence landed wrong and Tuesday will tell her the cost.	P1
atoms/corporate_managers/social_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Marcus is in the all-hands prep room before the town hall, coffee warming his hands, shoulders braced — he manages everyone else's feelings and his own throat will not open.	P1
atoms/corporate_managers/somatic_healing/HOOK/CANONICAL.txt	SCENE_FIRST	James is at his standing desk before morning standup, rolling his shoulders down once — they rise back toward his ears because straight has started to feel wrong.	P1
atoms/educators/anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Ms. Reyes is in the faculty lounge at 7:15 AM, coffee cooling, fingers pressed on the printed admin observation calendar — her chest is already tight three weeks before anyone walks into her classroom	P2
atoms/educators/boundaries/HOOK/CANONICAL.txt	SCENE_FIRST	It's 9:30pm and a parent's email lands in your personal phone. Your stomach contracts knowing you'll read it whether you want to.	P2
atoms/educators/burnout/HOOK/CANONICAL.txt	SCENE_FIRST	Elena is at her kitchen table on Sunday at 9 PM, lesson plan folder open, hands stopped above the page — she does not want to and she does not have anything left to give it.	P2
