row_id	claim	spec_source	citation_line_or_section	verdict	notes
1	Music mode produces 800 BOOKS per active brand (not songs)	docs/specs/MUSIC_MODE_BRAND_INTEGRATION_V1_SPEC.md	§4 "Catalog: 100% music mode" + §AMENDMENT-2026-05-09 §3 (Q3=800 baseline); cross-cap CATALOG-800-PER-BRAND-01 (PEARL_ARCHITECT_STATE.md line 629)	DISPUTED	Music spec §3 explicitly says "800 baseline books per active brand" with solo/standard/enterprise tier. CATALOG-800-PER-BRAND-01 (ratified 2026-05-06) says "800 is system-wide total not per-brand". CROSS-CAP CONTRADICTION on main; surface in spec §2 + flag Q-MM-V2-CATALOG-800-RECONCILE-01 for operator. RECOMMEND: music spec wins for music-mode catalog scope (intra-mode); CATALOG-800-PER-BRAND-01 reframes Pearl-Prime-overall books-system. Spec §2 amendment block proposed.
2	One MusicGen companion prompt PER BOOK for brand-admin packaging	docs/PEARL_ARCHITECT_STATE.md	MUSIC-MODE-V1-01 line 767 "one MusicGen companion prompt per book for brand-admin packaging" + line 772 "Companion audio: V1 ships prompt JSON via scripts/music/generate_book_companion_song.py; MusicGen runnable path remains Colab-oriented"	CORRECT	WAV export DEFERRED per spec line 772 — auto-render path lands in V2 §6 (Pearl Star Phase B). Spec layer = one prompt/book RATIFIED.
3	Two render variants: with-lyrics and no-lyrics	docs/PEARL_ARCHITECT_STATE.md	MUSIC-MODE-V1-01 line 767 "two render variants (with-lyrics, no-lyrics); second-person intro and conclusion; per-chapter opening, closing, and one mid-chapter bestseller-beat block"	CORRECT	Both variants are BOOKS (not song formats). Survey output_preferences_with_lyrics and output_preferences_no_lyrics drive variant selection per book.
4	Books are SECOND PERSON ("you") for intro/conclusion/chapter beats	docs/PEARL_ARCHITECT_STATE.md	MUSIC-MODE-V1-01 line 767 "second-person intro and conclusion; per-chapter opening, closing, and one mid-chapter bestseller-beat block"	CORRECT	Author persona (pen-name vs EI) frames the book; prose addresses reader directly. INTRO_2P_TEMPLATE + CONCLUSION_2P_TEMPLATE files exist in test_artist_alpha/approved_atoms/ — verified scaffold.
5	No upper bound on music-mode brand count; id_space_start = 38	config/music/music_brand_registry.yaml	lines 76-127 (schema_version: 1; id_space_start: 38; music_brands list initially with _template_music placeholder only)	CORRECT	Registry currently has 1 placeholder entry; zero real musicians. Open-ended brand count. Cross-cap MUSIC-MODE-BRAND-INTEGRATION-V1-01 §1 confirms first-class archetype + 38+ starting space.
6	Output platforms = KDP / Audible / Apple Books / Google Play (book platforms); freebie/marketing layer = audio platforms	docs/specs/MUSIC_MODE_BRAND_INTEGRATION_V1_SPEC.md + docs/specs/MUSIC_MODE_FREEBIE_FUNNEL_V1_SPEC.md	Integration spec §4 (100% music-mode books); freebie spec §3 M1-M5 (companion track / preview clip / sample EP / lyric poster / behind-song interview as LEAD MAGNETS)	CORRECT	Catalog OUTPUT = books on book platforms. Audio assets live in freebie/funnel layer per separate cap MUSIC-MODE-FREEBIE-FUNNEL-V1-02.
7	No 25/50/25 musician-named/influence/composite distribution specified for music mode	docs/specs/MUSIC_MODE_BRAND_INTEGRATION_V1_SPEC.md + docs/PEARL_ARCHITECT_STATE.md	Spec full read; no distribution percentage specified. Teacher-deck 25/50/25 is teacher-mode convention only.	CORRECT	No spec basis. Drop from V2 deck. RECOMMEND: leave to operator discretion in implementation phase OR author a music-specific distribution AMENDMENT later.
8	No ~80% revenue-to-Brand-Director specified for music mode	docs/specs/MUSIC_MODE_BRAND_INTEGRATION_V1_SPEC.md	Spec full read; no revenue split specified	CORRECT	Teacher deck states ~80% but music spec is silent. Spec §7 omits revenue % unless operator confirms transfer.
9	Music Reflections Survey has 8 sections (not 7 as initially claimed)	artifacts/musician_survey/SURVEY_TEMPLATE.yaml	lines 5-49: identity + themes + voice_craft + material_for_reflection + healing_intent + output_preferences_with_lyrics + output_preferences_no_lyrics + consent_licensing = 8 sections	CORRECT	8-section schema confirmed verbatim. Live form at brand-wizard-app/public/musician_reflections_survey.html (42 KB; Pearl Prime tokens). PR #1430 reference live.
10	Brand wizard Step 1 = mode selector; Step 4 = conditional musician_reflections_survey pane; live HTTP route /wizard/music-survey/save; file:// forbidden	docs/specs/MUSIC_MODE_BRAND_INTEGRATION_V1_SPEC.md	§2 (Wizard flow + live survey route) + §3 (Save button + persistence + advance)	CORRECT	POST → wizard YAML persist → auto-advance. file:// explicitly deprecated per §2 + §AMENDMENT-2026-05-09 §1.
11	brand_id slug pattern = <musician_handle>_music	docs/specs/MUSIC_MODE_BRAND_INTEGRATION_V1_SPEC.md	§AMENDMENT-2026-05-09 §2 (Q2 default ratified; examples: ahjansam_music, junko_music)	CORRECT	Hard-locked default per ratified amendment. Alternate patterns require separate AMENDMENT.
12	Volume tier override via survey field music_volume_tier ∈ {solo, standard, enterprise}; standard=800 baseline	docs/specs/MUSIC_MODE_BRAND_INTEGRATION_V1_SPEC.md	§AMENDMENT-2026-05-09 §3 (Q3 default + override semantics)	CORRECT	Solo<800 / standard=800 / enterprise>800. Numeric ranges TBD by Pearl_Marketing in implementation. Spec §7 deck includes Solo/Standard/Enterprise pitch.
