queue_row_id	row_type	source_bank	source_file	item_id	atom_family_or_kind	locale	market_fit	platform_fit	surface_fit	review_status	native_review_required	promotion_allowed_before_native_review	production_ready	required_reviewer	risk_summary	notes
NREV-0001	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-JAJP-VOICE_POSTURE-01	LOCALIZATION_ADAPTER	ja-JP	ja-JP	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid hype, baseless superlatives, slangy corporate tone	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0002	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-JAJP-OPENING_HOOK_ADAPTER-02	LOCALIZATION_ADAPTER	ja-JP	ja-JP	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid hype, baseless superlatives, slangy corporate tone	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0003	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-JAJP-CTA_ADAPTER-03	LOCALIZATION_ADAPTER	ja-JP	ja-JP	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid hype, baseless superlatives, slangy corporate tone	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0004	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-JAJP-SCRIPT_PUNCTUATION-04	LOCALIZATION_ADAPTER	ja-JP	ja-JP	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid hype, baseless superlatives, slangy corporate tone	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0005	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-JAJP-CULTURE_RISK-05	LOCALIZATION_ADAPTER	ja-JP	ja-JP	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid hype, baseless superlatives, slangy corporate tone	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0006	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-JAJP-PLATFORM_BIAS-06	LOCALIZATION_ADAPTER	ja-JP	ja-JP	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid hype, baseless superlatives, slangy corporate tone	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0007	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-JAJP-PROOF_SIGNAL-07	LOCALIZATION_ADAPTER	ja-JP	ja-JP	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid hype, baseless superlatives, slangy corporate tone	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0008	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-JAJP-VIDEO_CADENCE-08	LOCALIZATION_ADAPTER	ja-JP	ja-JP	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid hype, baseless superlatives, slangy corporate tone	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0009	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-JAJP-SOCIAL_SEO_TERMS-09	LOCALIZATION_ADAPTER	ja-JP	ja-JP	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid hype, baseless superlatives, slangy corporate tone	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0010	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-JAJP-NATIVE_REVIEW_GATE-10	LOCALIZATION_ADAPTER	ja-JP	ja-JP	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid hype, baseless superlatives, slangy corporate tone	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0011	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHTW-VOICE_POSTURE-01	LOCALIZATION_ADAPTER	zh-TW	zh-TW	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	never Simplified Chinese; avoid Mainland-only memes; preserve local terms	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
