brand	genre	topic	series_id	title_ja
stillness_press	iyashikei	anxiety	stillness_press__shiomi_haruka__ja_JP__anxiety__beyond_the_steam	湯気の向こう
cognitive_clarity	psychological_thriller	overthinking	cognitive_clarity__kurose_jin__ja_JP__overthinking__the_loop_is_not_thinking	ループは思考ではない
digital_ground	sci_fi_cyberpunk	burnout	digital_ground__aoba_rei__ja_JP__burnout__the_feed_is_louder_than_blood	フィードは血より大きい
body_memory_shojo	psychological_horror	somatic_healing	body_memory_shojo__kirishima_akari__ja_JP__somatic_healing__the_house_that_flinches	家がびくっとする
healing_ground_healing	dark_fantasy	grief	healing_ground_healing__tsuge_mamoru__ja_JP__grief__the_forest_keeps_their_names	森が名を覚える
trauma_path_healing	dark_fantasy	grief	trauma_path_healing__toge_tsuyoshi__ja_JP__grief__the_blade_that_won_t_sing	鳴らない刃
devotion_path_shonen	dark_fantasy	grief	devotion_path_shonen__shirai_inori__ja_JP__grief__the_second_cup_stays_full	二杯目は満杯のまま
career_lift_workplace	workplace_drama	imposter_syndrome	career_lift_workplace__mizuno_anzu__ja_JP__imposter_syndrome__the_slide_that_isn_t_you	借り物のスライド
high_performer_workplace	workplace_drama	burnout	high_performer_workplace__naruse_tsuyoshi__ja_JP__burnout__green_on_the_dashboard	ダッシュボードは緑
stabilizer_healing	workplace_drama	burnout	stabilizer_healing__kishi_toru__ja_JP__burnout__the_bench_between_shifts	シフトのあいだのベンチ
warrior_calm_cultivation	mecha	burnout	warrior_calm_cultivation__iwami_ren__ja_JP__burnout__the_chassis_is_listening	機体は聴いている
solar_return_isekai	isekai	self_worth	solar_return_isekai__hoshino_saku__ja_JP__self_worth__no_resume_in_this_sky	履歴書のない空
spiritual_ground_supernatural	supernatural_mystery	grief	spiritual_ground_supernatural__tono_kiri__ja_JP__grief__the_cold_spot_before_the_name	名より先に冷える
sleep_restoration_iyashikei	iyashikei	sleep	sleep_restoration_iyashikei__ebihara_nagi__ja_JP__sleep__the_hour_that_won_t_arrive	来ない時刻
heart_balance_shojo	romance_josei_drama	social_anxiety	heart_balance_shojo__tsukimura_yui__ja_JP__social_anxiety__two_cups_on_the_counter	カウンターの二つのカップ
stoic_edge_battle	action_battle	courage	stoic_edge_battle__yaiba_go__ja_JP__courage__the_guard_who_lowers_the_shield	盾を下ろす衛兵
