priority	subsystem	item	spec_or_source	current_gap	status_on_main	pointer
P0	core_pipeline	Wire register_gate + ship_readiness into run_pipeline; flip pipeline-mode default to spine end-to-end	PR #1536; ws_pipeline_mode_default_flip_to_spine_20260518; ws_register_gate_implementation_20260518	run_pipeline.py has spine as --pipeline-mode default but does NOT call register_gate/ship_readiness inline (grep empty); register check is a separate invocation	OPEN (PR #1536 not merged)	scripts/run_pipeline.py ~L648,L1853,L2033
P0	core_pipeline	Fix word-budget + register HARD_FAILs on production books (composer scaffolding-repetition: verbatim cross-book transitions, unfilled doctrine-prefix tails, HOOK stubs)	PR #1585 pilot; PR #1589 (engine)/#1590 (atoms); memory: pearl_prime_pilot_findings	Spine books PASS inline flow/craft/ei_v2 but 9/9 HARD_FAIL register+word-budget; the real frontier is COMPOSER, not atom scarcity	#1589/#1590 split; #1601 cleared HARD_FAIL (a4021381c); residual word_budget/register-verdict/HOOK-stubs DEFERRED	docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md; artifacts/analysis/pearl_prime_priorities/
P0	core_pipeline	Atom adjacency/cohesion model + adjacency-aware selector (books are jarring/choppy; atoms slotted per-atom with no adjacency awareness)	memory: atom_cohesion_chunked_plan (A–F); artifacts/atom_cohesion/SELECTOR_DIAGNOSIS.md	No cohesion metadata, no adjacency model in slot_resolver/enrichment_select; EI v2 cohesion machinery exists but not leveraged	A (schema)+E (audit) dispatched 2026-06-16; B/C/D/F gated	phoenix_v4/planning/enrichment_select.py; slot_resolver._bestseller_metadata_score
P0	translation	Fix translate_atoms_to_locale.py 8000-char truncation that drops ## variants across ALL CJK locales (likely contaminated prior sprints)	PR #1658; memory: localizer_truncation_bug; task_257cf4ce	text[:8000] truncation silently drops atom variants; count guard missing	OPEN (PR #1658 do-not-merge)	scripts/localization/translate_atoms_to_locale.py
P1	manga_pipeline	Manga V2 Phases C/D/E: register/genre LoRAs, anatomical correction integration, re-render smoke	ws_manga_v2_phase_c/d/e_*_20260507; docs/MANGA_V2_BE_LAUNCH_PLAN.md	Phase A/B CODE merged (#925/926/928) + per-char DATA filled (#1542); C/D/E not built	A/B done; C/D/E ws open; #1542 operator-review-pending	config/manga/characters/; phoenix_v4/manga/
P1	manga_pipeline	ep_002 V5.1 pose-library extension + zh_TW/zh_CN blocked_lora & blocked_score drain	ws_ep002_v51_pose_library_extension_20260527; ws_zh_manga_blocked_lora/score_followup_20260511	ep_002 stalls; CJK manga blocked on LoRA/score gates	in flight	docs/sessions/MANGA_V51_SHIP_READINESS_2026-06-12.md
P1	video_pipeline	Land assemble_mixed.py (regular/manga-per-section video assembler generalizing the two v3_8 twins)	PR #1663; docs/specs/PEARL_VIDEO_FRAME_SELECTOR_BEST_OF_V1_SPEC.md	frame_selector builder on main (build_frame_selector_v2.py) but assembler not on main; export schema is the builder↔assembler contract	OPEN (PR #1663)	scripts/video/ (assemble_mixed.py absent on main)
P1	video_pipeline	Promote the 3-stage best-video method (beat-author → AI-judge → human best-of) + seed-lock + frame_judge module	ws_video_run_frame_judge_module_20260616; memory: video_best_method	Best method is stranded LOCAL-ONLY; build_daily_batch is a publish-selector not a builder	local-only; not on main	docs/specs/PEARL_VIDEO_BEAT_DRIVEN_NARRATIVE_PIPELINE_V1_SPEC.md
P1	pearl_prime	ONE-PATH lockdown phases 1-4 (mechanical sweeps / runtime gates / craft gates) + dwell-beat craft gate wiring	docs/specs/PEARL_PRIME_ONE_PATH_LOCKDOWN_V1_SPEC.md; ws_pearl_dev_one_path_phase_1..4; ws_pearl_dev_dwell_beat_gate_wiring_20260612	Dwell-beat gate (sibling to G1-G6) spec'd in OVERLAY_SPEC but not wired; integration-pacing is operator's #1 recurring craft concern	phase ws's open	docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md
P1	devotion_path/catalog	Re-point 68/99 devotion_path plans off forbidden anxiety engines (Option A′ full-85) + W4 wave-1 assembly	docs/specs/DEVOTION_PATH_TOPIC_ENGINE_RECONCILIATION_V1_SPEC.md (#1615 merged); ws_devotion_path_engine_repoint_20260615; PR #1676/#1619	85 legal cells exist; 68/99 plans point at forbidden engines; assembly co-gated on F-COHERENCE (#1589/#1590/#1601)	BLOCKED on operator A′-shape pick + composer F-COHERENCE co-gate	artifacts/analysis/devotion_path_topic_engine_reconciliation_20260615/
