idea_id	title	theme	source_session	quote_or_signal	status_guess	repo_relevance	pipeline_relevance	evidence_paths
I042	Manga structural-composition MVP	manga	export_357	Implement the strongest parts of the Structural Composition MVP.	TRULY_MISSING	5	5	(no path hit)
I043	Manga PassB reading-graph + spread + JLREQ SFX lettering proof	manga	export_362	BLOCKED** — bar packet not assembled. Doctrine is on main; implementation + proof-wave prerequisites are not.	TRULY_MISSING	5	5	(no path hit)
I045	Books-first leftovers: STORY seeding + 4-cell rebuild	pipeline_gates	export_366	Next step 1: remaining engine-keyed STORY seeding + 4-cell rebuild proof; false_alarm governance resolved; NO_BINDING-only binding calls; optional REFLECTION parse-depth	TRULY_MISSING	5	5	(no path hit)
I001	Author resolution wiring into assembly pipeline	pipeline_gates	2431a4be-0130-4f71-a01d-8f053f615500	implemented. The QA directory has 9 validators, but they cover structural integrity (plan schema, emotional curve, duplication, arc alignment, engine resolution). The narrative intelligence layer — the thing t	PARTIAL	5	5	docs/;phoenix_v4/
I002	Unified personas readiness: atoms left for writing books	catalog_atoms	9ad29a26-308d-4302-9ed7-9b934922736f	missing. analzye all atoms. what is left for writing team for system to be able to write books for all personas?	PARTIAL	5	5	SOURCE_OF_TRUTH/;config/
I025	Atom gap analysis: cohesive flow, bridges, bestseller structure	catalog_atoms	fc9e7c1f-8ba7-434e-b1c1-9da7aa3b0535	missing bridge/transition atoms between scene→story, story→exercise, data→teaching. Recommend new atom types that would improve bestseller-grade reading experience.	PARTIAL	5	5	docs/BESTSELLER_DRIFT_ROOT_CAUSE_2026-07-02.md;docs/specs/session_mining_batch_20260718/ATOM_SURFACE_TAXONOMY_AND_VARIATION_MANIFEST_V1_SPEC.md
I026	Music-mode brand integration + freebie funnel	social_video	44b6d363-0f19-4fc0-b814-6ab93f3072b8	Implementation MUST consume the brand_wizard YAML + musician_reflections_survey YAML to drive freebie selection (not hardcoded)	TRULY_MISSING	5	4	(no path hit)
I029	Manga V2 lettering / bubble layer (audit P0-2)	manga	5fab9ed4-236f-4a37-a840-d1afccc4c8e3	implementation > 1500 LOC (re-scope);	PARTIAL	5	5	scripts/manga/
I048	Atom cohesion chunked plan execution	catalog_atoms	memory:project_atom_cohesion_chunked_plan	--- name: project_atom_cohesion_chunked_plan description: "Atom-cohesion A–F chunked plan — fix jarring/choppy books by making atom selection adjacency-aware; dispatch order, gates, owners, write-scop	PARTIAL	5	5	docs/specs/session_mining_batch_20260718/ATOM_SURFACE_TAXONOMY_AND_VARIATION_MANIFEST_V1_SPEC.md
I006	family_id enum drift silent corruption fix	pipeline_gates	754099c5-3f08-48ef-b54b-594e0acedaf2	implement those plus runtime registry drift checks in CI, you eliminate the highest-frequency silent failure class at scale.	TRULY_MISSING	4	5	(no path hit)
I032	Feature-knob angle_id registry join	catalog_atoms	59da2ac9-6a72-4a30-b1ca-59524048c83a	missing angle_id raises explicit error	TRULY_MISSING	4	5	(no path hit)
I005	Author signature / blueprint cover-pic system	covers_brand	ba905820-ac1c-4ad6-babb-878522329c71	implemented yet (your note says this, which is right): [AUTHOR_COVER_ART_SPEC.md](/Users/ahjan/phoenix_omega/specs/AUTHOR_COVER_ART_SPEC.md).	PARTIAL	5	4	docs/NAMING_COVER_SYSTEM_37x14.md;docs/specs/COVER_FIVE_LAYER_UNIQUENESS_V1_SPEC.md
I010	Pearl News editorial article structure / org wiring	pearl_news	5643f03a-ce02-4c54-91c6-c56e9072d12e	missing) + WordPress env example.	PARTIAL	5	4	docs/PEARL_NEWS_WRITER_SPEC.md;docs/PEARL_NEWS_SIDEBAR_VERSION_HISTORY.md
I033	Manga brand×locale gap matrix (LFS pointer vs present)	manga	d914dcda-7359-4346-8ca2-81e3edbe0967	IMPLEMENTATION_OUTLINE.md; config/manga/canonical_brand_list.yaml; config/manga/brand_lora_plans.yaml	PARTIAL	5	4	docs/specs/session_mining_batch_20260718/ARTIFACTS_RETENTION_POLICY_V1_SPEC.md
I034	Book + audiobook buying platform storefront spec	research_tooling	fef9c8bd-10bc-43d3-9480-647ea7ae84a3	next steps for them to use our books, to buy our books So that's gonna be Pearl Writer that has to go in and find those next step a- atoms, and where we are suggesting somebody else's book, we have to suggest o	TRULY_MISSING	5	3	(no path hit)
I049	Brand registry 37×14 unification completion	covers_brand	memory:project_brand_registry_37x14_unification	--- name: project_brand_registry_37x14_unification description: The brands unify to 39×14 (PR metadata: node_type: memory type: project originSessionId: 73531c5b-5b7c-48af-afc2-c590b45fcde6 --- Brand-	PARTIAL	5	4	docs/NAMING_COVER_SYSTEM_37x14.md
I018	Brand media generation canonical path	covers_brand	f315b072-2b32-4be9-9e36-d8d47b0d75fb	not yet renderable inline.</div>	TRULY_MISSING	4	4	(no path hit)
I030	Catalog 800 auto-generator	catalog_atoms	2e48dda5-b26f-47c1-988f-ab0118a6fe3f	recommended for the PR).	TRULY_MISSING	4	4	(no path hit)
I015	Continuous deep research plane (scheduled, not one-shot)	research_tooling	7654d26d-7dbb-41ee-8890-90e8c22c49ba	missing real youth signals	PARTIAL	5	3	scripts/research/research_prompt_builder.py;docs/research/PEARL_RESEARCH_PROMPT_GENERATION_LAYER.md
I003	Teacher-mode strict + fallback plan completion	pipeline_gates	0acf3b70-d113-421a-a504-d0267a661d4f	Missing STORY | Hard fail |	PARTIAL	4	4	teachers/
