item_id	title	alignment_score_0_5	missing_current_lesson	required_update	proof_source	classification_after_alignment	notes
SPEC-1	ATOM_SURFACE_TAXONOMY_AND_VARIATION_MANIFEST	3	Needs atom depth, reader-state entry/exit, exercise/tool separation, source truth, and same-person story requirements	Refresh taxonomy from surface-count inventory to depth-and-transformation manifest	docs/ATOM_DEEPENING_WRITER_SPEC_2026-07-18.md; docs/READER_LAYER_ATOM_INTEGRATION_SPEC.md; docs/DEEP_FIVE_LAYER_EXERCISE_SPEC.md	REFRESH	Measurement remains useful if it does not become a content rewrite wave
SPEC-2	PROSE_INTEGRITY_VALIDATOR_SET	2	Does not account for existing F2/F13 placeholder, phrasal, dwell, atom, story, reader-layer, and exercise gates	Merge proposed checks into existing gate map only after gap proof	phoenix_v4/quality/register_gate.py; tests/test_register_gate_voice.py; atom quality artifacts	MERGE_WITH_EXISTING	Standalone validator risks duplicate false blocks
SPEC-3	CATALOG_GPU_DISPATCHER	2	Misses GitHub suspension, PearlStar/offline, Conductor V3, V5 queue, deterministic social/image/video boundaries	Refresh to dry-run queue/discovery spec with corrected credential dependency	GitHub suspension handoffs; docs/specs/CONDUCTOR_V3_DISPATCH_BRIDGE_V1_SPEC.md; deterministic social audit	REFRESH	No live queue/publish assumption
SPEC-4	HUMAN_CALIBRATED_JUDGE	3	Needs current story, atom, exercise, reader-layer, and evidence rubric; must be advisory	Refresh rating schema and prohibit automated release claims	docs/narrative_form_ssot_spec.md; docs/ch01_full_assembly_v1.md; evidence repair artifacts	REFRESH	Operator-rated corpus is prerequisite to usefulness
SPEC-5	STORE_SERIES_NAMING_ENGINE	4	Minor need for current release labels and naming machinery reference	Add metadata only; keep additive approach	phoenix_v4/naming/generator.py; marketing feed artifacts	KEEP	Still aligned and low-overlap
SPEC-6	FREE_TO_PAID_LADDER	3	Needs GHL/feed reality, deterministic social dry-run, image license, faceless video, and public-release boundaries	Refresh schema fields and release gates	scripts/marketing/build_marketing_feed.py; deterministic social final audit; PEARL_ANIMATOR spec	REFRESH	No Metricool/live-publish authorization
SPEC-7	MANGA_MULTIVOLUME_SPINE	2	Misses current serial spine loader/configs and manga story architecture	Merge into existing serial spine machinery	phoenix_v4/manga/serial/spine_loader.py; config/manga/serial_spines	MERGE_WITH_EXISTING	Do not create parallel series spine files
SPEC-8	ARTIFACTS_RETENTION_POLICY	3	Needs LFS-to-R2, pointer manifests, dry-run, owner signoff, no history rewrite	Refresh as extension of offload policy	docs/specs/LFS_TO_R2_OFFLOAD_V1_SPEC.md; .gitattributes	REFRESH	Deletion remains operator-gated
SPEC-9	PLANTIME_CHAPTER_CONTRACT	3	Needs current topic-aware thesis resolver plus story, exercise, atom, and reader-layer fields	Refresh dependency and contract schema	book_structure_plan.py; config/planning/chapter_thesis_bank.yaml; narrative SSOT	REFRESH	RN-2 no longer blocks it
RN-1	check_tuple_viability false NO_STORY_POOL	3	Needs exact current repro and path correction before code change	Refresh dispatch brief to repro-first gate patch	phoenix_v4/gates/check_tuple_viability.py	REFRESH	Still likely actionable
RN-2	thesis-bank re-key intent x engine x topic	5	None; current thesis bank already supports topic overrides	Retire as completed	config/planning/chapter_thesis_bank.yaml; tests/test_chapter_thesis_bank_resolver.py	RETIRE	Do not rerun old prompt
RN-3	register_gate F2.B phrasal-verb false-positive	5	None; phrasal/stranded-preposition coverage exists	Retire as completed	phoenix_v4/quality/register_gate.py; tests/test_register_gate.py	RETIRE	No duplicate whitelist
RN-4	F9 bare-slot detector	5	None for core placeholder leak class	Retire as completed under existing F2.D wrapper placeholder logic	register_gate.py; rendering wrapper tests	RETIRE	Gate label differs but behavior exists
RN-5	BISAC topic to SEL036000 fix plus validator	3	Validator missing, but map fix is already present	Merge validator into catalog metadata gates	scripts/catalog/gen_plan_skeletons.py; scripts/catalog/flip_authoring_skeletons.py	MERGE_WITH_EXISTING	Do not redo corrected mapping
RN-6	word-budget clamp mid-sentence	3	Needs current repro and current composer/renderer boundary review	Refresh as boundary-aware clamp brief	phoenix_v4/rendering/book_renderer.py; composer specs	REFRESH	Stale counts cannot be proof
RN-7	.gitattributes LFS carve-out CI gate	3	Needs offload/retention integration	Merge into artifact retention/offload policy	docs/specs/LFS_TO_R2_OFFLOAD_V1_SPEC.md; .gitattributes	MERGE_WITH_EXISTING	Valid but not standalone
RN-8	cover-render consolidation	3	Needs current visual registry, cover paths, social/image/video boundaries	Merge into cover/visual authority cleanup	scripts/publish/*cover*; deterministic social and image inventory artifacts	MERGE_WITH_EXISTING	Count of renderers must be rederived
RN-9	DOCS_INDEX completeness gate	3	Needs current completeness sweep instead of stale percentage	Refresh as current docs-governance audit	DOCS_INDEX and required-read docs	REFRESH	Useful but not with stale 62 percent claim
RN-10	dwell integration pacing craft gate	5	None for core dwell-starvation detector	Retire as completed; future severity tuning separate	register_gate.py; tests/test_register_gate_voice.py	RETIRE	F13 exists
