rank,item_type,target,unit,lift_score,selected_books_affected,topics_affected,avg_build_now_score,reason,first_topics
1,recurring_slot_program,first_responders/PERMISSION,PERMISSION,1216,9,15,206.5,PERMISSION is sparse across 15 topics for first_responders; 9 already land in the top-100 build list.,"anxiety, boundaries, burnout, compassion_fatigue, courage, depression"
2,recurring_slot_program,first_responders/PIVOT,PIVOT,1216,9,15,206.5,PIVOT is sparse across 15 topics for first_responders; 9 already land in the top-100 build list.,"anxiety, boundaries, burnout, compassion_fatigue, courage, depression"
3,recurring_slot_program,first_responders/TAKEAWAY,TAKEAWAY,1216,9,15,206.5,TAKEAWAY is sparse across 15 topics for first_responders; 9 already land in the top-100 build list.,"anxiety, boundaries, burnout, compassion_fatigue, courage, depression"
4,recurring_slot_program,first_responders/THREAD,THREAD,1216,9,15,206.5,THREAD is sparse across 15 topics for first_responders; 9 already land in the top-100 build list.,"anxiety, boundaries, burnout, compassion_fatigue, courage, depression"
5,recurring_slot_program,entrepreneurs/PERMISSION,PERMISSION,1125,8,15,205.0,PERMISSION is sparse across 15 topics for entrepreneurs; 8 already land in the top-100 build list.,"anchored, boundaries, burnout, compassion_fatigue, courage, depression"
6,recurring_slot_program,healthcare_rns/PERMISSION,PERMISSION,1042,7,16,200.0,PERMISSION is sparse across 16 topics for healthcare_rns; 7 already land in the top-100 build list.,"anchored, anxiety, boundaries, burnout, compassion_fatigue, courage"
7,recurring_slot_program,healthcare_rns/PIVOT,PIVOT,1042,7,16,200.0,PIVOT is sparse across 16 topics for healthcare_rns; 7 already land in the top-100 build list.,"anchored, anxiety, boundaries, burnout, compassion_fatigue, courage"
8,recurring_slot_program,healthcare_rns/TAKEAWAY,TAKEAWAY,1042,7,16,200.0,TAKEAWAY is sparse across 16 topics for healthcare_rns; 7 already land in the top-100 build list.,"anchored, anxiety, boundaries, burnout, compassion_fatigue, courage"
9,recurring_slot_program,healthcare_rns/THREAD,THREAD,1042,7,16,200.0,THREAD is sparse across 16 topics for healthcare_rns; 7 already land in the top-100 build list.,"anchored, anxiety, boundaries, burnout, compassion_fatigue, courage"
10,recurring_slot_program,entrepreneurs/PIVOT,PIVOT,1020,7,14,202.5,PIVOT is sparse across 14 topics for entrepreneurs; 7 already land in the top-100 build list.,"anchored, burnout, compassion_fatigue, courage, depression, financial_anxiety"
11,recurring_slot_program,entrepreneurs/TAKEAWAY,TAKEAWAY,1020,7,14,202.5,TAKEAWAY is sparse across 14 topics for entrepreneurs; 7 already land in the top-100 build list.,"anchored, burnout, compassion_fatigue, courage, depression, financial_anxiety"
12,recurring_slot_program,entrepreneurs/THREAD,THREAD,1020,7,14,202.5,THREAD is sparse across 14 topics for entrepreneurs; 7 already land in the top-100 build list.,"anchored, burnout, compassion_fatigue, courage, depression, financial_anxiety"
13,recurring_slot_program,millennial_women_professionals/PERMISSION,PERMISSION,866,5,16,204.4,PERMISSION is sparse across 16 topics for millennial_women_professionals; 5 already land in the top-100 build list.,"anchored, anxiety, boundaries, burnout, compassion_fatigue, courage"
14,recurring_slot_program,millennial_women_professionals/PIVOT,PIVOT,866,5,16,204.4,PIVOT is sparse across 16 topics for millennial_women_professionals; 5 already land in the top-100 build list.,"anchored, anxiety, boundaries, burnout, compassion_fatigue, courage"
15,recurring_slot_program,millennial_women_professionals/TAKEAWAY,TAKEAWAY,866,5,16,204.4,TAKEAWAY is sparse across 16 topics for millennial_women_professionals; 5 already land in the top-100 build list.,"anchored, anxiety, boundaries, burnout, compassion_fatigue, courage"
16,recurring_slot_program,millennial_women_professionals/THREAD,THREAD,866,5,16,204.4,THREAD is sparse across 16 topics for millennial_women_professionals; 5 already land in the top-100 build list.,"anchored, anxiety, boundaries, burnout, compassion_fatigue, courage"
17,recurring_slot_program,gen_z_professionals/PERMISSION_GRANT,PERMISSION_GRANT,423,1,1,301.0,PERMISSION_GRANT is sparse across 1 topics for gen_z_professionals; 1 already land in the top-100 build list.,anxiety
18,recurring_slot_program,gen_z_student/SCENE,SCENE,381,0,15,156.6,SCENE is sparse across 15 topics for gen_z_student; 0 already land in the top-100 build list.,"anxiety, boundaries, burnout, compassion_fatigue, courage, depression"
19,pair_repair,gen_z_professionals/anxiety,PERMISSION_GRANT,319,1,1,301,"Already near-buildable, but anxiety for gen_z_professionals is held back by PERMISSION_GRANT.",anxiety
