lane,locale,brand,brand_locale_name,subject,persona,teacher,teacher_mode,title,subtitle,raw_score,normalized_score,listing_ready,format
book_script,zh_CN,warrior_calm,铁门文化,courage,first_responders,master_wu,true,穿越勇气，走向稳定的日子,勇气恢复期的稳定的陪伴 — 写给一线响应人员,0.95,0.95,True,pearl_prime_12x10x5
book_script,zh_CN,sleep_restoration,夜筑文化,sleep_anxiety,healthcare_rns,master_sha,true,安睡的节奏，走出睡眠焦虑,当睡眠焦虑无法停止时的安睡的指引 — 写给医疗从业者,0.95,0.95,True,pearl_prime_12x10x5
book_script,zh_CN,body_memory,身记文化,grief,healthcare_rns,omote,true,承接的悲伤指南,走出悲伤，迈向承接的日子 — 写给医疗从业者,0.95,0.95,True,pearl_prime_12x10x5
book_script,zh_CN,body_memory,身记文化,somatic_healing,healthcare_rns,omote,true,承接的身体疗愈的同行,身体疗愈恢复期的承接的日子 — 写给医疗从业者,0.95,0.95,True,pearl_prime_12x10x5
book_script,zh_CN,cognitive_clarity,明见文化,overthinking,tech_finance_burnout,joshin,true,清明的过度思虑指南,走出过度思虑，迈向清明的日子 — 写给科技与金融从业者,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_CN,somatic_wisdom,身知文化,somatic_healing,millennial_women_professionals,pamela_fellows,true,身体的身体疗愈的同行,身体疗愈恢复期的身体的日子 — 写给千禧一代女性,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_CN,somatic_wisdom,身知文化,somatic_healing,healthcare_rns,pamela_fellows,true,身体的身体疗愈指南,走出身体疗愈，迈向身体的日子 — 写给医疗从业者,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_CN,digital_ground,此刻文化,financial_anxiety,gen_z_professionals,miki,true,金钱焦虑之后，踏实的日子,踏实的生活，金钱焦虑恢复的同行者 — 写给 Z 世代职场人,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_CN,digital_ground,此刻文化,financial_anxiety,gen_z_student,miki,true,踏实的金钱焦虑的同行,金钱焦虑恢复期的踏实的日子 — 写给 Z 世代学生,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_CN,digital_ground,此刻文化,financial_stress,gen_z_professionals,miki,true,踏实的经济压力的同行,经济压力恢复期的踏实的日子 — 写给 Z 世代职场人,0.93,0.93,True,pearl_prime_12x10x5
