path	category	suggested_action	evidence_one_line	tracked_untracked
.claude/worktrees/	artifact_junk	ask_owner	~43 nested dirs; du ~33G; full repo copies + .vite caches; verify `git worktree list` and docs/REPO_HYGIENE_AND_WORKTREE_CLEANUP.md before any rm -rf	untracked
.claude/worktrees/magical-beaver/brand-wizard-app/.vite/deps/	cache	delete	Untracked Vite prebundle under nested worktree (git status showed _metadata.json); safe after worktree removal	untracked
_wt_beatmap/	artifact_junk	zip_archive	~1.2G local snapshot tree; not under canonical tests/; remove only if not a live git worktree	untracked
_wt_inj/	artifact_junk	zip_archive	~1.2G local snapshot tree; same cautions as _wt_beatmap	untracked
.pytest_cache/	cache	delete	Root pytest cache; regenerate on next pytest run	untracked
__pycache__/** (repo main tree)	cache	delete	Scan 2026-04-14: 0 dirs under phoenix_v4 and pruned walk (laptop clean); re-delete after local pytest if they appear	mixed
old_chat_specs/	decommissioned	ask_owner	Tracked legacy chat specs; DOCS_INDEX still references old_chat_specs paths — do not delete without spec audit	tracked
old_chats/	decommissioned	ask_owner	Tracked archive-style dir name — triage vs salvage/artifacts/archive only with owner signoff	tracked
pearl_prime/tests/test_modular_format_freeze.py	duplicate_test	ask_owner	Tracked test_*.py outside top-level tests/; check pytest/CI discovery and pearl_prime layout before moving	tracked
test_pearl_news/test_feed_ingest.py	duplicate_test	ask_owner	Tracked parallel test root test_pearl_news/; verify not superseded by tests/ + CI invocation	tracked
test_pearl_news/test_pipeline_steps.py	duplicate_test	ask_owner	Tracked parallel test root test_pearl_news/; verify not superseded by tests/ + CI invocation	tracked
test_pearl_news/test_wordpress_and_article.py	duplicate_test	ask_owner	Tracked parallel test root test_pearl_news/; verify not superseded by tests/ + CI invocation	tracked
scripts/ci/run_rigorous_system_test.py	uncertain	keep	Name matches *_test.py but is a CI/system harness script, not a pytest orphan; do not delete	tracked
scripts/systems_test/run_systems_test.py	uncertain	keep	Name matches *_test.py but is systems_test entrypoint; do not delete	tracked
brand-wizard-app/node_modules/	artifact_junk	ask_owner	6984 tracked files (git ls-files count 2026-04-14); removing from git is >50 files — requires explicit owner approval per CLAUDE.md; coordinate with ws_lfs_setup_20260410 (.gitignore/LFS plan)	tracked
