chapter,section,section_name,style,scene_socket,text
7,01,small_moves_hook,direct,,You know the theory. Now we practice. Small moves.
7,01,small_moves_hook,peer,,know the theory—Now we practice—Small moves.
7,01,small_moves_hook,gentle,,You know the theory. Now we practice. Small moves.
7,01,small_moves_hook,coach,,You know the theory. Execute. Now we practice. Execute. Small moves. Execute.
7,01,small_moves_hook,somatic,,Your body know the theory. Now we practice. Small moves.
7,02,what_small_move_looks_like,direct,,"Small move: notice anxiety, acknowledge it, act anyway."
7,02,what_small_move_looks_like,peer,,"Small move: notice anxiety, acknowledge it, act anyway."
7,02,what_small_move_looks_like,gentle,,"Small move: notice anxiety, acknowledge it, act anyway."
7,02,what_small_move_looks_like,coach,,"Small move: notice anxiety, acknowledge it, act anyway. Execute."
7,02,what_small_move_looks_like,somatic,,"Small move: notice anxiety, acknowledge it, act anyway."
7,03,why_small_moves_matter,direct,,Small moves build evidence. Evidence builds the new pattern.
7,03,why_small_moves_matter,peer,,Small moves build evidence. Evidence builds the new pattern.
7,03,why_small_moves_matter,gentle,,Small moves build evidence. Evidence builds the new pattern.
7,03,why_small_moves_matter,coach,,Small moves build evidence. Execute. Evidence builds the new pattern. Execute.
7,03,why_small_moves_matter,somatic,,Small moves build evidence. Evidence builds the new pattern.
7,04,notice_without_fixing,direct,,Notice without fixing. That's the skill.
7,04,notice_without_fixing,peer,,Notice without fixing. That's the skill.
7,04,notice_without_fixing,gentle,,Notice without fixing. That's the skill.
7,04,notice_without_fixing,coach,,Notice without fixing. Execute. That's the skill. Execute.
7,04,notice_without_fixing,somatic,,Notice without fixing. That's the skill.
7,05,practice_1_three_second_checkin,direct,,"Here's a practice you can use anytime anxiety shows up.

It takes **three seconds**.

---

**Step 1: Notice (1 second)**

Ask yourself: *""Where do I feel this in my body?""*

Chest? Stomach? Throat? Hands?

Just notice. Don't fix.

---

**Step 2: Acknowledge (1 second)**

Say to yourself: *""Yeah. That's anxiety. It's here because there's uncertainty.""*

Not ""I need to get rid of this.""

Just: *""It's here.""*

---

**Step 3: Decide (1 second)**

Ask yourself: *""Is this dangerous? Or just uncomfortable?""*

If dangerous → listen.

If uncomfortable → act anyway.

---

**Notice. Acknowledge. Decide.**

Then act.

---

Try it now.

Think about something you've been putting off. Something small.

Where do you feel the anxiety? Acknowledge it. Is it dangerous or uncomfortable?

If uncomfortable—do it now. While the anxiety is still there.

---

How did that feel?

Probably weird. Probably uncomfortable.

But you did it. While anxious.

And nothing bad happened."
7,05,practice_1_three_second_checkin,peer,,"Here's a quick practice. Three seconds total.

**Second 1: Notice**

Where's the anxiety living right now? Chest? Gut? Hands? Just locate it.

**Second 2: Acknowledge**

*""That's anxiety. Makes sense—there's uncertainty here.""*

Not ""make it stop."" Just ""it's here.""

**Second 3: Decide**

Is this actually dangerous? Or just uncomfortable?

Dangerous → listen.
Uncomfortable → act anyway.

---

That's it. **Notice. Acknowledge. Decide.** Then move.

---

Try it right now.

Something you've been avoiding. Something small.

Where's the anxiety? Name it. Dangerous or uncomfortable?

If it's just uncomfortable—do the thing. Right now. While anxious.

---

How was that?

Weird, probably. Uncomfortable.

But you did it. That's the point."
7,05,practice_1_three_second_checkin,gentle,,"Here's a simple practice you can use anytime anxiety appears.

It takes just three seconds.

---

**First second: Notice**

Gently ask yourself: *""Where do I feel this?""*

Chest? Stomach? Throat?

Just notice. No need to fix.

---

**Second second: Acknowledge**

Say to yourself: *""That's anxiety. It makes sense—there's uncertainty here.""*

Not ""I need to get rid of this.""

Just: *""It's here.""*

---

**Third second: Decide**

Ask: *""Is this dangerous? Or just uncomfortable?""*

If it's dangerous, listen to it.

If it's just uncomfortable—act anyway.

---

**Notice. Acknowledge. Decide.**

---

Would you like to try it now?

Think of something small you've been putting off.

Notice where the anxiety lives. Acknowledge it. Ask: dangerous or uncomfortable?

If it's uncomfortable—consider doing it now. While the feeling is still there.

---

If you tried it—how did that feel?

Probably a bit strange. That's okay. You're building something new."
7,05,practice_1_three_second_checkin,coach,,"**The 3-Second Check-In**

Use this protocol whenever anxiety arises.

**Second 1 — NOTICE**
Locate the sensation. Chest? Stomach? Throat? Hands?
Don't analyze. Just find it.

**Second 2 — ACKNOWLEDGE**
Internal statement: *""Anxiety present. Uncertainty detected.""*
Not ""fix this."" Just ""this is here.""

**Second 3 — DECIDE**
Question: *""Dangerous or uncomfortable?""*
Dangerous → listen.
Uncomfortable → proceed.

---

**Application:**

Think of one small avoided action.
Run the protocol.
If result = uncomfortable → execute the action now.

---

Debrief: The discomfort you felt during execution? That's the training stimulus. That's how the pattern updates."
7,05,practice_1_three_second_checkin,somatic,,"Here's a practice for your body. Three seconds.

---

**Second 1: Notice**

Where does the anxiety live right now?

Scan: Chest. Stomach. Throat. Hands.

Don't change it. Just feel where it is.

---

**Second 2: Acknowledge**

Place your attention there.

Say internally: *""There you are. You're here because something feels uncertain.""*

Just presence. No fixing.

---

**Second 3: Decide**

Ask your body: *""Is this signaling danger? Or discomfort?""*

Danger = something actually threatening.
Discomfort = the body's old pattern.

If discomfort → move anyway.

---

Try it now.

Something you've been avoiding.

Feel where the anxiety sits. Acknowledge it. Danger or discomfort?

If it's discomfort—move. With the sensation still present.

---

Notice what your body learned from that."
7,06,practice_2_box_breathing,direct,,"Now we're going to do something that might sound contradictory.

We're going to breathe.

But not to *fix* the anxiety.

**To prove you can breathe while it's still there.**

---

Breathing doesn't make anxiety go away.

But it gives you something to **anchor to** while the anxiety is present.

It's not a cure.

**It's a companion practice.**

---

**Box Breathing: 4-4-4-4**

Inhale for 4 counts.
Hold for 4 counts.
Exhale for 4 counts.
Hold for 4 counts.

---

While you're doing this—

The anxiety might still be there.

Your chest might still feel tight.
Your mind might still be racing.

**That's okay.**

You're not breathing to make those things go away.

You're breathing to prove:

*""I can do this while feeling anxious.""*

---

Let's do it now.

**Inhale... 2, 3, 4.**
**Hold... 2, 3, 4.**
**Exhale... 2, 3, 4.**
**Hold... 2, 3, 4.**

Two more rounds.

---

Did the anxiety disappear?

Maybe. Maybe not.

But you just breathed—while the anxiety was there.

**That's the proof.**"
7,06,practice_2_box_breathing,peer,,"Okay, this might seem weird.

We're going to breathe. But not to make the anxiety go away.

**To prove you can breathe while it's still there.**

---

Breathing isn't a fix. It's an anchor.

Something to do *alongside* the anxiety, not instead of it.

---

**Box Breathing: 4-4-4-4**

Inhale 4 counts.
Hold 4 counts.
Exhale 4 counts.
Hold 4 counts.

---

Do it now.

**Inhale... 2, 3, 4.**
**Hold... 2, 3, 4.**
**Exhale... 2, 3, 4.**
**Hold... 2, 3, 4.**

Again.

One more time.

---

Anxiety still there?

Maybe. Doesn't matter.

You just breathed while anxious.

That's the whole point."
7,06,practice_2_box_breathing,gentle,,"Now I'd like to invite you into a breathing practice.

But this isn't about making the anxiety go away.

It's about discovering you can breathe **while it's still there**.

---

Breathing doesn't cure anxiety.

But it gives you an anchor. Something to return to. A way of being present even when the feeling is uncomfortable.

---

**Box Breathing**

Inhale gently for 4 counts.
Hold softly for 4 counts.
Exhale slowly for 4 counts.
Hold gently for 4 counts.

---

Let's try it together.

**Inhale... 2, 3, 4.**
**Hold... 2, 3, 4.**
**Exhale... 2, 3, 4.**
**Hold... 2, 3, 4.**

Again, if you'd like.

And once more.

---

How does that feel?

The anxiety might still be there.

But you just breathed alongside it.

That's something."
7,06,practice_2_box_breathing,coach,,"**Practice 2: Box Breathing (While Anxious)**

Purpose: Not to eliminate anxiety. To prove you can regulate *alongside* it.

---

**Protocol: 4-4-4-4**

- Inhale: 4 counts
- Hold: 4 counts
- Exhale: 4 counts
- Hold: 4 counts

Repeat 3 cycles.

---

**Execute now:**

Inhale... 2, 3, 4.
Hold... 2, 3, 4.
Exhale... 2, 3, 4.
Hold... 2, 3, 4.

×3

---

**Post-practice assessment:**

Did anxiety disappear? Irrelevant metric.

Relevant metric: Did you complete the breathing while anxiety was present?

If yes—**proof acquired.**

Breathing while anxious = the skill."
7,06,practice_2_box_breathing,somatic,,"Let's move into the body now.

We're going to breathe. Not to make the anxiety leave.

**To feel what it's like to breathe while it's still here.**

---

This isn't about fixing.

It's about **being present with your body**—even when your body feels uncomfortable.

---

**Box Breathing**

Inhale for 4 counts. Feel your chest expand.
Hold for 4 counts. Notice the pause.
Exhale for 4 counts. Feel the release.
Hold for 4 counts. Rest in the stillness.

---

Let's try.

**Inhale... 2, 3, 4.**
**Hold... 2, 3, 4.**
**Exhale... 2, 3, 4.**
**Hold... 2, 3, 4.**

Again.

One more time.

---

Notice: Where is the anxiety now?

Still there? That's fine.

You just breathed alongside it.

Your body just learned: *""I can be present while this is happening.""*"
7,07,practice_3_grounding,direct,,"Here's another one. Grounding.

This isn't about calming down.

It's about **bringing your attention back to the present moment**—even while you're anxious.

---

**5-4-3-2-1**

**5 things you can see.** Look around. Door. Window. Phone. Cup. Wall.

**4 things you can touch.** Shirt. Chair. Floor under your feet. Your hands.

**3 things you can hear.** Car outside. Hum of the room. Your breath.

**2 things you can smell.** Coffee. Fabric. Air.

**1 thing you can taste.** Whatever's in your mouth right now.

---

Try it now.

5 things you see.
4 things you touch.
3 things you hear.
2 things you smell.
1 thing you taste.

---

How does that feel?

Probably still anxious.

But also—**here**.

Present. Aware.

The anxiety is present. And so are you.

That's what grounding does."
7,07,practice_3_grounding,peer,,"Grounding. Not about calming down.

About being **here**—even while anxious.

---

**5-4-3-2-1**

5 things you see. Just name them. Don't overthink.

4 things you can touch. Feel the textures.

3 things you hear. Background stuff.

2 things you smell. Or notice there's no smell.

1 thing you taste. Your mouth. Whatever's there.

---

Do it now.

5. 4. 3. 2. 1.

---

Still anxious?

Probably.

But you're also here. Present. That's the point.

The anxiety is here. And so are you. You can coexist."
7,07,practice_3_grounding,gentle,,"This practice is called grounding.

It's not about making the anxiety go away.

It's about gently bringing yourself back to the present moment—even while the anxiety is there.

---

**5-4-3-2-1**

Notice **5 things you can see**. Just name them quietly. A door. A light. Your phone.

Notice **4 things you can touch**. Feel the texture of your clothes. The chair beneath you.

Notice **3 things you can hear**. Perhaps the hum of a room. Your breath.

Notice **2 things you can smell**. Or simply notice the air.

Notice **1 thing you can taste**. Whatever's in your mouth right now.

---

Would you like to try it now?

Take your time.

---

How does that feel?

You might still feel anxious.

But you're also here. Present.

The anxiety is here. And so are you. Both can be true."
7,07,practice_3_grounding,coach,,"**Practice 3: 5-4-3-2-1 Grounding**

Purpose: Anchor attention to present moment while anxiety is active.

Not a calming technique. A presence technique.

---

**Protocol:**

**5** — Name 5 things you see
**4** — Name 4 things you can touch
**3** — Name 3 things you can hear
**2** — Name 2 things you can smell
**1** — Name 1 thing you can taste

---

**Execute now.**

Don't analyze. Just name and notice.

---

**Post-practice assessment:**

Anxiety gone? Not the metric.

Are you present? That's the metric.

You can be anxious AND here.

That's the skill you're building."
7,07,practice_3_grounding,somatic,,"Let's ground into your body and your surroundings.

This isn't about calming down.

It's about arriving **here**—in this moment—even while anxiety is present.

---

**5-4-3-2-1**

**5 things you see.** Let your eyes land on them. Don't force. Just notice.

**4 things you can touch.** Feel the fabric against your skin. The surface beneath you.

**3 things you can hear.** What's in the background? Let sound find you.

**2 things you can smell.** Breathe in gently. What's there?

**1 thing you can taste.** Notice your mouth. The tongue against teeth.

---

Try it now. Slowly.

---

What do you notice?

The anxiety might still be there.

But your body is also here. Present. Aware.

Both are true.

That's what grounding teaches your nervous system."
7,08,what_youre_building,direct,,You're building: the ability to act while anxious.
7,08,what_youre_building,peer,,You're building: the ability to act while anxious.
7,08,what_youre_building,gentle,,You're building: the ability to act while anxious.
7,08,what_youre_building,coach,,You're building: the ability to act while anxious. Execute.
7,08,what_youre_building,somatic,,Your body're building: the ability to act while anxious.
7,09,the_assignment,direct,,Assignment: one small move today. While anxious.
7,09,the_assignment,peer,,Assignment: one small move today. While anxious.
7,09,the_assignment,gentle,,Assignment: one small move today. While anxious.
7,09,the_assignment,coach,,Assignment: one small move today. Execute. While anxious. Execute.
7,09,the_assignment,somatic,,Assignment: one small move today. While anxious.
7,10,what_changes_over_time,direct,{scene_09},Over time: this stops being work. Becomes automatic.
7,10,what_changes_over_time,peer,{scene_09},Over time: this stops being work. Becomes automatic.
7,10,what_changes_over_time,gentle,{scene_09},Over time: this stops being work. Becomes automatic.
7,10,what_changes_over_time,coach,{scene_09},Over time: this stops being work. Execute. Becomes automatic. Execute.
7,10,what_changes_over_time,somatic,{scene_09},Over time: this stops being work. Becomes automatic.
7,11,whats_next_bridge,direct,,Next: what to do when it gets loud.
7,11,whats_next_bridge,peer,,Next: what to do when it gets loud.
7,11,whats_next_bridge,gentle,,Next: what to do when it gets loud.
7,11,whats_next_bridge,coach,,Next: what to do when it gets loud. Execute.
7,11,whats_next_bridge,somatic,,Next: what to do when it gets loud.
