slot_id	series_id	episode	genre_id	locale	render_path	render_layer	panel_count	bytes_min	assembly_provenance	m5_status	blind10_eligible	blocker
01	stillness_press__ahjan__en_US__anxiety__the_alarm_is_lying	ep_001	iyashikei	en_US	artifacts/manga/stillness_press__ahjan__en_US__anxiety__the_alarm_is_lying/composed_v3_qwen	EXECUTED-REAL	35	99690	legacy_v3_composed	PARTIAL	prescreen_only	M5_upgrade_pending: prefer bank-assembled re-render with 0 INTERIM before human blind-10
02	stillness_press__ahjan__en_US__anxiety__the_alarm_is_lying	ep_001	iyashikei	en_US	artifacts/manga/stillness_press__ahjan__en_US__anxiety__the_alarm_is_lying/assembled/ep_001_from_continuity	EXECUTED-REAL	35	99690	bank_assembled_v4	PASS	prescreen_only	M5: 35/35 pass byte gate; ep001_029 manifest shot_type establishing (was pillow_ma/tone_gradient)
03	warrior_calm_cultivation__master_wu__en_US__burnout__the_chassis_is_listening	ep_001	mecha	en_US	artifacts/manga/warrior_calm_cultivation__master_wu__en_US__burnout__the_chassis_is_listening/assembled/m5_prep_wiring_proof_INTERIM	INTERIM_WIRING_ONLY	2	110000	INTERIM	BLOCKED	no	M5: wiring proof only; NOT_FINAL_ART; need full bank + assembly
04	cognitive_clarity__en_US__psychological_thriller__series01	ep_001	psychological_thriller	en_US	artifacts/manga/cognitive_clarity__en_US__psychological_thriller__series01/assembled/m5_prep_wiring_proof_INTERIM	INTERIM_WIRING_ONLY	2	110000	INTERIM	BLOCKED	no	M5: wiring proof only; NOT_FINAL_ART; need full bank + assembly
05	stoic_edge_battle__dane_holt__en_US__courage__the_guard_who_lowers_the_shield	ep_001	action_battle	en_US	ABSENT	ABSENT	0	0	ABSENT	BLOCKED	no	M5: no render tree; script-only (M3)
06	healing_ground_healing__rowan_vale__en_US__grief__the_forest_keeps_their_names	ep_001	dark_fantasy	en_US	ABSENT	ABSENT	0	0	ABSENT	BLOCKED	no	M5: no render tree; script-only (M3)
07	solar_return_isekai__pax_orion__en_US__self_worth__no_resume_in_this_sky	ep_001	isekai	en_US	ABSENT	ABSENT	0	0	ABSENT	BLOCKED	no	M5: no render tree; script-only (M3)
08	high_performer_workplace__marcus_hale__en_US__burnout__green_on_the_dashboard	ep_001	workplace_drama	en_US	ABSENT	ABSENT	0	0	ABSENT	BLOCKED	no	M5: no render tree; script-only (M3)
09	calm_student_school__mina_cho__en_US__anxiety__the_bell_is_not_a_verdict	ep_001	school_coming_of_age	en_US	ABSENT	ABSENT	0	0	ABSENT	BLOCKED	no	M5: no render tree; script-only (M3)
10	digital_ground__jun_park__en_US__burnout__the_feed_is_louder_than_blood	ep_001	sci_fi_cyberpunk	en_US	ABSENT	ABSENT	0	0	ABSENT	BLOCKED	no	M5: no render tree; script-only (M3)
