item_id	item_type	title	current_status	classification	reason	current_authority	current_overlap_or_dependency	still_high_value	stale_claims	operator_decision_needed	next_action
SPEC-1	spec	ATOM_SURFACE_TAXONOMY_AND_VARIATION_MANIFEST	Source spec exists only in archive/commit; docs landing copy was missing	REFRESH	Problem remains valuable, but old surface-count and 10000-book framing misses current atom-depth, reader-state, source, story, and exercise lessons	Atom deepening spec; reader-layer spec; atom coverage audit; enrichment selection	Overlaps atom coverage audit and current atom repair gates	true	Old approximate 27 surface type framing; catalog-scale entropy as primary bar	no	Patch spec to become current measurement-only taxonomy and manifest work
SPEC-2	spec	PROSE_INTEGRITY_VALIDATOR_SET	Source spec exists only in archive/commit; docs landing copy was missing	MERGE_WITH_EXISTING	Failure classes matter, but many checks are already partly covered by register, atom, story, reader-layer, and exercise gates	register_gate.py; atom job quality gate; reader/exercise/story specs	High duplicate risk with F2/F13/F14 and atom repair gates	true	Assumes no validator coverage for several now-covered classes	no	Mark as merge note and require gap map before any new module
SPEC-3	spec	CATALOG_GPU_DISPATCHER	Source spec exists only in archive/commit; docs landing copy was missing	REFRESH	Dispatcher still useful, but must match PearlStar/offline, Conductor V3, V5 queue, image/video/social pipelines, and blocked GitHub reality	Conductor V3 bridge; PearlStar offline handoffs; queue/render workstreams	Depends on queue credentials and existing dispatcher substrate	true	Stale "spec #8 PS_QUEUE_DSN creds" dependency; GitHub availability assumption	no	Patch dependency and no-write/no-publish constraints
SPEC-4	spec	HUMAN_CALIBRATED_JUDGE	Source spec exists only in archive/commit; docs landing copy was missing	REFRESH	Advisory judge remains useful, but current story, exercise, reader-layer, and evidence standards must define rubric	Operator-rated corpus; Pearl Prime story/craft docs; atom/evidence repairs	Requires operator ratings before meaningful calibration	true	Can imply automated PASS is enough for release or bestseller bar	no	Patch as advisory calibration only
SPEC-5	spec	STORE_SERIES_NAMING_ENGINE	Source spec exists only in archive/commit; docs landing copy was missing	KEEP	Still additive and aligned; should extend existing naming machinery with status metadata	phoenix_v4/naming/generator.py; marketing/feed metadata	Naming generator exists; series taxonomy config absent	true	Minor W0 title-generalization framing	no	Keep with refreshed metadata and acceptance labels
SPEC-6	spec	FREE_TO_PAID_LADDER	Source spec exists only in archive/commit; docs landing copy was missing	REFRESH	Still valuable, but must align to live GHL feed, first paid EPUB, deterministic social dry-run, visual license gates, and no live publish assumption	Marketing feed; GHL feed; deterministic social dry-run; image/video specs	Overlaps marketing feed and social/video/image systems	true	Assumes additive schema without current release/channel constraints	no	Patch channel, license, and release authorization boundaries
SPEC-7	spec	MANGA_MULTIVOLUME_SPINE	Source spec exists only in archive/commit; docs landing copy was missing	MERGE_WITH_EXISTING	Idea valid but current repo already has serial spine loader/configs and manga story architecture	Manga serial spine loader; adopted series configs; story architect	Direct overlap with current manga serial machinery	true	Proposed paths are stale or parallel to current loader	no	Mark as merge into existing manga serial system
SPEC-8	spec	ARTIFACTS_RETENTION_POLICY	Source spec exists only in archive/commit; docs landing copy was missing	REFRESH	Retention policy still needed, but must extend LFS-to-R2 and pointer manifests with dry-run and owner signoff	LFS_TO_R2_OFFLOAD_V1_SPEC; .gitattributes; R2 pointer manifests	Feeds LFS carve-out gate and artifact cleanup work	true	Original scope underplays no-history-rewrite and owner-approval constraints	no	Patch to dry-run, pointer, owner signoff policy
SPEC-9	spec	PLANTIME_CHAPTER_CONTRACT	Source spec exists only in archive/commit; docs landing copy was missing	REFRESH	Chapter contracts remain useful, but thesis re-key is already done and current planning/story/exercise standards are richer	book_structure_plan.py; chapter_thesis_bank.yaml; narrative SSOT; reader/exercise specs	Consumes existing resolver; should not duplicate planner	true	Claims blocked by thesis-bank re-key; old contract lacks current reader/story/exercise lessons	no	Patch dependency and contract fields
RN-1	ready_now	check_tuple_viability false NO_STORY_POOL	Code path still appears to exact-match engine STORY pool before generic fallback	REFRESH	Still potentially actionable, but needs current repro and path update before patching	phoenix_v4/gates/check_tuple_viability.py; registry resolver	Touches tuple viability gating	true	Original path glob scripts/** is imprecise	no	Refresh as narrow code brief with repro-first acceptance
RN-2	ready_now	thesis-bank re-key intent x engine x topic	Topic-aware thesis bank and resolver tests exist	RETIRE	Problem already solved; old prompt should not be rerun	config/planning/chapter_thesis_bank.yaml; book_structure_plan.py	Already landed and tested	false	Still listed as prerequisite for SPEC-9	no	Retire and remove as blocker
RN-3	ready_now	register_gate F2.B phrasal-verb false-positive	register_gate has phrasal/stranded-preposition logic and tests	RETIRE	Already fixed; further work would duplicate coverage	phoenix_v4/quality/register_gate.py; tests/test_register_gate.py	Existing F2.B tests cover examples	false	Old brief assumes failure persists	no	Retire
RN-4	ready_now	F9 bare-slot detector	Wrapper placeholder/tradition leak detector and tests exist	RETIRE	Core failure class is already covered under F2.D; no duplicate F9 needed	register_gate.py; rendering wrapper tests	Existing hard-fail placeholder coverage	false	Old brief uses wrong gate label/no longer needed	no	Retire
RN-5	ready_now	BISAC topic to SEL036000 fix plus validator	Map is corrected in skeleton generators; validator file missing	MERGE_WITH_EXISTING	Only missing piece is CI validator; fold into catalog metadata gate instead of redoing mapping	catalog skeleton generators; future CI metadata gate	Partial overlap with existing corrected maps	true	"fix map" part is stale; "none exists" validator still true	no	Merge as validator-only catalog metadata task
RN-6	ready_now	word-budget clamp mid-sentence	Renderer still contains historical clamp concern; current repro not freshly proven	REFRESH	Boundary-aware clamp remains worthwhile, but stale word-count evidence must be rederived	book_renderer.py; composer/render specs	Renderer/composer boundary behavior	true	Specific 25020 to 21634 claim is stale without current repro	no	Refresh as repro-first renderer brief
RN-7	ready_now	.gitattributes LFS carve-out CI gate	LFS-to-R2 policy exists; standalone gate would duplicate retention work	MERGE_WITH_EXISTING	Valid guardrail, but belongs under SPEC-8/offload policy	LFS_TO_R2_OFFLOAD_V1_SPEC; .gitattributes; Drift detectors	Feeds artifact retention work	true	Standalone dispatch framing duplicates SPEC-8	no	Merge into retention/offload gate plan
RN-8	ready_now	cover-render consolidation	Many cover renderers exist; current visual/social systems also own assets	MERGE_WITH_EXISTING	Consolidation is valid but should fold into existing cover/visual registry, not create another path	publish cover scripts; deterministic social; image inventory	Overlaps brand/waystream cover systems and visual registry	true	"9 impl" count may be stale; registry context missing	no	Merge into visual/cover authority cleanup
RN-9	ready_now	DOCS_INDEX completeness gate	DOCS_INDEX is dirty/pre-existing; old completeness percent not verified	REFRESH	Completeness gate remains useful, but current missing-doc count must be recomputed before action	DOCS_INDEX; CLAUDE/agent required-read docs	Docs governance and CI	true	62 percent missing claim is stale	no	Refresh with current sweep and narrow docs-index gate
RN-10	ready_now	dwell integration pacing craft gate	F13 dwell/integration-starvation detector and tests exist	RETIRE	Core requested gate already exists; future severity tuning is separate roadmap	register_gate.py; tests/test_register_gate_voice.py	Existing F13 coverage	false	Old brief says module unbuilt/no longer true	no	Retire
