# Image Bank Coverage Plan — Non-Manga-Interior Slots
# Authority: Pearl_Architect coordinator session 2026-05-30
# Scope: book covers, manga covers (retail/showcase), video/podcast thumbnails, marketing/social, freebie/funnel
# EXCLUDED: manga_interior panels — DEFER to Prompt 3 (Pearl_Dev) artifact; not double-counted here
# Sources: parallel sub-agent inventory (domains a–e); brand_locale_surface_coverage_matrix_2026-05-30.tsv (Prompt 1)
# Path X: author bases + manga showcase covers render once en_US; kdp/audiobook per brand×locale; video/marketing may be locale-specific
# Render policy: IMG-RENDER-DUAL-PATH-V1-01 — Pearl_Star primary; RunComfy locale overflow; none = composited/no raster
# Wave 1 deep templates: US1 = stillness_press en_US; JP1 = stillness_press ja_JP
brand_id	locale	slot_domain	slot_type	required	present_count	gap_count	render_path	notes
__catalog__	n/a	book_covers	author_base_background	30	17	13	Pearl_Star	Registry authors in author_cover_art_registry.yaml; locale-agnostic Path X
__catalog__	n/a	book_covers	author_cover_4slot_flux	120	0	120	Pearl_Star	symbolic+environmental+abstract+human × 30 authors; 0 on disk
__catalog__	n/a	book_covers	kdp_cover_front	800	52	748	Pearl_Star	Per parallel_image_generation_plan Wave 3 target per active brand×locale; 52 en_US wizard seeds only
__catalog__	n/a	book_covers	audiobook_cover	800	14	786	Pearl_Star	Same baseline as kdp; en_US seeds only in brand-wizard-app/public/assets/covers/
__catalog__	n/a	manga_covers	manga_cover_showcase	296	97	199	Pearl_Star	Normative 8 variants×37 brands×en_US baseline; 97 PNG in manga_covers/ (13 teacher brands); 19 brands zero
__catalog__	n/a	manga_covers	manga_cover_back	296	0	296	none	Print-wrap aspirational only; 0 _back.png on disk
__catalog__	n/a	manga_covers	triptych_teacher_showcase	39	39	0	Pearl_Star	13 teachers × 3 (portrait/scene/symbolic); ws_teacher_manga_triptych complete
__catalog__	n/a	video_podcast	youtube_thumbnail	36	12	24	Pearl_Star	3 variants × 12 teachers V1; 12 test thumbs in artifacts/video/rendered only
__catalog__	n/a	video_podcast	podcast_cover_art	148	0	148	none	3000×3000 per brand×locale podcast lane; not in video/image_banks/
__catalog__	n/a	video_podcast	video_bank_global	3	3	0	Pearl_Star	Brand-agnostic vb_*.png; target met
__catalog__	n/a	video_podcast	teacher_video_bank	384	0	384	Pearl_Star	32 manifest refs; 0 per-teacher dirs on disk
__catalog__	n/a	marketing_social	social_cta_topic_config	15	15	0	none	15 topics × 8 post types in social_cta_config.yaml; copy not raster
__catalog__	n/a	marketing_social	social_image_per_book	40	0	40	none	48 Social partner generates 30–50 posts/book from R2; external engine
__catalog__	n/a	marketing_social	v32_social_text_wiring	37	8	29	none	Text specs only in v32_social_wiring.yaml
__catalog__	n/a	freebie_funnel	freebie_landing_hero	15	15	0	none	CSS-composited; 0 PNG in brand-wizard-app/public/free/
__catalog__	n/a	freebie_funnel	og_share_image	42	0	42	none	15 landings + 27 breathwork LPs missing og:image
__catalog__	n/a	freebie_funnel	somatic_exercise_app_visual	42	42	0	none	Inline HTML/CSS/SVG; no app icon PNGs
__catalog__	n/a	manga_interior	DEFER_PROMPT3	manga_panel	518	56	462	DEFER	Pearl_Dev Prompt 3 owns interior slot planning; 56 panels in manga_panels/ inventoried there only
stillness_press	en_US	book_covers	author_cover_4slot_flux	48	0	48	Pearl_Star	Wave 1 US1 deep template; 12 pen-names × 4 FLUX slots; ahjan teacher base present legacy only
stillness_press	en_US	book_covers	author_base_background	12	1	11	Pearl_Star	ahjan_base.png present; 11 stillness pen-names missing legacy bases
stillness_press	en_US	book_covers	kdp_cover_front	800	4	796	Pearl_Star	4 en_US kdp seeds in wizard inventory; PIL composite per book at render
stillness_press	en_US	book_covers	audiobook_cover	800	2	798	Pearl_Star	2 en_US audiobook seeds; two-stage FLUX+PIL policy COVER-REGISTRY-01
stillness_press	ja_JP	book_covers	kdp_cover_front	800	0	800	RunComfy	Wave 1 JP1; locale expansion queue priority 1 per IMG-RENDER-DUAL-PATH-V1-01
stillness_press	ja_JP	book_covers	audiobook_cover	800	0	800	RunComfy	JP1 book lane; author bases reuse en_US Path X
stillness_press	en_US	manga_covers	manga_cover_showcase	8	14	0	Pearl_Star	14 files in manga_covers/ (triptych+views+topics); exceeds 8-variant minimum
stillness_press	en_US	manga_covers	triptych_teacher_showcase	3	3	0	Pearl_Star	ahjan triptych complete; Pearl Star flux_txt2img_manga.json
stillness_press	en_US	manga_covers	manga_cover_back	1	0	1	none	Print wrap not inventoried
