chapter	beat_id	surface	source_type	bound_to_type	bound_to_id
3	ch3_hook_question_worth_without_output_v01	HOOK_QUESTION	authored_ch3_source	new_authored	
3	ch3_scene_performance_review_prep_v01	SCENE	authored_ch3_source	new_authored	
3	ch3_validation_receipts_are_normal_v01	VALIDATION_NORMALIZATION	authored_ch3_source	new_authored	
3	ch3_angle_callback_ledger_of_usefulness_v01	ANGLE_CALLBACK	authored_ch3_source	new_authored	
3	ch3_callback_echo_ledger_v01	CALLBACK_ECHO	authored_ch3_source	new_authored	
3	ch3_analogy_vending_machine_self_v01	ANALOGY	authored_ch3_source	new_authored	
3	ch3_author_commentary_worth_welded_to_output_v01	AUTHOR_COMMENTARY	authored_ch3_source	new_authored	
3	ch3_reader_promise_direct_you_v01	READER_PROMISE	authored_ch3_source	new_authored	
3	ch3_mara_progress_1_review_v01	STORY_PROGRESS_1	authored_ch3_source	new_authored	
3	ch3_transition_relief_to_mechanism_v01	TRANSITION_GLUE	authored_ch3_source	new_authored	
3	ch3_mechanism_output_worth_fusion_v01	MECHANISM_EXPLANATION	authored_ch3_source	new_authored	
3	ch3_teaching_binding_worth_welded_to_output_v01	COMPOSITE_TEACHING_BINDING	bound_composite_doctrine	composite_doctrine	COMPOSITE_DOCTRINE v17
3	ch3_evidence_binding_maslach_three_dimensions_v01	CITED_EVIDENCE_BINDING	bound_evidence	evidence	burn_maslach_three_dimensions_1981
3	ch3_bridge_to_external_agassi_v01	BRIDGE_TO_EXTERNAL	authored_ch3_source	new_authored	
3	ch3_external_story_agassi_v01	EXTERNAL_STORY_OR_CASE_STUDY	bound_external_story	external_story	ext_burn_sports_andre_agassi_v01
3	ch3_bridge_back_after_agassi_v01	BRIDGE_BACK_TO_READER	authored_ch3_source	new_authored	
3	ch3_persona_reflection_manager_worth_v01	PERSONA_TOPIC_REFLECTION	authored_ch3_source	new_authored	
3	ch3_troubleshooting_permission_no_instant_fix_v01	TROUBLESHOOTING_PERMISSION	authored_ch3_source	new_authored	
3	ch3_mara_progress_2_slow_week_v01	STORY_PROGRESS_2	authored_ch3_source	new_authored	
3	ch3_author_tool_intro_usefulness_audit_v01	AUTHOR_TOOL_INTRO	authored_ch3_source	new_authored	
3	ch3_tool_usefulness_audit_v01	PRACTICE_APPLICATION_TOOL	authored_ch3_source	new_authored	
3	ch3_integration_reflection_audit_v01	INTEGRATION_REFLECTION	authored_ch3_source	new_authored	
3	ch3_pivot_binding_from_yield_to_capacity_v01	PIVOT_BINDING	bound_composite_doctrine	composite_doctrine	COMPOSITE_DOCTRINE v17
3	ch3_closing_takeaway_worth_not_yield_v01	CLOSING_TAKEAWAY_BINDING	authored_ch3_source	new_authored	
3	ch3_mara_progress_3_naming_it_v01	STORY_PROGRESS_3	authored_ch3_source	new_authored	
3	ch3_callback_return_ledger_worth_v01	CALLBACK_RETURN	authored_ch3_source	new_authored	
3	ch3_propulsion_to_ch4_v01	PROPULSION	authored_ch3_source	new_authored	
4	ch4_hook_question_body_truth_v01	HOOK_QUESTION	authored_ch4_source	new_authored	
4	ch4_scene_devon_urgent_care_v01	SCENE	authored_ch4_source	new_authored	
