chapter,section_id,section_type,scene_type,variant_id,variant_family,location_tokens,word_count_approx,first_10_words
01,01,HOOK,N/A,1,F1,None,180,"There's a sentence you've been saying for years."
01,01,HOOK,N/A,2,F2,None,120,"What if I told you there's a rule you've"
01,01,HOOK,N/A,3,F3,None,130,"Picture someone you know. They have something to say—something"
01,01,HOOK,N/A,4,F4,None,140,"Imagine a doorway you've been standing in front of"
01,01,HOOK,N/A,5,F5,None,120,"How many things have you not done because you"
01,02,SCENE,digital,1,F1,{location.digital_space},110,"Think about the last time you didn't post something."
01,02,SCENE,digital,2,F2,{location.digital_space},120,"You're staring at something you wrote in {location.digital_space}."
01,02,SCENE,digital,3,F3,{location.digital_space},130,"It's late. You're alone in {location.digital_space}. You've written"
01,02,SCENE,digital,4,F4,{location.digital_space},140,"There's a graveyard on your phone. It lives in"
01,02,SCENE,digital,5,F5,{location.digital_space},130,"You had something to share in {location.digital_space}. But you"
01,03,SCENE,relational,1,F1,{location.digital_space},110,"Now think about the message you didn't send. The"
01,03,SCENE,relational,2,F2,{location.digital_space},120,"Someone texted you in {location.digital_space}. You know what you"
01,03,SCENE,relational,3,F3,{location.digital_space},110,"It's the middle of the day. You're in {location.digital_space}"
01,03,SCENE,relational,4,F4,{location.digital_space},120,"The cursor blinks in {location.digital_space}. You've typed something real."
01,03,SCENE,relational,5,F5,{location.digital_space},100,"There was a text you almost sent in {location.digital_space}."
01,04,SCENE,social,1,F1,{location.social_gathering},200,"Now the thing you didn't go to. The hangout."
01,04,SCENE,social,2,F2,{location.social_gathering},100,"They invited you to {location.social_gathering}. And immediately the questions"
01,04,SCENE,social,3,F3,{location.social_gathering},110,"The thing at {location.social_gathering} was happening right now. You'd"
01,04,SCENE,social,4,F4,{location.social_gathering},130,"There's a version of you that went to {location.social_gathering}."
01,04,SCENE,social,5,F5,{location.social_gathering},120,"You didn't go to {location.social_gathering}. And at first it"
01,05,REFLECTION,N/A,1,N/A,None,250,"Here's what's happening. Every time you say that sentence—"
01,06,REFLECTION,N/A,1,N/A,None,200,"And here's what makes this so hard to see—"
01,07,REFLECTION,N/A,1,N/A,None,120,"Here's what nobody tells you about anxiety: It's not"
01,08,REFLECTION,N/A,1,N/A,None,150,"Here's something you're not ready to believe. Not yet."
01,09,INTEGRATION,N/A,1,N/A,None,130,"Here's what this isn't: A cure. A promise that"
01,10,INTEGRATION,N/A,1,N/A,None,120,"So here's a question to sit with. Not answer"
02,01,HOOK,N/A,1,F1,None,100,"So here's what I need you to know about"
02,01,HOOK,N/A,2,F2,None,110,"Before we go further I want to address something"
02,01,HOOK,N/A,3,F3,None,100,"Imagine explaining your anxiety to someone who doesn't get"
02,01,HOOK,N/A,4,F4,None,110,"Think of the sentence as a shield you built."
