axis	r_axis	conformance_pct_axis	claim	layer_refutation_adjusted	evidence	blocking_gap_axis
V1	R1	32	Market research documents exist for CJK markets (ja_JP, zh_CN, zh_TW) and Western markets (en_US, es_US, es_ES, fr_FR, de_DE, pt_BR, hu_HU) establishing search intent and genre preference per locale	RESEARCHED	research/2026-03-30_asian-persona-topic-market-fit.md: 5 Asia locales with 3 top topics per locale ; research/2026-03-30_us-persona-topic-market-fit.md: 10 US personas with demand signals ; research/2026-03-30_europe-latam-persona-topic-market-fit.md: 6 locales with 3 topics per locale; it_IT absent	Locale-specific genre allocations (per-market flavor of the 12-genre × 37-brand matrix) do not exist as config. The CJK-genre-led vs Western-intent-led intent split is researched but not operationalized. Series plans exist for only 4 of 13 locales; 2 locales (TW, FR) are registry-blocked despite hav
V1	R1	32	A per-locale genre allocation exists mapping the 12-genre x 37-brand matrix to market-specific variance	ABSENT	docs/GENRE_PORTFOLIO_PLAN.md is global; no per-locale variant exists ; git ls-tree search for 'genre.*allocation.*locale' returns zero matches ; CJK_CATALOG_PLAN.md intent split documented but no per-locale genre allocations authored	Locale-specific genre allocations (per-market flavor of the 12-genre × 37-brand matrix) do not exist as config. The CJK-genre-led vs Western-intent-led intent split is researched but not operationalized. Series plans exist for only 4 of 13 locales; 2 locales (TW, FR) are registry-blocked despite hav
V1	R1	32	The CJK-genre-led vs Western-intent-led split is wired into catalog generation	RESEARCHED	docs/PEARL_MARKETING_BRIEF.md explicitly describes the split ; research/2026-03-30_asian-persona-topic-market-fit.md frames CJK as genre-search-driven ; config/catalog_generation_config.yaml contains NO locale-specific genre tuning; same 37 brands execute globally	Locale-specific genre allocations (per-market flavor of the 12-genre × 37-brand matrix) do not exist as config. The CJK-genre-led vs Western-intent-led intent split is researched but not operationalized. Series plans exist for only 4 of 13 locales; 2 locales (TW, FR) are registry-blocked despite hav
V1	R1	32	Series plans per locale implement per-locale genre allocations	CONFIG-EXISTS	en_US: 162 series indexed ; ja_JP: 125 series indexed with concepts in CJK_CATALOG_PLAN.md §4-6 ; zh_TW: 125 series indexed	Locale-specific genre allocations (per-market flavor of the 12-genre × 37-brand matrix) do not exist as config. The CJK-genre-led vs Western-intent-led intent split is researched but not operationalized. Series plans exist for only 4 of 13 locales; 2 locales (TW, FR) are registry-blocked despite hav
V1	R1	32	it_IT has zero market research; hu_HU has low-confidence research	RESEARCHED	it_IT: completely absent from research/2026-03-30_europe-latam-persona-topic-market-fit.md ; hu_HU: included but low-confidence (market size USD 3.18M, 5/10 opportunity score vs 8-9/10 for peers)	Locale-specific genre allocations (per-market flavor of the 12-genre × 37-brand matrix) do not exist as config. The CJK-genre-led vs Western-intent-led intent split is researched but not operationalized. Series plans exist for only 4 of 13 locales; 2 locales (TW, FR) are registry-blocked despite hav
V1	R1	32	zh_HK is deferred; research exists but per-locale spec does not	RESEARCHED	research/2026-03-30_asian-persona-topic-market-fit.md §2 includes 3 HK topics with data ; docs/CJK_CATALOG_PLAN.md §2 HK addendum defers per-locale strategic divergence to follow-up task ; zero per-locale series plans authored	Locale-specific genre allocations (per-market flavor of the 12-genre × 37-brand matrix) do not exist as config. The CJK-genre-led vs Western-intent-led intent split is researched but not operationalized. Series plans exist for only 4 of 13 locales; 2 locales (TW, FR) are registry-blocked despite hav
V2	R2/R6	72	story_architect is deterministic beat-bank generator (no LLM), but STRATEGY-DRIVEN not pure-template fallback	CODE-WIRED	phoenix_v4/manga/series/story_architect.py: `build_story_architecture_internal()` line 327–369 shows dual path: (1) try `_generate_strategy_chapters()` (lines 314–325) which loads from `config/source_of_truth/manga_story_strategies/{genre}_strategies.yaml`; (2) fallback to `_generate_default_chapters()` (template bank only) ; story_strategy_loader imported at line 129; `load_story_strategy()` reso	34% of canonical genres (44 of 129) lack craft bibles. Config/taxonomy is aspirational; craft infrastructure incomplete. Isekai, romance variants, horror, comedy, cultivation, medical unguided. R2 requirement (every genre = bestseller craft bible) unmet.
V2	R2/R6	72	Orchestrator exists: build_series_artifact_bundle(brand_id, genre_id, locale, topic) → story_architecture_internal → handoff end-to-end	CODE-WIRED	phoenix_v4/manga/series/emit.py: `build_series_artifact_bundle()` (lines 25–63) takes (series_id, arc_id, genre_id, brand_id, locale, topic) as parameters ; Line 45–48: calls `build_story_architecture_internal(series_id, arc_id, schema_version, genre_id, topic)`, then line 49: `story_architecture_internal_to_handoff(internal)` ; Line 31–44: also builds style_bible, lettering_style_bible, genre_blu	34% of canonical genres (44 of 129) lack craft bibles. Config/taxonomy is aspirational; craft infrastructure incomplete. Isekai, romance variants, horror, comedy, cultivation, medical unguided. R2 requirement (every genre = bestseller craft bible) unmet.
V2	R2/R6	72	Chapter writer path: story_architecture_handoff → chapter_script via REPLAY client (Chunk A stub) OR Tier-1 authored pair (Chunk B, operator-present)	CODE-WIRED	phoenix_v4/manga/chapter/writer.py: `write_chapter_script_pair()` (lines 73–119) calls `client.generate_json()` with a prompt built from story_architecture_handoff ; Comment at line 5: 'Chunk A: replay-backed generation only (see ReplayLLMClient). No live API in default paths.' ; phoenix_v4/manga/chapter/writer_stub.py: deterministic stub path `build_chapter_script_pair_from_handoff()` (lines 35–1	34% of canonical genres (44 of 129) lack craft bibles. Config/taxonomy is aspirational; craft infrastructure incomplete. Isekai, romance variants, horror, comedy, cultivation, medical unguided. R2 requirement (every genre = bestseller craft bible) unmet.
V2	R2/R6	72	NO live chapter-writer orchestrator on main path: story → story_architecture_handoff → chapter_script → renders. Requires pre-existing handoff or authored pair on disk.	REFUTED:EXECUTED-REAL	phoenix_v4/manga/runner/chapter_runner.py `_stage_transmission()` (lines 62–65): reads story_architecture_handoff from disk; raises FileNotFoundError if missing. Does NOT generate it. ; Entry point `run_chapter_dag()` (lines 89–144) accepts workspace path but NO (brand, genre, locale, topic) parameters. It reads pre-written artifacts. ; The only parametrized entry point is `build_series_artifact_b	34% of canonical genres (44 of 129) lack craft bibles. Config/taxonomy is aspirational; craft infrastructure incomplete. Isekai, romance variants, horror, comedy, cultivation, medical unguided. R2 requirement (every genre = bestseller craft bible) unmet.
