lesser_config_id	type	current_location	shipped_count	classification	rationale	owner_ws	risk_if_kept
L01	master_arc_chapter_count_20	config/source_of_truth/master_arcs/*.yaml (chapter_count: 20 in YAML)	449 of 531 arcs (84.6%)	OPERATOR-DECISION-REQUIRED (Q-OP-L01) — default COMPRESS-TO-CANONICAL via spine-subset	The runtime 12-spine compresses 20 arc beats into 12 chapters; surplus 8 beats double up in adjacent chapters = mechanical source of repetition cascade. corporate_managers__anxiety__spiral__F006.yaml at line 6 is the canonical example (today's smoke target).	ws_pearl_editor_one_path_phase_3a_persona_keyed_atom_backfill_20260606 (if rewrite) OR ws_pearl_dev_one_path_phase_2_runtime_gates_20260606 (if compress; per D1 assert + PR-D-SPINE-01 extension)	Every catalog-scale run on these 449 arcs reproduces the "treading water / variation of insight 1 / chronic status threat → structural insecurity → structural uncertainty" critique pattern. Reviewer dismisses in 2 paragraphs.
L02	registry_tapered_sections	registry/*.yaml chapters 02-12 with 7-9 sections	15 topics × 11 chapters short = 165 chapters with 3-2-3-3-3-3-3-3-3-3-3 missing sections = ~450 sections short (-25% of 1,800 expected)	BACKFILL-TO-CANONICAL	registry/anxiety.yaml:1632 chapter_04 ends at section_07; same pattern across all 15 topics × chapters 02-12. Runtime SOMATIC_10_SLOT_GRID fills via overlay waterfall, masking the registry source gap. Future divergence inevitable when overlay rules change.	ws_pearl_writer_one_path_phase_3b_registry_backfill_20260606	Source-of-truth lies; any agent that reads the registry as the architectural spec gets the wrong shape. Registry-validate-time gate (D2) raises SectionGridError on every topic until backfilled.
L03	section_02_scene_label_drift	registry/*.yaml section_02 atoms labeled type: SCENE (not STORY)	180 of 180 chapters across 15 topics (100%)	COMPRESS-TO-CANONICAL — mechanical Pearl_Dev sweep (sed)	Pre-PR-669 label drift. PR-669 made STORY canonical at sec 2/5/9; registry was never retconned. Audit Agent A1 confirms. BG-PR-09 ratified the swap but the registry corpus didn't follow.	ws_pearl_dev_one_path_phase_1_mechanical_sweeps_20260606	BESTSELLER-INJECTIONS-MANDATORY-01 §13 rubric criterion 7 (Story aha) misfires per chapter at sec 2/5/9 because the slot label doesn't match the spec contract.
L04	runtime_variant_floor_skip	phoenix_v4/planning/registry_resolver.py:519-607 — variant selector never asserts len(variants) >= min_variants_required	1 critical code path (silent acceptance for all renders)	DELETE-SILENT-ACCEPTANCE-PATH (~5 line PR)	Floor enforced exclusively offline at scripts/registry/validate_variant_coverage.py:96 DEFAULT_MIN_VARIANTS=3. Audit Agent A4 flagged as load-bearing anomaly. Any registry section that ships with <3 variants silently proceeds at runtime.	ws_pearl_dev_one_path_phase_2_runtime_gates_20260606 (D4 VariantFloorError)	SPEC-739-THRESHOLD-01 is hollow — the floor exists in CI but not in production. Future content authoring that drops below 3 variants ships with no warning.
L05	vestigial_runtime_templates_chapter_count	phoenix_v4/planning/book_structure_plan.py:71-73 — RUNTIME_TEMPLATES dict with chapter_count field	1 file location; 3+ runtime format keys carry divergent values (short_book_30=6, standard_book=12, deep_book_6h=12) vs registry SSOT	DELETE-DEAD-CODE	AUTO-PLAN-SSOT-01-AMENDMENT acknowledged this as "low priority" but kept it; AUTO-PLAN-SSOT-01 refactor shipped removing FORMAT_CHAPTER_COUNTS but didn't reach RUNTIME_TEMPLATES.chapter_count. Audit Agent A3 confirms vestigial.	ws_pearl_dev_one_path_phase_1_mechanical_sweeps_20260606 (L05 + L03)	Third divergent SSOT alongside registry; any code path that incidentally reads RUNTIME_TEMPLATES.chapter_count gets the legacy values. AUTO-PLAN-SSOT-01 partially undone.
L06	generic_teacher_banks_doctrine_fallback	phoenix_v4/planning/registry_resolver.py:415-462 — atom-resolver waterfall falls through to teacher_banks/<teacher>/doctrine/ when persona-keyed TEACHER_DOCTRINE absent	1 fallback path; affects 13+ persona×topic combos without persona-keyed TEACHER_DOCTRINE atoms (corporate_managers/anxiety, healthcare_rns/compassion_fatigue, working_parents/somatic_healing, etc.)	DELETE-FALLBACK-PATH (replace with fail-fast)	The fallback produces voice fragmentation — generic Buddhist Ahjan in section_06 of every chapter instead of persona-tailored Ahjan voice (e.g. the "Slack at 9:47pm / footstep on street" line from gen_z_professionals/anxiety/TEACHER_DOCTRINE/CANONICAL.txt:9). Audit Agent A2 + the regression doc (artifacts/qa/pearl_prime_why_smoke_was_worse_2026-06-06.md) confirm root cause of the three-voice fragmentation critique.	ws_pearl_dev_one_path_phase_2_runtime_gates_20260606 (D8 PersonaAtomCoverageError) — gated on Phase 3a atom backfill landing first OR Q-OP-L09 staged authorization	Every catalog run on persona × topic combos without persona-keyed atoms reproduces the corporate_managers-style voice fragmentation regression. The critique sticks for every non-gen_z_professionals persona.
L07	draft_profile_catalog_runs	scripts/run_pipeline.py argparse default quality_profile=production but draft is permitted; Move 4 sweep used --quality-profile draft	1 known catalog precedent (Move 4 2026-04-26; 30-book sweep)	DELETE-FOR-CATALOG-USE (draft OK for ad-hoc smoke only via --smoke per Q-OP-DRAFT-PROFILE-SMOKE-01)	Move 4's "27/30 BESTSELLER (90%)" verdict measured named-character STORY mechanism presence at sec 2/5/9 — NOT §13 rubric pass. Every Move 4 book had book_pass: FAIL and release_band: Reject in the underlying gates JSON (assembly_summary.json line 5: "quality_profile": "draft"). Audit Agent A5 confirms.	ws_pearl_dev_one_path_phase_2_runtime_gates_20260606 (D6 CatalogProfileError)	False-positive "bestseller" verdicts inflate operator confidence; the §13 rubric never actually fires; catalog-scale launch ships sub-bestseller drafts that reviewers dismantle.
L08	audiobook_wpm_out_of_band	config/format_selection/format_registry.yaml — runtime formats with midpoint-wpm ∉ [130, 200]	7 of 10 main-tier sub-2h formats (micro_15=233, micro_20=213, short_30=200 at ceiling, standard_book=264 worst, compact_5ch_15min=250, compact_5ch_20min=238, compact_8ch_30min=217) + deep_book_4h=125 at lower edge	REWRITE-FORMAT-REGISTRY (raise word-count ceilings OR shorten target duration; operator-driven per format)	standard_book midpoint = 264 wpm — driven by 20000 word_range ceiling raised on gold-reference branch to absorb depth-pass overshoot. Audit Agent A3 + A5 cross-reference. Audiobook produced at advertised duration is unlistenable (TTS would need 264 wpm narration; therapeutic audiobook norm = 150 wpm).	ws_pearl_dev_one_path_phase_2_runtime_gates_20260606 (D11 AudiobookWpmOutOfBandError + format-registry recalibration follow-up)	Audiobooks produced at declared duration don't actually fit declared duration. Operator confidence in format-registry calibration broken.
L09	persona_atom_coverage_incomplete	atoms/<persona>/<topic>/ — personas missing one or more of the 16 required slot-type dirs	12 of 14 personas (only gen_z_professionals has full 16-slot-type coverage for anxiety; midlife_women=0 arcs + atoms exist; educators=1 arc; nyc_executives=4 arcs)	BACKFILL OR BLOCK (operator picks per persona Q-OP-L09)	corporate_managers/anxiety/ missing TEACHER_DOCTRINE, PERMISSION_GRANT, TEACHER_DOCTRINE_INTRO, ANGLE_DEFINITION, ANGLE_CALLBACK. healthcare_rns/compassion_fatigue/ same. working_parents/somatic_healing/ same. Audit Agent A2 confirms. Regression doc (pearl_prime_why_smoke_was_worse_2026-06-06.md) confirms causal link to voice fragmentation critique.	ws_pearl_editor_one_path_phase_3a_persona_keyed_atom_backfill_20260606	Any catalog run on these 12 personas regresses to fragmented-voice draft regardless of profile. The gold-reference quality is locked to gen_z_professionals until backfill catches up.
L10	eu_locale_atom_gap	atoms/de-DE/ + atoms/fr-FR/ — directories absent	2 of 5 top-locale targets per CATALOG-800-PER-BRAND-01 (en-US present; ja-JP/zh-TW present; de-DE/fr-FR/ko-KR partial-or-missing; ko-KR has 227 atoms; de-DE + fr-FR have 0)	BACKFILL-OR-DEMOTE-CATALOG-SCOPE (operator picks Q-OP-L10)	The 800-config math at artifacts/research/full_content_audit.md:65 assumes 5 top locales (en-US, de-DE, ja-JP, ko-KR, fr-FR). With only en-US + ja-JP + zh-TW (~3) effectively shipping, achievable = 24 × 4 × 2.5 × 3 × 3 ≈ 540 configs, not 800. Audit Agent A6 confirms.	ws_pearl_editor_one_path_phase_3a_persona_keyed_atom_backfill_20260606 (extended to EU locale) OR cap-entry amendment of CATALOG-800-PER-BRAND-01 to demote to top-3	CATALOG-800-PER-BRAND-01 number inflates; planning assumptions wrong; launch trajectory misestimated.
