teacher_id	locale	book_brand	manga_brand	demographic	proposed_style_mode	rationale	tts_voice_plan	character_design_ref_path	audiobook_prose_anchor_path	flags
ahjan	en-US	stillness_press	stillness_press	josei	pure_manga	Iyashikei flagship demographic; restorative breath-paced linework matches "the alarm is lying" anxiety transformation.	edge_tts_ChristopherNeural_OR_ahjan_voice_profile_if_present	(reuse manga character_design from brand_lora_plans.character_loras.ahjan)	artifacts/audiobook_samples/_prose/ahjan_anxiety_ch1.txt	—
joshin	ja-JP	cognitive_clarity	cognitive_clarity	seinen	pure_manga	Seinen overthinking flagship; cleanest manga linework; PILOT locked Q3 (Wave B1).	cosyvoice2_pearlstar_reference_clone_if_avail_else_ja_stock	(reuse manga character_design from brand_lora_plans.character_loras.joshin)	artifacts/audiobook_samples/_prose/joshin_anxiety_ch1.txt	pilot
miki	ja-JP	digital_ground	digital_ground	manhwa	pure_manga	Manhwa vertical webtoon-style fits 9:16 short natively; imposter_syndrome arc reads as scrolling-screen breakdown → release.	cosyvoice2_pearlstar_reference_clone_if_avail_else_ja_stock	(reuse manga character_design from brand_lora_plans.character_loras.miki)	artifacts/audiobook_samples/_prose/miki_imposter_syndrome_ch1.txt	—
junko	ja-JP	relational_calm	relational_calm	josei	pure_manga	Iyashikei josei; relational tension → release fits standard manga vocabulary.	cosyvoice2_pearlstar_reference_clone_if_avail_else_ja_stock	(reuse manga character_design from brand_lora_plans.character_loras.junko)	artifacts/audiobook_samples/_prose/junko_overthinking_ch1.txt	—
omote	ja-JP	body_memory	body_memory	josei	pure_manga	Shojo somatic body-memory; shojo linework tradition holds the embodied register without abstraction drift.	cosyvoice2_pearlstar_reference_clone_if_avail_else_ja_stock	(reuse manga character_design from brand_lora_plans.character_loras.omote)	artifacts/audiobook_samples/_prose/omote_sleep_anxiety_ch1.txt	—
master_wu	zh-TW	warrior_calm	warrior_calm	shonen	pure_manga	Shonen cultivation/martial; clear genre fit for courage transformation arc.	cosyvoice2_pearlstar_reference_clone_if_avail_else_zh_tw_stock	(reuse manga character_design from brand_lora_plans.character_loras.master_wu)	artifacts/audiobook_samples/_prose/master_wu_courage_ch1.txt	—
master_feung	zh-CN	qi_foundation	qi_foundation	seinen_cultivation_proposed	manga_fantasy_hybrid	qi_foundation NOT present in canonical_brand_list.yaml — propose demographic=seinen-cultivation; manga-fantasy hybrid honors qi-cultivation aesthetic (mountainscape, ink-wash mist) without dropping linework grammar.	cosyvoice2_pearlstar_reference_clone_if_avail_else_zh_cn_stock	(reuse manga character_design from brand_lora_plans.character_loras.master_feung)	artifacts/audiobook_samples/_prose/master_feung_burnout_ch1.txt	D1_qi_foundation_missing_from_canonical_brand_list
master_sha	en-US	sleep_restoration	sleep_restoration	josei	manga_fantasy_hybrid	Iyashikei night/dream brand; surreal grief-as-sleepscape works in manga-fantasy hybrid (manga linework + dream-fantasy palette).	edge_tts_ChristopherNeural_OR_master_sha_voice_profile_if_present	(reuse manga character_design from brand_lora_plans.character_loras.master_sha)	artifacts/audiobook_samples/_prose/master_sha_grief_ch1.txt	—
ra	en-US	solar_return	solar_return	shonen	manga_fantasy_hybrid	Isekai-classified brand; self_worth arc framed as inter-dimensional return naturally calls fantasy wardrobe/landscape against manga structure.	edge_tts_ChristopherNeural_OR_ra_voice_profile_if_present	(reuse manga character_design from brand_lora_plans.character_loras.ra)	artifacts/audiobook_samples/_prose/ra_self_worth_ch1.txt	—
pamela_fellows	en-US	somatic_wisdom	somatic_wisdom	josei	cinematic_painterly_fantasy	Body-awareness/burnout reads cleanest in warm illustrated-novel-cover register; less stylized than manga, more emotionally legible for a mass-clinical audience.	edge_tts_ChristopherNeural_OR_pamela_fellows_voice_profile_if_present	(reuse manga character_design from brand_lora_plans.character_loras.pamela_fellows)	artifacts/audiobook_samples/_prose/pamela_fellows_burnout_ch1.txt	—
sai_ma	en-US	devotion_path	devotion_path	shonen	cinematic_painterly_fantasy	Devotional grief register reads richer in classical-painterly mode (illustrated-novel cover, brushwork) than in clean manga linework.	edge_tts_ChristopherNeural_OR_sai_ma_voice_profile_if_present	(reuse manga character_design from brand_lora_plans.character_loras.sai_ma)	artifacts/audiobook_samples/_prose/sai_ma_grief_ch1.txt	—
maat	en-US	heart_balance	heart_balance	josei	experimental	Experimental slot — Egyptian-symbolic motion-comic / 3D-illustrated mode that pushes range demonstration furthest from manga realism while teacher identity (12-axis character_design) stays locked.	edge_tts_ChristopherNeural_OR_maat_voice_profile_if_present	(reuse manga character_design from brand_lora_plans.character_loras.maat)	artifacts/audiobook_samples/_prose/maat_self_worth_ch1.txt	ready — D2 closed PR #943 merge 54b759d603
adi_da	zh-TW	(NONE — not in operator's 12-brand list nor brand_lora_plans.character_loras nor brand_suffixes)	(NONE)	(unbound)	(deferred_v1_1)	13th row preserved; Q1=(b) defer V1.1. No manga brand binding in brand_lora_plans.character_loras; awaits brand assignment — do NOT render under V1 cap.	cosyvoice2_pearlstar_reference_clone_if_avail_else_zh_tw_stock	(NONE — no character_design instance exists; V1.1 scoping + brand_lora_plans amendment required)	artifacts/audiobook_samples/_prose/adi_da_self_worth_ch1.txt	deferred_v1_1; rationale=no manga brand binding in brand_lora_plans.character_loras; awaits brand assignment
