example_id	format	platform	topic	persona	design_family	asset_path	caption_opening	operator_visual_qa_required	production_ready
ig_burnout_full_bleed	static	instagram	burnout	corporate_managers	photo_full_bleed_emotional	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/ig_burnout_full_bleed.jpg	Burnout is easier to notice when you stop calling every leak a personal flaw.	True	False
li_burnout_framework	static	linkedin	burnout	corporate_managers	diagram_framework	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/li_burnout_framework.jpg	Burnout is easier to notice when you stop calling every leak a personal flaw.	True	False
pin_hope_object	static	pinterest	hope	general_readers	object_metaphor	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/pin_hope_object.jpg	A small piece of evidence can do more for hope than a large demand to feel better.	True	False
fb_grief_full_bleed	static	facebook	grief	faith_community	photo_full_bleed_emotional	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/fb_grief_full_bleed.jpg	Grief can be honored without turning it into a performance of being okay.	True	False
x_overthinking_poster	static	x	overthinking	gen_z_students	premium_type_poster	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/x_overthinking_poster.jpg	Overthinking often calms down when the mind gets a small, visible exit ramp.	True	False
threads_anxiety_poster	static	threads	anxiety	healthcare_staff	premium_type_poster	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/threads_anxiety_poster.jpg	When anxiety is loud, the first helpful move can be environmental, not intellectual.	True	False
bsky_overthinking_object	static	bluesky	overthinking	general_readers	object_metaphor	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/bsky_overthinking_object.jpg	Overthinking often calms down when the mind gets a small, visible exit ramp.	True	False
gb_boundaries_checklist	static	google_business	boundaries	local_service_clients	tool_checklist_card	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/gb_boundaries_checklist.jpg	A boundary works better when it has a visible shape in your calendar, room, or routine.	True	False
ig_hope_book_page	static	instagram	hope	book_readers	book_page_quote	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/ig_hope_book_page.jpg	A small piece of evidence can do more for hope than a large demand to feel better.	True	False
li_anxiety_checklist	static	linkedin	anxiety	healthcare_staff	tool_checklist_card	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/li_anxiety_checklist.jpg	When anxiety is loud, the first helpful move can be environmental, not intellectual.	True	False
pin_boundaries_poster	static	pinterest	boundaries	general_readers	premium_type_poster	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/pin_boundaries_poster.jpg	A boundary works better when it has a visible shape in your calendar, room, or routine.	True	False
fb_burnout_local_note	static	facebook	burnout	apac_localization_draft	localized_lifestyle_note	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/fb_burnout_local_note.jpg	Burnout is easier to notice when you stop calling every leak a personal flaw.	True	False
ig_overthinking_story_carousel	carousel	instagram	overthinking	gen_z_students	story_carousel	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/ig_overthinking_story_carousel	Overthinking often calms down when the mind gets a small, visible exit ramp.	True	False
li_burnout_manager_carousel	carousel	linkedin	burnout	corporate_managers	story_carousel	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/li_burnout_manager_carousel	Burnout is easier to notice when you stop calling every leak a personal flaw.	True	False
pin_anxiety_saveable_carousel	carousel	pinterest	anxiety	healthcare_staff	story_carousel	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/pin_anxiety_saveable_carousel	When anxiety is loud, the first helpful move can be environmental, not intellectual.	True	False
tt_burnout_faceless	shortform	tiktok_reels_shorts	burnout	corporate_managers	faceless_video_broll	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane05_pearl_animator_rebuild/shortform_first_frames/tt_burnout_faceless_first_frame.jpg	Before you blame yourself, check the load.	True	False
yt_overthinking_faceless	shortform	youtube_shorts	overthinking	gen_z_students	faceless_video_broll	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane05_pearl_animator_rebuild/shortform_first_frames/yt_overthinking_faceless_first_frame.jpg	A loop gets louder when it has no exit.	True	False
tt_anxiety_faceless	shortform	tiktok_reels_shorts	anxiety	healthcare_staff	faceless_video_broll	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane05_pearl_animator_rebuild/shortform_first_frames/tt_anxiety_faceless_first_frame.jpg	Start by shrinking the room.	True	False
