brand_id,genre,series_id,topic,topic_was_tbd,title,manga_author,author_was_tbd
adhd_forge_mystery,action_battle,adhd_forge_mystery__en_US__action_battle__series01,adhd_focus,True,Hammerstorm Brigade,Sage Hearthlight,True
adhd_forge_mystery,isekai,adhd_forge_mystery__en_US__isekai__series01,courage,True,The Anvil Between Worlds,Flux Codex,True
adhd_forge_mystery,psychological_thriller,adhd_forge_mystery__en_US__psychological_thriller__series01,self_worth,True,The Quiet Forge,Fern Tidecalm,True
adhd_forge_mystery,sports_competition,adhd_forge_mystery__en_US__sports_competition__series01,adhd_focus,True,Full-Throttle Circuit,Wren Dawnmoss,True
bio_flow_healing,historical_period,bio_flow_healing__en_US__historical_period__series01,somatic_healing,True,The Tidewater Physician,Petal Stillwater,True
bio_flow_healing,iyashikei,bio_flow_healing__en_US__iyashikei__series01,overthinking,True,The Slow River Inn,Sage Softwind,True
bio_flow_healing,psychological_thriller,bio_flow_healing__en_US__psychological_thriller__series01,sleep,True,Pulse of the Drowned City,Sage Moongarden,True
bio_flow_healing,psychological_thriller,bio_flow_healing__en_US__psychological_thriller__series02,somatic_healing,True,The Sleepwalker's Ward,Wren Tidecalm,True
bio_flow_healing,sci_fi_cyberpunk,bio_flow_healing__en_US__sci_fi_cyberpunk__series01,overthinking,True,Signal Bleed,Cove Stillwater,True
bio_flow_healing,sci_fi_cyberpunk,bio_flow_healing__en_US__sci_fi_cyberpunk__series02,sleep,True,Dreamfeed District,Mira Stillwater,True
body_memory_shojo,dark_fantasy,body_memory_shojo__en_US__dark_fantasy__series01,somatic_healing,True,The Skin of the Forest,Fern Moongarden,True
body_memory_shojo,dark_fantasy,body_memory_shojo__en_US__dark_fantasy__series02,trauma_recovery,True,Where the Scars Remember,Lumi Stillwater,True
body_memory_shojo,iyashikei,body_memory_shojo__en_US__iyashikei__series01,shame,True,The Quiet After Bloom,Hana Hearthlight,True
body_memory_shojo,iyashikei,body_memory_shojo__en_US__iyashikei__series02,grief,True,Letters to the Empty Chair,Hana Hearthlight,True
