lane,locale,brand,brand_locale_name,subject,persona,teacher,teacher_mode,title,subtitle,raw_score,normalized_score,listing_ready,format
book_script,en_US,warrior_calm,Iron Gate Press,courage,first_responders,master_wu,true,Steady Jump Scared,A Guide to Building Courage and Facing the Unknown — for frontline workers,0.95,0.95,True,pearl_prime_12x10x5
book_script,en_US,sleep_restoration,Night Architecture Books,sleep_anxiety,healthcare_rns,master_sha,true,Restful The 3 AM Mind,A Guide to Overcoming Insomnia and Sleep Anxiety — for healthcare workers,0.95,0.95,True,pearl_prime_12x10x5
book_script,en_US,body_memory,Held Ground Press,grief,healthcare_rns,omote,true,Held Where the Love Goes,A Grief Companion for Year One and After — for healthcare workers,0.95,0.95,True,pearl_prime_12x10x5
book_script,en_US,body_memory,Held Ground Press,somatic_healing,healthcare_rns,omote,true,Held Unlock the Freeze,A Somatic Guide to Nervous System Reset and Trauma Release — for healthcare workers,0.95,0.95,True,pearl_prime_12x10x5
book_script,en_US,cognitive_clarity,Clear Seeing Books,overthinking,tech_finance_burnout,joshin,true,Clear Thought Traffic,"Breaking Free from Overthinking, Worry, and Analysis Paralysis — for tech and finance pros",0.93,0.93,True,pearl_prime_12x10x5
book_script,en_US,somatic_wisdom,Felt Sense Publishing,somatic_healing,millennial_women_professionals,pamela_fellows,true,Embodied The Body Remembers the Way Out,Somatic Healing and Nervous System Recovery — for millennial women professionals,0.93,0.93,True,pearl_prime_12x10x5
book_script,en_US,somatic_wisdom,Felt Sense Publishing,somatic_healing,healthcare_rns,pamela_fellows,true,Embodied The Body Remembers the Way Out,Somatic Healing and Nervous System Recovery — for healthcare workers,0.93,0.93,True,pearl_prime_12x10x5
book_script,en_US,digital_ground,Present Tense Books,financial_anxiety,gen_z_professionals,miki,true,Grounded The Quiet Ledger,A Financial Anxiety Practice for the Spreadsheet-Tired — for Gen Z professionals,0.93,0.93,True,pearl_prime_12x10x5
book_script,en_US,digital_ground,Present Tense Books,financial_anxiety,gen_z_student,miki,true,Grounded Broke and Breathing,A Somatic Guide to Financial Anxiety Recovery — for Gen Z students,0.93,0.93,True,pearl_prime_12x10x5
book_script,en_US,digital_ground,Present Tense Books,financial_stress,gen_z_professionals,miki,true,Grounded Broke and Breathing,A Somatic Guide to Financial Stress Recovery — for Gen Z professionals,0.93,0.93,True,pearl_prime_12x10x5
