example_id	format	platform	topic	design_family	score	hard_fail	flags	status	operator_visual_qa_required	production_ready
ig_burnout_full_bleed	static	instagram	burnout	photo_full_bleed_emotional	92	False		PASS_DRAFT_OPERATOR_QA_READY	True	False
li_burnout_framework	static	linkedin	burnout	diagram_framework	92	False		PASS_DRAFT_OPERATOR_QA_READY	True	False
pin_hope_object	static	pinterest	hope	object_metaphor	92	False		PASS_DRAFT_OPERATOR_QA_READY	True	False
fb_grief_full_bleed	static	facebook	grief	photo_full_bleed_emotional	92	False		PASS_DRAFT_OPERATOR_QA_READY	True	False
x_overthinking_poster	static	x	overthinking	premium_type_poster	92	False		PASS_DRAFT_OPERATOR_QA_READY	True	False
threads_anxiety_poster	static	threads	anxiety	premium_type_poster	92	False		PASS_DRAFT_OPERATOR_QA_READY	True	False
bsky_overthinking_object	static	bluesky	overthinking	object_metaphor	92	False		PASS_DRAFT_OPERATOR_QA_READY	True	False
gb_boundaries_checklist	static	google_business	boundaries	tool_checklist_card	92	False		PASS_DRAFT_OPERATOR_QA_READY	True	False
ig_hope_book_page	static	instagram	hope	book_page_quote	92	False		PASS_DRAFT_OPERATOR_QA_READY	True	False
li_anxiety_checklist	static	linkedin	anxiety	tool_checklist_card	92	False		PASS_DRAFT_OPERATOR_QA_READY	True	False
pin_boundaries_poster	static	pinterest	boundaries	premium_type_poster	92	False		PASS_DRAFT_OPERATOR_QA_READY	True	False
fb_burnout_local_note	static	facebook	burnout	localized_lifestyle_note	92	False		PASS_DRAFT_OPERATOR_QA_READY	True	False
ig_overthinking_story_carousel	carousel	instagram	overthinking	story_carousel	92	False		PASS_DRAFT_OPERATOR_QA_READY	True	False
li_burnout_manager_carousel	carousel	linkedin	burnout	story_carousel	92	False		PASS_DRAFT_OPERATOR_QA_READY	True	False
pin_anxiety_saveable_carousel	carousel	pinterest	anxiety	story_carousel	92	False		PASS_DRAFT_OPERATOR_QA_READY	True	False
tt_burnout_faceless	shortform	tiktok_reels_shorts	burnout	faceless_video_broll	87	False		PASS_DRAFT_OPERATOR_QA_READY	True	False
yt_overthinking_faceless	shortform	youtube_shorts	overthinking	faceless_video_broll	87	False		PASS_DRAFT_OPERATOR_QA_READY	True	False
tt_anxiety_faceless	shortform	tiktok_reels_shorts	anxiety	faceless_video_broll	87	False		PASS_DRAFT_OPERATOR_QA_READY	True	False
