surface_id	mode	priority	spec_of_record	research_anchor	runtime_or_artifact_path	current_acceptance_layer	definition_of_100pct	content_gap	translation_gap	function_gap	proof_gap	active_pr_or_workstream	next_action	blocker_owner	notes
flagship_composite_regular	composite_regular	P0	docs/PEARL_PRIME_BESTSELLER_ACCEPTANCE_SCORECARD.md	docs/BESTSELLER_DRIFT_ROOT_CAUSE_2026-07-02.md	artifacts/qa/snapshots/CANONICAL_FLAGSHIP_BOOK.txt	PROVEN-AT-BAR	Layer-4 blind-read approved; CI goldens live	none	none	none	none	none	maintain-parity	Pearl_Dev	Only proven cell; do not conflate with catalog
waystream_catalog_epub	composite_regular	P0	docs/PROGRAM_STATE.md §Production-Gate	artifacts/qa/waystream_render_bottleneck_snapshot_20260622.md	artifacts/epubs/way_stream_sanctuary/	system working	register-PASS EPUB + GHL attach per cell	none for first cell	all locales	none	Layer-4 for catalog scale	none	replicate-1923-loop-10-cells	Pearl_Prime	1 EPUB on main; 4 cells register-PASS
catalog_listings_en_us	composite_regular	P2	docs/PEARL_PRIME_BOOK_SYSTEM_CANONICAL.md	research/2026-03-30_us-persona-topic-market-fit.md	config/source_of_truth/book_plans_en_us/	CONFIG-EXISTS	listing ≠ EPUB; 100% = attachable EPUB per sellable cell	none	none	none	none	catalog-fanout PRs (~150)	do-not-merge-for-launch	Pearl_PM	Listings are not books
thin_persona_engine_story	composite_regular	P0	docs/PEARL_PRIME_ATOM_100PCT_COVERAGE_SSOT.md	none (content program)	atoms/<persona>/<topic>/<engine>/CANONICAL.txt	path broken	≥12 banded STORY variants per engine-keyed cell	engine-keyed pools missing	none	none	tuple-viability preflight	#5489	seed-engine-pools + binding call	operator/educators binding	Educators/nyc arc-seeded +462 cells
atom_matrix_en_us	composite_regular	P0	docs/PEARL_PRIME_ATOM_100PCT_COVERAGE_SSOT.md	none	artifacts/qa/pearl_prime_atom_100pct_gap_matrix_20260606.tsv	RESEARCHED/SPECCED	1890 cells × ≥3 variants	~20773 cells at 0 variants	none	none	none	#5237 #5503	P0 tier backfill	Pearl_Editor/Wirter	Gap matrix 20804 rows
pipeline_spine_default	composite_regular	P0	docs/PEARL_PRIME_BOOK_SYSTEM_CANONICAL.md §1.1	none	scripts/run_pipeline.py	CODE-WIRED	default --pipeline-mode spine	none	none	registry default drift	none	#5490	merge-5490	Pearl_Dev	Spec/code drift known
anxiety_enrichment_contract	composite_regular	P1	docs/PEARL_PRIME_WHOLE_WORKFLOW_HARDENING_SPEC.md	BESTSELLER_DRIFT doc	phoenix_v4/planning/enrichment_select.py	system working (open PR)	contract-v1 enrichment proof for anxiety lane	none	none	none	single-cell proof	#5492	merge-5492	Pearl_Prime	Proof lane not catalog scale
midlife_women_arc	composite_regular	P1	specs/PHOENIX_ARC_FIRST_CANONICAL_SPEC.md	research/2026-03-30_us-persona-topic-market-fit.md	config/source_of_truth/master_arcs/	AUTHORED (PR)	F006 arc slice renderable	arc slice in PR	none	none	none	#5494	merge-5494	Pearl_Prime	Expands beyond flagship persona
teacher_mode_compile	teacher_mode	P1	docs/TEACHER_PRODUCTION_READINESS.md	docs/migrations/*teacher* specs	scripts/ci/run_teacher_production_gates.py	CODE-WIRED	F006 slot coverage + EPUB proof per teacher	F006 slot depth all teachers	none	none	Layer-4 none	none	stub_f006 + compile smoke	Pearl_Editor	12 teachers gated; samples exist
teacher_mode_epub_attach	teacher_mode	P2	docs/TEACHER_MODE_SYSTEM_REFERENCE.md	none	artifacts/epub/*.epub	EXECUTED-REAL (samples)	catalog attach like Waystream #1947	none	none	batch attach script	none	none	one-teacher-epub-wave	Pearl_Prime	138 epub on main mostly samples
