chapter	chapter_theme	status	reason
3	worth equals usefulness	AUTHORED	27/27 surfaces present, 0 placeholders, 0 fallbacks. Protagonist: Mara (continued from Ch1).
4	the body was telling the truth	AUTHORED	27/27 surfaces present, 0 placeholders, 0 fallbacks. Protagonist: Devon. Canonical exercise bound (body_001 Foundation Scan).
5	overfunctioning as mechanism	AUTHORED	27/27 surfaces present, 0 placeholders, 0 fallbacks. Protagonist: Renata.
6	why vacation/rest did not work	AUTHORED	27/27 surfaces present, 0 placeholders, 0 fallbacks. Protagonist: Tomás. Canonical exercise bound (integ_030 Saying Yes to Rest).
7	who are you when not useful	AUTHORED	27/27 surfaces present, 0 placeholders, 0 fallbacks. Protagonist: Aisha.
8	relational consequence of rescuing	AUTHORED	27/27 surfaces present, 0 placeholders, 0 fallbacks. Protagonist: Marcus.
9	finite capacity as accurate accounting	AUTHORED	27/27 surfaces present, 0 placeholders, 0 fallbacks. Protagonist: Sofia. Canonical exercise bound (integ_026 Energy Management).
10	the deliberate not-do	AUTHORED	27/27 surfaces present, 0 placeholders, 0 fallbacks. Protagonist: Jordan. Canonical exercise bound (integ_012 Boundary Setting).
11	worth without output	AUTHORED	27/27 surfaces present, 0 placeholders, 0 fallbacks. Protagonist: Grace.
12	rebuilding from inside, book-level callback	AUTHORED	27/27 surfaces present, 0 placeholders, 0 fallbacks. Protagonist: Elena. Canonical exercise bound (integ_034 Bringing It All With You). CALLBACK_RETURN explicitly closes the Ch1/Mara ledger motif.
