locale,market,brand,brand_locale_name,title,subtitle,topic,persona,teacher_id,teacher_mode,runtime_format,duration_band,section_plan_id,variant_pool_size,bestseller_overlay_ref,selection_strategy,pipeline_route,readiness_status,required_source_atoms,required_registry_topic,output_target_path,notes,blockers
zh_CN,china,sleep_repair_cn,,穿越注意力困难，走向睡眠修复的日子,注意力困难恢复期的睡眠修复的陪伴 — 写给中层管理者,adhd_focus,corporate_managers,ahjan,false,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,blocked_arc_missing,atoms/corporate_managers/anchored/adhd_focus/CANONICAL.txt;atoms/corporate_managers/adhd_focus/scene/CANONICAL.txt;atoms/corporate_managers/adhd_focus/depth/CANONICAL.txt;atoms/corporate_managers/adhd_focus/teacher/CANONICAL.txt,registry/adhd_focus.yaml,artifacts/books/zh_CN/sleep_repair_cn/adhd_focus_corporate_managers_ahjan.json,composite=0.76; no master_arc matching corporate_managers__adhd_focus__*.yaml under config/source_of_truth/master_arcs/,needs_master_arc
zh_CN,china,sleep_repair_cn,,穿越注意力困难，走向睡眠修复的日子,注意力困难恢复期的睡眠修复的陪伴 — 写给千禧一代女性,adhd_focus,millennial_women_professionals,ahjan,false,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,blocked_arc_missing,atoms/millennial_women_professionals/anchored/adhd_focus/CANONICAL.txt;atoms/millennial_women_professionals/adhd_focus/scene/CANONICAL.txt;atoms/millennial_women_professionals/adhd_focus/depth/CANONICAL.txt;atoms/millennial_women_professionals/adhd_focus/teacher/CANONICAL.txt,registry/adhd_focus.yaml,artifacts/books/zh_CN/sleep_repair_cn/adhd_focus_millennial_women_professionals_ahjan.json,composite=0.77; no master_arc matching millennial_women_professionals__adhd_focus__*.yaml under config/source_of_truth/master_arcs/,needs_master_arc
zh_CN,china,sleep_repair_cn,,睡眠修复的注意力困难的同行,注意力困难恢复期的睡眠修复的日子 — 写给科技与金融从业者,adhd_focus,tech_finance_burnout,ahjan,false,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,blocked_arc_missing,atoms/tech_finance_burnout/anchored/adhd_focus/CANONICAL.txt;atoms/tech_finance_burnout/adhd_focus/scene/CANONICAL.txt;atoms/tech_finance_burnout/adhd_focus/depth/CANONICAL.txt;atoms/tech_finance_burnout/adhd_focus/teacher/CANONICAL.txt,registry/adhd_focus.yaml,artifacts/books/zh_CN/sleep_repair_cn/adhd_focus_tech_finance_burnout_ahjan.json,composite=0.79; no master_arc matching tech_finance_burnout__adhd_focus__*.yaml under config/source_of_truth/master_arcs/,needs_master_arc
zh_CN,china,sleep_repair_cn,,睡眠修复的节奏，走出注意力困难,当注意力困难无法停止时的睡眠修复的指引 — 写给 Z 世代职场人,adhd_focus,gen_z_professionals,ahjan,false,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,blocked_arc_missing,atoms/gen_z_professionals/anchored/adhd_focus/CANONICAL.txt;atoms/gen_z_professionals/adhd_focus/scene/CANONICAL.txt;atoms/gen_z_professionals/adhd_focus/depth/CANONICAL.txt;atoms/gen_z_professionals/adhd_focus/teacher/CANONICAL.txt,registry/adhd_focus.yaml,artifacts/books/zh_CN/sleep_repair_cn/adhd_focus_gen_z_professionals_ahjan.json,composite=0.79; no master_arc matching gen_z_professionals__adhd_focus__*.yaml under config/source_of_truth/master_arcs/,needs_master_arc
zh_CN,china,sleep_repair_cn,,睡眠修复的注意力困难指南,走出注意力困难，迈向睡眠修复的日子 — 写给一线响应人员,adhd_focus,first_responders,ahjan,false,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,blocked_arc_missing,atoms/first_responders/anchored/adhd_focus/CANONICAL.txt;atoms/first_responders/adhd_focus/scene/CANONICAL.txt;atoms/first_responders/adhd_focus/depth/CANONICAL.txt;atoms/first_responders/adhd_focus/teacher/CANONICAL.txt,registry/adhd_focus.yaml,artifacts/books/zh_CN/sleep_repair_cn/adhd_focus_first_responders_ahjan.json,composite=0.76; no master_arc matching first_responders__adhd_focus__*.yaml under config/source_of_truth/master_arcs/,needs_master_arc
zh_CN,china,sleep_repair_cn,,注意力困难之后，睡眠修复的日子,睡眠修复的生活，注意力困难恢复的同行者 — 写给教师与教育工作者,adhd_focus,educators,ahjan,false,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,blocked_arc_missing,atoms/educators/anchored/adhd_focus/CANONICAL.txt;atoms/educators/adhd_focus/scene/CANONICAL.txt;atoms/educators/adhd_focus/depth/CANONICAL.txt;atoms/educators/adhd_focus/teacher/CANONICAL.txt,registry/adhd_focus.yaml,artifacts/books/zh_CN/sleep_repair_cn/adhd_focus_educators_ahjan.json,composite=0.76; no master_arc matching educators__adhd_focus__*.yaml under config/source_of_truth/master_arcs/,needs_master_arc
zh_CN,china,sleep_repair_cn,,睡眠修复的节奏，走出注意力困难,当注意力困难无法停止时的睡眠修复的指引 — 写给在职父母,adhd_focus,working_parents,ahjan,false,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,blocked_arc_missing,atoms/working_parents/anchored/adhd_focus/CANONICAL.txt;atoms/working_parents/adhd_focus/scene/CANONICAL.txt;atoms/working_parents/adhd_focus/depth/CANONICAL.txt;atoms/working_parents/adhd_focus/teacher/CANONICAL.txt,registry/adhd_focus.yaml,artifacts/books/zh_CN/sleep_repair_cn/adhd_focus_working_parents_ahjan.json,composite=0.76; no master_arc matching working_parents__adhd_focus__*.yaml under config/source_of_truth/master_arcs/,needs_master_arc
zh_CN,china,sleep_repair_cn,,注意力困难之后，睡眠修复的日子,睡眠修复的生活，注意力困难恢复的同行者 — 写给创业者,adhd_focus,entrepreneurs,ahjan,false,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,blocked_arc_missing,atoms/entrepreneurs/anchored/adhd_focus/CANONICAL.txt;atoms/entrepreneurs/adhd_focus/scene/CANONICAL.txt;atoms/entrepreneurs/adhd_focus/depth/CANONICAL.txt;atoms/entrepreneurs/adhd_focus/teacher/CANONICAL.txt,registry/adhd_focus.yaml,artifacts/books/zh_CN/sleep_repair_cn/adhd_focus_entrepreneurs_ahjan.json,composite=0.76; no master_arc matching entrepreneurs__adhd_focus__*.yaml under config/source_of_truth/master_arcs/,needs_master_arc
zh_CN,china,sleep_repair_cn,,睡眠修复的注意力困难指南,走出注意力困难，迈向睡眠修复的日子 — 写给 Z 世代学生,adhd_focus,gen_z_student,ahjan,false,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,blocked_arc_missing,atoms/gen_z_student/anchored/adhd_focus/CANONICAL.txt;atoms/gen_z_student/adhd_focus/scene/CANONICAL.txt;atoms/gen_z_student/adhd_focus/depth/CANONICAL.txt;atoms/gen_z_student/adhd_focus/teacher/CANONICAL.txt,registry/adhd_focus.yaml,artifacts/books/zh_CN/sleep_repair_cn/adhd_focus_gen_z_student_ahjan.json,composite=0.76; no master_arc matching gen_z_student__adhd_focus__*.yaml under config/source_of_truth/master_arcs/,needs_master_arc
zh_CN,china,sleep_repair_cn,,穿越焦虑，走向睡眠修复的日子,焦虑恢复期的睡眠修复的陪伴 — 写给中层管理者,anxiety,corporate_managers,ahjan,false,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,ready,atoms/corporate_managers/anchored/anxiety/CANONICAL.txt;atoms/corporate_managers/anxiety/scene/CANONICAL.txt;atoms/corporate_managers/anxiety/depth/CANONICAL.txt;atoms/corporate_managers/anxiety/teacher/CANONICAL.txt,registry/anxiety.yaml,artifacts/books/zh_CN/sleep_repair_cn/anxiety_corporate_managers_ahjan.json,composite=0.84,
zh_CN,china,sleep_repair_cn,,睡眠修复的节奏，走出焦虑,当焦虑无法停止时的睡眠修复的指引 — 写给千禧一代女性,anxiety,millennial_women_professionals,ahjan,false,standard_book,standard,pearl_prime_12x10x5,5,docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md,deterministic_by_seed,scripts/run_pipeline.py --pipeline-mode spine,ready,atoms/millennial_women_professionals/anchored/anxiety/CANONICAL.txt;atoms/millennial_women_professionals/anxiety/scene/CANONICAL.txt;atoms/millennial_women_professionals/anxiety/depth/CANONICAL.txt;atoms/millennial_women_professionals/anxiety/teacher/CANONICAL.txt,registry/anxiety.yaml,artifacts/books/zh_CN/sleep_repair_cn/anxiety_millennial_women_professionals_ahjan.json,composite=0.85,
