path	subsystem	currency	purpose	last_commit	note_or_supersede
(1).md	misc	STALE			orphan: not in any authority source, not recent
.pr-body-governance-100.md	devops_ci	STALE	Governance 100% Definition of Done – completion	2026-05-29	orphan: not in any authority source, not recent
ARCHITECTURE_HEALTH_REPORT.md	coordination	STALE	Architecture Health Report	2026-05-29	orphan: not in any authority source, not recent
BRAND_ADMIN_CANONICAL_PACKAGE.md	brand_admin	CURRENT	Brand Admin & Investor Materials — Canonical Package	2026-05-29	
CHANGELOG.md	misc	CURRENT	Changelog	2026-05-29	
CLAUDE.md	misc	CURRENT	Phoenix Omega — GitHub Operations Entry	2026-06-06	
MANGA_CATALOG_GAP_ANALYSIS.md	manga_pipeline	STALE	Manga Catalog Gap Analysis	2026-05-29	orphan: not in any authority source, not recent
MANGA_STRATEGIC_AUDIT_VERDICT.md	manga_pipeline	STALE	Manga Program Strategic Audit — Verdict	2026-05-29	historical (audit/handoff), not in index
ONBOARDING.md	brand_admin	CURRENT	Onboarding a New Developer	2026-05-29	
PRESENTATION_SET_README.md	coordination	CURRENT	Phoenix Omega — Canonical Presentation Set	2026-05-29	
SYSTEM_OWNER_VISION.md	coordination	CURRENT	Phoenix Omega: System Owner Vision & Success Statement	2026-05-29	
TEACHER_MODE_INVARIANTS.md	teacher_mode	CURRENT	TEACHER MODE INVARIANTS	2026-05-29	authority: TEACHER_MODE row context; teacher invariants doc
TEMPLATE_THESIS_VERDICT.md	misc	STALE	TEMPLATE THESIS VERDICT	2026-05-29	orphan: not in any authority source, not recent
docs/48_SOCIAL_GHL_BRAND_ADMIN_SPEC.md	brand_admin	CURRENT	48 Social + GoHighLevel — Brand Admin Operations Spec	2026-05-29	
docs/AGENT_FILE_PERSISTENCE_PROTOCOL.md	platform_ops	CURRENT	Agent File Persistence Protocol	2026-05-29	CLAUDE.md read-first list
docs/AGENT_HANDOFF_SPEC.md	platform_ops	CURRENT	Agent Handoff Spec	2026-06-12	
docs/AGENT_QWEN_API_KEY_LANE.md	platform_ops	CURRENT	Agent instruction — Qwen API key lane (not local runtime)	2026-05-29	
docs/AGENT_SYSTEM_AUDIT_2026_04.md	platform_ops	CURRENT	Phoenix Omega Agent System Audit	2026-05-29	
docs/AGENT_SYSTEM_IMPROVEMENT_SPEC.md	platform_ops	CURRENT	Agent System Improvement Spec	2026-05-29	
docs/ATOM_DEBT_REPAIR_DEV_SPEC.md	core_pipeline	STALE	Atom Debt Repair — Dev Spec (Post-S8 follow-up)	2026-05-29	orphan: not in any authority source, not recent
docs/ATOM_NATIVE_MODULAR_FORMATS.md	core_pipeline	CURRENT	Atom-Native Modular Formats (No Long-Form Cohesion Required)	2026-05-29	
docs/ATOM_SCHEMA_AND_SELECTOR_SPEC.md	core_pipeline	STALE	ATOM SCHEMA AND SELECTOR SPEC	2026-05-29	orphan: not in any authority source, not recent
docs/AUDIOBOOK_LOCALE_CATALOG_MARKETING_PLAN.md	audiobook_pipeline	CURRENT	100% Locale Catalog Marketing Plan	2026-05-29	
docs/AUDIOBOOK_PIPELINE_COMPLETE_GUIDE.md	audiobook_pipeline	CURRENT	Pearl Prime — Audiobook showcase pipeline (complete operator guide)	2026-05-29	
docs/AUDIOBOOK_PIPELINE_SPEC.md	audiobook_pipeline	CURRENT	Audiobook Pipeline Specification — Qwen-Only Comparator Loop	2026-05-29	
docs/AUDIOBOOK_TITLE_AND_CATALOG_MARKETING_SYSTEM.md	audiobook_pipeline	CURRENT	Title and Catalog Marketing System	2026-05-29	
docs/AUDIT_OLD_CHAT_SPECS_VS_V4.md	misc	CURRENT	Audit: old_chat_specs vs Current Phoenix V4 System	2026-05-29	
docs/AUTONOMOUS_IMPROVEMENT_AND_ML_SYSTEM.md	platform_ops	CURRENT	Autonomous Improvement & ML System — Document All	2026-05-29	
docs/AUTO_MERGE_POLICY.md	devops_ci	CURRENT	Auto-merge policy for low-risk agent PRs	2026-05-29	
docs/BESTSELLER_ATOM_ROUTING.md	pearl_prime	STALE	Bestseller Atom Routing Pipeline	2026-05-29	orphan: not in any authority source, not recent
docs/BESTSELLER_GAP_AUDIT.md	pearl_prime	STALE	BESTSELLER GAP AUDIT	2026-05-29	historical (audit/handoff), not in index
docs/BESTSELLER_QUALITY_BENCHMARK_RESEARCH.md	pearl_prime	CURRENT	Bestseller Quality Benchmark Research	2026-05-29	
docs/BESTSELLER_SPINE_WRITER_SPEC.md	pearl_prime	CURRENT	Bestseller Spine Writer Spec	2026-05-29	
docs/BESTSELLER_STRUCTURES.md	pearl_prime	CURRENT	Bestseller Narrative Structures for Self-Help Audiobooks	2026-05-29	
docs/BOOK_001_ASSEMBLY_CONTRACT.md	pearl_prime	CURRENT	BOOK_001 ASSEMBLY CONTRACT	2026-05-29	
docs/BOOK_001_FREEZE.md	pearl_prime	CURRENT	Book_001 — Scope Freeze	2026-05-29	
docs/BOOK_001_POST_MORTEM.md	pearl_prime	CURRENT	Book_001 post-mortem	2026-05-29	
docs/BOOK_001_READINESS_CHECKLIST.md	pearl_prime	CURRENT	BOOK_001 READINESS CHECKLIST	2026-05-29	
docs/BOOK_PLANNING_SYSTEM_SPEC.md	pearl_prime	STALE	Book Planning System — Definitive Specification	2026-05-29	orphan: not in any authority source, not recent
docs/BRANCH_CLEANUP_2026_03_21.md	devops_ci	STALE	Branch Cleanup — 2026-03-21	2026-05-29	dated historical artifact
docs/BRANCH_DISPOSITION_2026_03_20.md	devops_ci	CURRENT	Branch Disposition — 2026-03-20	2026-05-29	
docs/BRANCH_PROTECTION_REQUIREMENTS.md	devops_ci	CURRENT	Branch Protection Requirements	2026-05-29	
docs/BRAND_ADMIN_INFORMATION_GAP_ANALYSIS.md	brand_admin	CURRENT	Brand Admin Information Gap Analysis	2026-05-29	
docs/BRAND_ADMIN_ONBOARDING_CLOUDFLARE_DEPLOYMENT.md	brand_admin	CURRENT	Brand Admin Onboarding — Cloudflare Deployment	2026-05-29	
docs/BRAND_ADMIN_ONBOARDING_PAGES_SPEC.md	brand_admin	CURRENT	Brand Admin Onboarding — Pages Spec	2026-05-29	
docs/BRAND_ADMIN_PRESENTATION_IMPROVEMENT_SPEC.md	brand_admin	CURRENT	Brand Admin Presentation Improvement Spec	2026-05-29	
