session_id	mtime	month	bytes	title_preview	agent_role_guess	theme_tags	triage_score	disposition
08de9c44-a070-4a47-8b14-66b7cf247c70	2026-02-27	2026-02	10255	@Unconfirmed 211209.crdownload desc		pipeline_gates,social_video,governance_ci,covers_brand	10	DEEP
0acf3b70-d113-421a-a504-d0267a661d4f	2026-02-24	2026-02	94900	<attached_files> <code_selection path="/Users/ahjan/.cursor/plans/teacher_mode_strict_and_fallback_e8a610d6.plan.md" lines="1-595"> 1|# Teacher Mode: Full Strictness + Controlled Fallback + TDEL 2| 3|## Current state (problem) 4| 5|- **STOR		pipeline_gates,catalog_atoms,audiobook,research_tooling	10	DEEP
2005e463-bb1a-4aaa-976f-6a51d458209b	2026-02-26	2026-02	124682	@docs/ @specs/ create my english catalog. create the whole catalog. but don't assmble any books.		pipeline_gates,catalog_atoms,translation,covers_brand,audiobook	10	DEEP
2431a4be-0130-4f71-a01d-8f053f615500	2026-02-23	2026-02	131014	@docs/ @specs/ what's left to finish about authros? consider: Here's what "⚠️ Author resolution in pipeline (needs wiring)" means, plain and simple: ## 📌 What It Means **Author resolution** = The system's ability to connect an author ID (e.		pipeline_gates,catalog_atoms,translation,governance_ci,covers_brand,audiobook	10	DEEP
25187212-d60a-4771-8592-6755f3578cd5	2026-02-28	2026-02	13213	@docs/ @specs/ pm say:[Does Pearl Prime (separate from the pipeline) use different book angles, motifs, beat maps, chapter switching, book arc, etc.? No. Right now the Pearl Prime template path does not use: Feature In pipeline? In Pearl Pr	pearl_prime	pipeline_gates,catalog_atoms,audiobook	10	DEEP
3a3e2102-e4cf-4daa-9415-5c15445b31d1	2026-02-28	2026-02	72484	@docs/ @specs/ i have this:[Good, I have a thorough picture now. The 10 slots per chapter are: HOOK (Writer), SCENE_A (System), REFLECTION (Writer), EXERCISE_A (System), STORY_A (System), INSIGHT (Writer), SCENE_B (System), EXERCISE_B (Syst	pearl_prime	pipeline_gates,catalog_atoms,translation,governance_ci,covers_brand,audiobook	10	DEEP
48b3459c-c5a8-4b01-a7a6-f28e5ef3fbb7	2026-02-28	2026-02	477230	for exercises i need a .py that takes current system exercises and createdsa Chinese prompt to reproduce them. Then it uses DeepSeek API Key and gets them written in all chinese dialects. I need a plan to test deep seek text that returns. S	pearl_prime	catalog_atoms,social_video,translation,governance_ci,covers_brand,audiobook	10	DEEP
4f9fb34f-1a27-45ae-916b-40392583602a	2026-02-27	2026-02	8012	@docs/ @specs/ use cli and run a 12 chapter pearl_prime audiobook: gen z, NYC, burnout	pearl_prime	pipeline_gates,catalog_atoms,audiobook	10	DEEP
5d926b84-3f93-422f-8964-4ad5a3ed469b	2026-02-28	2026-02	120526	how will teacher stiff work with this: Chapter Order, Duration, and Engine Assignment Plan Current state Engine: phoenix_v4/planning/engine_resolver.py resolves engine_id from topic_engine_bindings.yaml (deterministic by topic + seed). scri	pearl_prime	pipeline_gates,catalog_atoms,governance_ci,audiobook	10	DEEP
659dd166-1a57-4999-89cc-f3291ec79ca7	2026-02-25	2026-02	223280	@docs/ @specs/ @/Users/ahjan/Downloads/cursor_document_references_for_analysis.md this is the problem:[Short answer: there is not currently one single .py that generates the full 24-brand catalog end-to-end. Current split is: Brand/teacher 		pipeline_gates,catalog_atoms,governance_ci,covers_brand,audiobook,research_tooling	10	DEEP
74e792db-4caf-42d6-81c1-2ff2aaa85a83	2026-02-28	2026-02	301839	@docs/ @specs/ do we have stories ready for all personas and topics in the catalog?		pipeline_gates,catalog_atoms,governance_ci,covers_brand,audiobook	10	DEEP
754099c5-3f08-48ef-b54b-594e0acedaf2	2026-02-27	2026-02	552709	@docs/ @specs/ Excellent catch. You’re absolutely right — enum drift on family_id is the kind of tiny mismatch that silently corrupts alignment logic at scale. Let’s close this properly. ✅ 1️⃣ Family ID Lock (Canonical Binding Required) You		pipeline_gates,catalog_atoms,translation,governance_ci,covers_brand	10	DEEP
7aecfb7d-0549-4f5a-a46a-d8d11ddc750c	2026-02-28	2026-02	20139	what's the intellegence in how we plan what somatic exercises are sloted in what books? desc short simple		pipeline_gates,catalog_atoms	10	DEEP
