lane	status	result	proof_path	handoff	notes
01_substrate_and_refresh_docs_landing	MERGED	MERGED	artifacts/qa/session_mining_specs_do_all_20260718/lane01_foundation_manifest.md	artifacts/coordination/handoffs/session_mining_specs_do_all_foundation_2026-07-18.md	PearlStar foundation ref verified at e0adcfa06bd87d2c8672b482a326768c7d26f6d4.
02_rn1_tuple_viability_repro_fix	MERGED	MERGED	artifacts/qa/session_mining_specs_do_all_20260718/lane02_rn1_tuple_viability.md	artifacts/coordination/handoffs/rn1_tuple_viability_repro_fix_2026-07-18.md	Generic STORY fallback repro fixed; no catalog scale.
03_rn6_boundary_aware_word_clamp	MERGED	MERGED	artifacts/qa/session_mining_specs_do_all_20260718/lane03_rn6_boundary_clamp.md	artifacts/coordination/handoffs/rn6_boundary_aware_word_clamp_2026-07-18.md	Sentence-boundary clamp test and one bounded render passed.
04_rn5_bisac_validator_only	MERGED	MERGED	artifacts/qa/session_mining_specs_do_all_20260718/lane04_rn5_bisac_validator.md	artifacts/coordination/handoffs/rn5_bisac_validator_only_2026-07-18.md	Validator-only; no BISAC map rewrite or catalog rewrite.
05_rn9_docs_index_completeness_gate	MERGED	MERGED	artifacts/qa/session_mining_specs_do_all_20260718/lane05_rn9_docs_index.md	artifacts/coordination/handoffs/rn9_docs_index_completeness_gate_2026-07-18.md	Required-read bootstrap checker added; current missing rows repaired by one DOCS_INDEX line.
06_spec1_atom_depth_manifest	MERGED	MERGED	artifacts/qa/session_mining_specs_do_all_20260718/lane06_spec1_atom_depth_manifest.md	artifacts/coordination/handoffs/spec1_atom_depth_manifest_2026-07-18.md	Measurement-only surface/depth manifest added; no atom text edited.
07_spec2_integrity_gap_map_merge	MERGED	MERGED_NOOP	artifacts/qa/session_mining_specs_do_all_20260718/lane07_spec2_integrity_gap_map.md	artifacts/coordination/handoffs/spec2_integrity_gap_map_merge_2026-07-18.md	PI-1..PI-5 mapped to existing gates/SPEC-1 warnings; no parallel prose module.
08_spec9_plantime_chapter_contract	MERGED	MERGED	artifacts/qa/session_mining_specs_do_all_20260718/lane08_spec9_plantime_chapter_contract.md	artifacts/coordination/handoffs/spec9_plantime_chapter_contract_2026-07-18.md	Current planner emits validated chapter contracts for three bounded cells; render output untouched.
09_spec5_store_series_naming_engine	MERGED	MERGED	artifacts/qa/session_mining_specs_do_all_20260718/lane09_spec5_store_series_naming.md	artifacts/coordination/handoffs/spec5_store_series_naming_engine_2026-07-18.md	Existing naming generator extended with operator-review series mode; all 36 brand plans dry-run only.
10_spec6_free_to_paid_ladder	MERGED	MERGED	artifacts/qa/session_mining_specs_do_all_20260718/lane10_spec6_free_to_paid_ladder.md	artifacts/coordination/handoffs/spec6_free_to_paid_ladder_2026-07-18.md	Existing marketing feed rows carry ladder fields; five brands dry-run; no GHL writes.
11_spec8_artifact_retention_policy	MERGED	MERGED	artifacts/qa/session_mining_specs_do_all_20260718/lane11_spec8_artifact_retention.md	artifacts/coordination/handoffs/spec8_artifact_retention_policy_2026-07-18.md	Dry-run retention manifest/checker added; files_deleted=0, real_offloads=0.
12_spec3_catalog_gpu_dispatcher_dryrun	MERGED	MERGED	artifacts/qa/session_mining_specs_do_all_20260718/lane12_spec3_gpu_dispatcher_dryrun.md	artifacts/coordination/handoffs/spec3_catalog_gpu_dispatcher_dryrun_2026-07-18.md	RenderJob dry-run discovery added for manga and marketing families; live_queue_writes=none.
13_spec4_human_calibrated_judge_packet	MERGED	MERGED	artifacts/qa/session_mining_specs_do_all_20260718/lane13_spec4_human_judge_packet.md	artifacts/coordination/handoffs/spec4_human_calibrated_judge_packet_2026-07-18.md	20-sample advisory rating packet/rubric built; no hard ship gate.
14_spec7_manga_serial_spine_merge	MERGED	MERGED	artifacts/qa/session_mining_specs_do_all_20260718/lane14_spec7_manga_serial_spine.md	artifacts/coordination/handoffs/spec7_manga_serial_spine_merge_2026-07-18.md	Existing serial spine loader extended with multivolume dry-run; no parallel spine and no panel renders.
15_final_integration_audit	PASS	PASS	artifacts/qa/session_mining_specs_do_all_20260718/lane15_final_integration_audit.md	artifacts/coordination/handoffs/session_mining_specs_do_all_final_2026-07-18.md	All lanes terminal; no retired stale items rerun; guardrails preserved.
