brand	genre	topic	series_id	reuse
stillness_press	iyashikei	anxiety	stillness_press__ahjan__en_US__anxiety__the_alarm_is_lying	yes
cognitive_clarity	psychological_thriller	overthinking	cognitive_clarity__en_US__psychological_thriller__series01	yes
warrior_calm_cultivation	mecha	burnout	warrior_calm_cultivation__master_wu__en_US__burnout__the_chassis_is_listening	yes
digital_ground	sci_fi_cyberpunk	burnout	digital_ground__jun_park__en_US__burnout__the_feed_is_louder_than_blood	no
sleep_restoration_iyashikei	iyashikei	sleep	sleep_restoration_iyashikei__mika_shore__en_US__sleep__the_hour_that_wont_arrive	no
somatic_wisdom_shojo	iyashikei	somatic_healing	somatic_wisdom_shojo__yui_han__en_US__somatic_healing__the_shoulder_remembers_first	no
relational_calm_iyashikei	iyashikei	social_anxiety	relational_calm_iyashikei__eli_moss__en_US__social_anxiety__the_door_is_only_a_door	no
healing_ground_healing	dark_fantasy	grief	healing_ground_healing__rowan_vale__en_US__grief__the_forest_keeps_their_names	no
body_memory_shojo	psychological_horror	somatic_healing	body_memory_shojo__nia_crowe__en_US__somatic_healing__the_house_that_flinches	no
minimal_mind_healing	iyashikei	overthinking	minimal_mind_healing__ken_arata__en_US__overthinking__one_cup_no_thesis	no
night_reset_healing	iyashikei	sleep	night_reset_healing__hana_quill__en_US__sleep__the_lamp_stays_on_purpose	no
gentle_growth_healing	iyashikei	self_worth	gentle_growth_healing__sofi_wren__en_US__self_worth__the_plant_that_didnt_ask	no
stabilizer_healing	iyashikei	burnout	stabilizer_healing__cal_reed__en_US__burnout__the_bench_between_shifts	no
career_lift_workplace	workplace_drama	imposter_syndrome	career_lift_workplace__priya_sen__en_US__imposter_syndrome__the_slide_that_isnt_you	no
high_performer_workplace	workplace_drama	burnout	high_performer_workplace__marcus_hale__en_US__burnout__green_on_the_dashboard	no
executive_calm_workplace	workplace_drama	burnout	executive_calm_workplace__irene_cho__en_US__burnout__the_calendar_with_no_white	no
morning_momentum_workplace	sports_competition	burnout	morning_momentum_workplace__taro_beck__en_US__burnout__the_second_lap_is_honest	no
optimizer_workplace	psychological_thriller	overthinking	optimizer_workplace__vera_lin__en_US__overthinking__the_model_that_predicted_him	no
focus_sprint_workplace	sports_competition	adhd_focus	focus_sprint_workplace__jamie_cruz__en_US__adhd_focus__the_whistle_is_not_the_start	no
heart_balance_shojo	iyashikei	social_anxiety	heart_balance_shojo__lila_moon__en_US__social_anxiety__two_cups_on_the_counter	no
trauma_path_healing	dark_fantasy	grief	trauma_path_healing__gareth_thorn__en_US__grief__the_blade_that_wont_sing	no
resilient_parent_social	iyashikei	burnout	resilient_parent_social__dana_brooks__en_US__burnout__the_socks_that_match_enough	no
confidence_core_romance	supernatural_mystery	imposter_syndrome	confidence_core_romance__celeste_rae__en_US__imposter_syndrome__the_mirror_that_borrows_faces	no
relationship_clarity_romance	iyashikei	social_anxiety	relationship_clarity_romance__owen_park__en_US__social_anxiety__the_text_left_on_read_by_choice	no
adhd_forge_mystery	action_battle	adhd_focus	adhd_forge_mystery__rex_dalton__en_US__adhd_focus__the_forge_hears_three_things	no
devotion_path_shonen	dark_fantasy	grief	devotion_path_shonen__iris_vale__en_US__grief__the_second_cup_stays_full	no
stoic_edge_battle	action_battle	courage	stoic_edge_battle__dane_holt__en_US__courage__the_guard_who_lowers_the_shield	no
spiritual_ground_supernatural	supernatural_mystery	grief	spiritual_ground_supernatural__mara_quinn__en_US__grief__the_cold_spot_before_the_name	no
solar_return_isekai	isekai	self_worth	solar_return_isekai__pax_orion__en_US__self_worth__no_resume_in_this_sky	no
legacy_builder_memoir	psychological_thriller	self_worth	legacy_builder_memoir__helen_frost__en_US__self_worth__the_file_labeled_enough	no
bio_flow_healing	sci_fi_cyberpunk	somatic_healing	bio_flow_healing__cyra_moss__en_US__somatic_healing__the_wetware_alarm	no
longevity_lab_healing	iyashikei	somatic_healing	longevity_lab_healing__dr_len_yu__en_US__somatic_healing__the_walk_without_a_metric	no
hormone_reset_healing	iyashikei	somatic_healing	hormone_reset_healing__sable_quinn__en_US__somatic_healing__the_body_changes_the_weather	no
qi_foundation_cultivation	dark_fantasy	somatic_healing	qi_foundation_cultivation__wei_lan__en_US__somatic_healing__the_meridian_that_wouldnt_force	no
creative_unfold_social	supernatural_mystery	social_anxiety	creative_unfold_social__indie_cross__en_US__social_anxiety__the_studio_that_echoes_back	no
calm_student_school	school_coming_of_age	anxiety	calm_student_school__mina_cho__en_US__anxiety__the_bell_is_not_a_verdict	no
bright_presence_tw_seinen	psychological_thriller	social_anxiety	bright_presence_tw_seinen__lin_wei__en_US__social_anxiety__the_room_that_watches_back	no
