concept_key	canonical_path	sha_or_pr	owner_agent	subsystem	edit_not_recreate	last_verified	supersedes	notes	research_refs	doc_refs
pearl_news_sidebar	pearl_news/pipeline/assemble_v52.py	PR#853 8070e81fd	Pearl_News	pearl_news	YES	2026-06-12	-	Pearl News sidebar assembler; high-drift; known-good anchor PR#853. Edit in place, never fork a v53.	docs/research/PEARL_NEWS_QWEN_DEEP_RESEARCH_ENGINE.md	docs/PEARL_NEWS_WRITER_SPEC.md
pearl_prime_bestseller_cli	scripts/run_pipeline.py	PR#669 cbfbe14c3;PR#939	Pearl_Prime	pearl_prime	YES	2026-06-12	-	Canonical bestseller CLI (spine + production + --exercise-journeys per OVERLAY_SPEC sec570-577). One path; do not author a parallel pipeline.	UNKNOWN-BACKFILL	docs/PEARL_PRIME_WHOLE_WORKFLOW_HARDENING_SPEC.md;docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md
manga_brand_canon	config/manga/canonical_brand_list.yaml	PR#722 9205b2307	Pearl_Dev	manga_pipeline	NO-without-ratification	2026-06-12	-	Manga brand canon; changes ripple through whole catalog. New variant requires cap-entry/operator ratification first.	UNKNOWN-BACKFILL	specs/AI_MANGA_PIPELINE_SUMMARY.md;docs/MANGA_IMPLEMENTATION_OUTLINE.md
teacher_real_photos	teacher_pics/;brand-wizard-app/public/teacher_pics/	c513ac18d	Pearl_Brand	dashboard	YES	2026-06-12	-	13-teacher real-photo roster; TWO mirrors restored together. drift = PR#773 manga overwrite at 800x1000; restore both from c513ac18d.	UNKNOWN-BACKFILL	docs/PEARL_ARCHITECT_STATE.md DASH-02;BRAND_ADMIN_CANONICAL_PACKAGE.md
manga_v2_model_arch	docs/specs/MANGA_V5_LAYERED_ARCHITECTURE.md	PR#924 ec46a7223	Pearl_Dev	manga_pipeline	NO-without-ratification	2026-06-12	docs/MANGA_LAYERED_PIPELINE_V2_SCOPE.md	Manga V2 multi-model architecture (Qwen-Image faces, FLUX backgrounds, Animagine XL 4.0 panels, PuLID face-lock). Supersedes the dev-session stub. New arch variant needs ratification.	UNKNOWN-BACKFILL	docs/specs/MANGA_V5_LAYERED_ARCHITECTURE.md;specs/AI_MANGA_PIPELINE_SUMMARY.md;docs/MANGA_IMPLEMENTATION_OUTLINE.md
subsystem_authority_map	artifacts/coordination/SUBSYSTEM_AUTHORITY_MAP.tsv	-	Pearl_PM	pearl_devops	YES	2026-06-12	-	The subsystem->authority-doc->owner map itself; canonical singleton. Append rows, never fork the file.	UNKNOWN-BACKFILL	docs/GITHUB_OPERATIONS_FRAMEWORK.md;docs/GITHUB_GOVERNANCE.md;docs/BRANCH_PROTECTION_REQUIREMENTS.md;CLAUDE.md
llm_policy_enforcement	.github/workflows/llm-policy-enforcement.yml	-	Pearl_DevOps	pearl_devops	YES	2026-06-12	-	Paid-LLM-API ban enforcement workflow. Canonical; edit in place. Pairs with scripts/ci/audit_llm_callers.py.	UNKNOWN-BACKFILL	docs/GITHUB_OPERATIONS_FRAMEWORK.md;docs/GITHUB_GOVERNANCE.md;docs/BRANCH_PROTECTION_REQUIREMENTS.md;CLAUDE.md
docs_index	docs/DOCS_INDEX.md	-	Pearl_PM	pearl_devops	YES	2026-06-12	-	Human doc index; canonical singleton. Add entries, do not create a parallel index.	UNKNOWN-BACKFILL	docs/DOCS_INDEX.md;docs/GITHUB_OPERATIONS_FRAMEWORK.md;docs/GITHUB_GOVERNANCE.md;docs/BRANCH_PROTECTION_REQUIREMENTS.md;CLAUDE.md
pearl_news_wordpress_client	pearl_news/publish/wordpress_client.py	PR#853 8070e81fd	Pearl_News	pearl_news	YES	2026-06-12	-	Canonical WordPress publish client. Newspaper theme uses td_post_template meta (NOT REST-registered; update_post_meta silently no-ops at line 187) — category-based template selection is the working path. Edit in place; never fork a v2 client.	docs/research/PEARL_NEWS_QWEN_DEEP_RESEARCH_ENGINE.md	docs/PEARL_NEWS_WRITER_SPEC.md
pearl_news_reader_signal	pearl_news/pipeline/reader_signal_ingest.py	PR#853 78f115fe3	Pearl_News	pearl_news	YES	2026-06-12	-	Reader-signal ingest backing the sidebar Hot Take Poll + Editorial Take (F4/F5). Function-bearing SHA 78f115fe3; without it the sidebar has buttons but no JS handler. Restore-from-SHA on drift, do not re-author.	docs/research/PEARL_NEWS_QWEN_DEEP_RESEARCH_ENGINE.md	docs/PEARL_NEWS_WRITER_SPEC.md
pearl_news_sidebar_signal_plugin	pearl_news/wp_plugin/pearl-news-signal.php	d0075d31d	Pearl_News	pearl_news	YES	2026-06-12	-	WP must-use plugin serving /wp-json/pearl-news/v1/signal (deployed live on pearlnewsuna.org). Part of the 6-SHA sidebar composite chain. Restore from d0075d31d; live exposes extra routes not yet in repo (Q-PNS-PLUGIN-DRIFT-01).	docs/research/PEARL_NEWS_QWEN_DEEP_RESEARCH_ENGINE.md	docs/PEARL_NEWS_WRITER_SPEC.md
pearl_news_sidebar_parity_gate	scripts/ci/check_pearl_news_sidebar_parity.py	PR#1451 9cd67d0e4	Pearl_News	pearl_news	YES	2026-06-12	-	CI parity gate: renders synthetic article via assemble_v52() and asserts every F-ID fingerprint vs CANONICAL_SIDEBAR_METADATA.json. Wired into pearl-news-daily.yml pre-publish + run_production_readiness_gates.py gate #19. BLOCKS publish on parity-fail.	docs/research/PEARL_NEWS_QWEN_DEEP_RESEARCH_ENGINE.md	docs/PEARL_NEWS_WRITER_SPEC.md
pearl_news_sidebar_gold_master	artifacts/pearl_news/snapshots/CANONICAL_SIDEBAR.html	-	Pearl_News	pearl_news	YES	2026-06-12	-	Gold-master sidebar HTML extracted from live post 3724. Paired with CANONICAL_SIDEBAR_METADATA.json (function fingerprints + composite SHA chain). The snapshot diff regression test pins against this; regenerate only from a verified live render.	docs/research/PEARL_NEWS_QWEN_DEEP_RESEARCH_ENGINE.md	docs/PEARL_NEWS_WRITER_SPEC.md
pearl_news_writer_spec	docs/PEARL_NEWS_WRITER_SPEC.md	-	Pearl_News	pearl_news	YES	2026-06-12	-	Pearl News writer authority doc (per SUBSYSTEM_AUTHORITY_MAP). Includes the §S Sidebar Restoration Protocol. Canonical singleton; amend in place, never fork a parallel writer spec.	docs/research/PEARL_NEWS_QWEN_DEEP_RESEARCH_ENGINE.md	docs/PEARL_NEWS_WRITER_SPEC.md
