rank	config_id	brand	topic	persona	format	locale	confidence_score	tier	rationale
1	stillness_press.anxiety.gen_z_professionals.standard_book.en-US	stillness_press	anxiety	gen_z_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
2	stillness_press.anxiety.midlife_women.standard_book.en-US	stillness_press	anxiety	midlife_women	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
3	stillness_press.anxiety.millennial_women_professionals.standard_book.en-US	stillness_press	anxiety	millennial_women_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
4	stillness_press.anxiety.tech_finance_burnout.standard_book.en-US	stillness_press	anxiety	tech_finance_burnout	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
5	stillness_press.sleep_anxiety.gen_z_professionals.standard_book.en-US	stillness_press	sleep_anxiety	gen_z_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
6	stillness_press.sleep_anxiety.midlife_women.standard_book.en-US	stillness_press	sleep_anxiety	midlife_women	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
7	stillness_press.sleep_anxiety.millennial_women_professionals.standard_book.en-US	stillness_press	sleep_anxiety	millennial_women_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
8	stillness_press.sleep_anxiety.tech_finance_burnout.standard_book.en-US	stillness_press	sleep_anxiety	tech_finance_burnout	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
9	sleep_repair_tw.anxiety.gen_z_professionals.standard_book.en-US	sleep_repair_tw	anxiety	gen_z_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
10	sleep_repair_tw.anxiety.midlife_women.standard_book.en-US	sleep_repair_tw	anxiety	midlife_women	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
11	sleep_repair_tw.anxiety.millennial_women_professionals.standard_book.en-US	sleep_repair_tw	anxiety	millennial_women_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
12	sleep_repair_tw.anxiety.tech_finance_burnout.standard_book.en-US	sleep_repair_tw	anxiety	tech_finance_burnout	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
13	sleep_repair_tw.sleep_anxiety.gen_z_professionals.standard_book.en-US	sleep_repair_tw	sleep_anxiety	gen_z_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
14	sleep_repair_tw.sleep_anxiety.midlife_women.standard_book.en-US	sleep_repair_tw	sleep_anxiety	midlife_women	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
15	sleep_repair_tw.sleep_anxiety.millennial_women_professionals.standard_book.en-US	sleep_repair_tw	sleep_anxiety	millennial_women_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
16	sleep_repair_tw.sleep_anxiety.tech_finance_burnout.standard_book.en-US	sleep_repair_tw	sleep_anxiety	tech_finance_burnout	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
17	stabilizer_tw.anxiety.gen_z_professionals.standard_book.en-US	stabilizer_tw	anxiety	gen_z_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
18	stabilizer_tw.anxiety.midlife_women.standard_book.en-US	stabilizer_tw	anxiety	midlife_women	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
19	stabilizer_tw.anxiety.millennial_women_professionals.standard_book.en-US	stabilizer_tw	anxiety	millennial_women_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
20	stabilizer_tw.anxiety.tech_finance_burnout.standard_book.en-US	stabilizer_tw	anxiety	tech_finance_burnout	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
