lane,locale,brand,brand_locale_name,subject,persona,teacher,teacher_mode,title,subtitle,raw_score,normalized_score,listing_ready,format
book_script,zh_TW,warrior_calm,鐵門出版,courage,first_responders,master_wu,true,勇氣之後，穩定的日子,穩定的生活，勇氣復原的同行者 — 寫給第一線救援人員,0.95,0.95,True,pearl_prime_12x10x5
book_script,zh_TW,sleep_restoration,夜築出版,sleep_anxiety,healthcare_rns,master_sha,true,安睡的步調，走出睡眠焦慮,當睡眠焦慮停不下來時的安睡的指引 — 寫給醫療人員,0.95,0.95,True,pearl_prime_12x10x5
book_script,zh_TW,body_memory,身記出版,grief,healthcare_rns,omote,true,承接的步調，走出悲傷,當悲傷停不下來時的承接的指引 — 寫給醫療人員,0.95,0.95,True,pearl_prime_12x10x5
book_script,zh_TW,body_memory,身記出版,somatic_healing,healthcare_rns,omote,true,承接的身體療癒指引,走出身體療癒，邁向承接的日子 — 寫給醫療人員,0.95,0.95,True,pearl_prime_12x10x5
book_script,zh_TW,cognitive_clarity,明見出版,overthinking,tech_finance_burnout,joshin,true,想太多之後，清明的日子,清明的生活，想太多復原的同行者 — 寫給科技與金融工作者,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_TW,somatic_wisdom,身知出版,somatic_healing,millennial_women_professionals,pamela_fellows,true,穿越身體療癒，走向身體的時光,身體療癒復原途中的身體的陪伴 — 寫給千禧世代女性,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_TW,somatic_wisdom,身知出版,somatic_healing,healthcare_rns,pamela_fellows,true,身體療癒之後，身體的日子,身體的生活，身體療癒復原的同行者 — 寫給醫療人員,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_TW,digital_ground,此刻出版,financial_anxiety,gen_z_professionals,miki,true,踏實的金錢焦慮指引,走出金錢焦慮，邁向踏實的日子 — 寫給 Z 世代專業工作者,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_TW,digital_ground,此刻出版,financial_anxiety,gen_z_student,miki,true,踏實的步調，走出金錢焦慮,當金錢焦慮停不下來時的踏實的指引 — 寫給 Z 世代學生,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_TW,digital_ground,此刻出版,financial_stress,gen_z_professionals,miki,true,經濟壓力之後，踏實的日子,踏實的生活，經濟壓力復原的同行者 — 寫給 Z 世代專業工作者,0.93,0.93,True,pearl_prime_12x10x5
