catalog	brand_id	tier	demographic	primary_topic	secondary_topics	genre_id	genre_source	locale_mix_check	craft_bible	arc_shape_hint	existing_series_id	status	note
en_US	cognitive_clarity	flagship	seinen	overthinking	imposter_syndrome;burnout;boundaries	psychological_thriller	14x37_dna	OK	docs/research/manga_craft/psychological_thriller.md	4 arcs x 12 eps: obsession seed -> spiral -> exposure -> reckoning	cognitive_clarity__ahjan__en_US__overthinking__the_loop_is_not_thinking;cognitive_clarity__en_US__psychological_thriller__series01;cognitive_clarity__en_US__psychological_thriller__illustrated_pilot01	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	digital_ground	flagship	manhwa	burnout	imposter_syndrome;financial_anxiety;anxiety;somatic_healing	sci_fi_cyberpunk	14x37_dna	FLAG_NOT_IN_LOCALE_MIX	docs/research/manga_craft/sci_fi_cyberpunk.md	4 arcs x 12 eps: system optimization -> body/identity cost -> resistance -> re-humanization	digital_ground__jun_park__en_US__burnout__the_feed_is_louder_than_blood;digital_ground__en_US__workplace_drama__illustrated_pilot01	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	stillness_press	flagship	josei	anxiety	somatic_healing;sleep;grief;trauma_recovery	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	stillness_press__en_US__iyashikei__series02;stillness_press__en_US__iyashikei__illustrated_pilot01;stillness_press__yuna_stormwhisper__en_US__overthinking__the_thought_that_wouldnt_die;stillness_press__akira_ironwill__en_US__grief__the_pilot_who_remained;stillness_press__ahjan__en_US__anxiety__the_alarm_is_lying	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	body_memory_shojo	core	josei	somatic_healing	trauma_recovery;shame;grief	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	body_memory_shojo__nia_crowe__en_US__somatic_healing__the_house_that_flinches	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	career_lift_workplace	core	josei	imposter_syndrome	social_anxiety;financial_anxiety;burnout	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	career_lift_workplace__priya_sen__en_US__imposter_syndrome__the_slide_that_isnt_you	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	executive_calm_workplace	core	seinen	burnout	overthinking;financial_anxiety	psychological_thriller	14x37_dna	OK	docs/research/manga_craft/psychological_thriller.md	4 arcs x 12 eps: obsession seed -> spiral -> exposure -> reckoning	executive_calm_workplace__irene_cho__en_US__burnout__the_calendar_with_no_white	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	focus_sprint_workplace	core	seinen	adhd_focus	imposter_syndrome;social_anxiety	sports_competition	14x37_dna	OK	docs/research/manga_craft/sports_competition.md	4 arcs x 12 eps: recruit -> losing streak -> breakthrough -> championship arc	focus_sprint_workplace__jamie_cruz__en_US__adhd_focus__the_whistle_is_not_the_start	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	gentle_growth_healing	core	josei	self_worth	imposter_syndrome;social_anxiety	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	gentle_growth_healing__sofi_wren__en_US__self_worth__the_plant_that_didnt_ask	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	healing_ground_healing	core	josei	grief	boundaries;overthinking	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	healing_ground_healing__rowan_vale__en_US__grief__the_forest_keeps_their_names	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	heart_balance_shojo	core	josei	social_anxiety	boundaries;self_worth	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	heart_balance_shojo__lila_moon__en_US__social_anxiety__two_cups_on_the_counter	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	high_performer_workplace	core	seinen	burnout	financial_anxiety;imposter_syndrome;overthinking	psychological_thriller	14x37_dna	OK	docs/research/manga_craft/psychological_thriller.md	4 arcs x 12 eps: obsession seed -> spiral -> exposure -> reckoning	high_performer_workplace__marcus_hale__en_US__burnout__green_on_the_dashboard	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	minimal_mind_healing	core	seinen	overthinking	anxiety;burnout	psychological_thriller	14x37_dna	OK	docs/research/manga_craft/psychological_thriller.md	4 arcs x 12 eps: obsession seed -> spiral -> exposure -> reckoning	minimal_mind_healing__ken_arata__en_US__overthinking__one_cup_no_thesis	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	morning_momentum_workplace	core	shonen	burnout	courage;self_worth	action_battle	14x37_dna	FLAG_NOT_IN_LOCALE_MIX	docs/research/manga_craft/action_battle.md	4 arcs x 12 eps: inciting fight -> training/rival -> tournament/escalation -> reckoning	morning_momentum_workplace__taro_beck__en_US__burnout__the_second_lap_is_honest	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	night_reset_healing	core	josei	sleep	anxiety;grief	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	night_reset_healing__hana_quill__en_US__sleep__the_lamp_stays_on_purpose	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
