cell	persona	topic	engine	listings	status	source	epub_assembled	detail
corporate_managers__anxiety__comparison	corporate_managers	anxiety	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__anxiety__false_alarm	corporate_managers	anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__anxiety__grief	corporate_managers	anxiety	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__anxiety__overwhelm	corporate_managers	anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__anxiety__shame	corporate_managers	anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__anxiety__spiral	corporate_managers	anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__anxiety__watcher	corporate_managers	anxiety	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__boundaries__comparison	corporate_managers	boundaries	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__boundaries__false_alarm	corporate_managers	boundaries	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__boundaries__shame	corporate_managers	boundaries	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__burnout__grief	corporate_managers	burnout	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__burnout__overwhelm	corporate_managers	burnout	overwhelm	2	VIABLE-UNBUILT	PROJECTED	YES	tuple-viable; build pending
corporate_managers__burnout__watcher	corporate_managers	burnout	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__compassion_fatigue__grief	corporate_managers	compassion_fatigue	grief	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__compassion_fatigue__overwhelm	corporate_managers	compassion_fatigue	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__compassion_fatigue__watcher	corporate_managers	compassion_fatigue	watcher	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__courage__false_alarm	corporate_managers	courage	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__courage__shame	corporate_managers	courage	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__courage__spiral	corporate_managers	courage	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__depression__grief	corporate_managers	depression	grief	2	ASSEMBLED-PASS	BUILT	YES	register PASS
corporate_managers__depression__overwhelm	corporate_managers	depression	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__depression__watcher	corporate_managers	depression	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__financial_anxiety__overwhelm	corporate_managers	financial_anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__financial_anxiety__shame	corporate_managers	financial_anxiety	shame	2	ASSEMBLED-PASS	BUILT	YES	register PASS
corporate_managers__financial_anxiety__spiral	corporate_managers	financial_anxiety	spiral	2	ASSEMBLED-PASS	BUILT	YES	register PASS
corporate_managers__financial_stress__overwhelm	corporate_managers	financial_stress	overwhelm	1	REGISTER-FAIL	BUILT	NO	F2=1, F6=0, F12=0
corporate_managers__financial_stress__shame	corporate_managers	financial_stress	shame	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__financial_stress__spiral	corporate_managers	financial_stress	spiral	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__grief__grief	corporate_managers	grief	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__grief__watcher	corporate_managers	grief	watcher	2	ASSEMBLED-PASS	BUILT	YES	register PASS
corporate_managers__imposter_syndrome__comparison	corporate_managers	imposter_syndrome	comparison	1	ASSEMBLED-PASS	BUILT	YES	register PASS
corporate_managers__imposter_syndrome__shame	corporate_managers	imposter_syndrome	shame	1	ASSEMBLED-PASS	BUILT	YES	register PASS
corporate_managers__overthinking__false_alarm	corporate_managers	overthinking	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__overthinking__spiral	corporate_managers	overthinking	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__overthinking__watcher	corporate_managers	overthinking	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__self_worth__comparison	corporate_managers	self_worth	comparison	2	REGISTER-FAIL	BUILT	NO	F2=1, F6=0, F12=0
corporate_managers__self_worth__shame	corporate_managers	self_worth	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__sleep_anxiety__false_alarm	corporate_managers	sleep_anxiety	false_alarm	2	ASSEMBLED-PASS	BUILT	YES	register PASS
corporate_managers__sleep_anxiety__overwhelm	corporate_managers	sleep_anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__sleep_anxiety__spiral	corporate_managers	sleep_anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__social_anxiety__comparison	corporate_managers	social_anxiety	comparison	2	ASSEMBLED-PASS	BUILT	YES	register PASS
corporate_managers__social_anxiety__false_alarm	corporate_managers	social_anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__social_anxiety__shame	corporate_managers	social_anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__somatic_healing__overwhelm	corporate_managers	somatic_healing	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
corporate_managers__somatic_healing__watcher	corporate_managers	somatic_healing	watcher	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__anxiety__comparison	entrepreneurs	anxiety	comparison	2	ASSEMBLED-PASS	BUILT	YES	register PASS
entrepreneurs__anxiety__false_alarm	entrepreneurs	anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__anxiety__grief	entrepreneurs	anxiety	grief	2	ASSEMBLED-PASS	BUILT	YES	register PASS
entrepreneurs__anxiety__overwhelm	entrepreneurs	anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__anxiety__shame	entrepreneurs	anxiety	shame	2	ASSEMBLED-PASS	BUILT	YES	register PASS
entrepreneurs__anxiety__spiral	entrepreneurs	anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__anxiety__watcher	entrepreneurs	anxiety	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__boundaries__comparison	entrepreneurs	boundaries	comparison	2	ASSEMBLED-PASS	BUILT	YES	register PASS
entrepreneurs__boundaries__false_alarm	entrepreneurs	boundaries	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__boundaries__shame	entrepreneurs	boundaries	shame	2	ASSEMBLED-PASS	BUILT	YES	register PASS
entrepreneurs__burnout__grief	entrepreneurs	burnout	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__burnout__overwhelm	entrepreneurs	burnout	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__burnout__watcher	entrepreneurs	burnout	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__compassion_fatigue__grief	entrepreneurs	compassion_fatigue	grief	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__compassion_fatigue__overwhelm	entrepreneurs	compassion_fatigue	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__compassion_fatigue__watcher	entrepreneurs	compassion_fatigue	watcher	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__courage__false_alarm	entrepreneurs	courage	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__courage__shame	entrepreneurs	courage	shame	2	ASSEMBLED-PASS	BUILT	YES	register PASS
entrepreneurs__courage__spiral	entrepreneurs	courage	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__depression__grief	entrepreneurs	depression	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__depression__overwhelm	entrepreneurs	depression	overwhelm	2	REGISTER-FAIL	BUILT	NO	F2=1, F6=0, F12=0
entrepreneurs__depression__watcher	entrepreneurs	depression	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__financial_anxiety__overwhelm	entrepreneurs	financial_anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__financial_anxiety__shame	entrepreneurs	financial_anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__financial_anxiety__spiral	entrepreneurs	financial_anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__financial_stress__overwhelm	entrepreneurs	financial_stress	overwhelm	1	OTHER-GATE-FAIL	BUILT	NO	book_pass
entrepreneurs__financial_stress__shame	entrepreneurs	financial_stress	shame	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__financial_stress__spiral	entrepreneurs	financial_stress	spiral	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__grief__grief	entrepreneurs	grief	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__grief__watcher	entrepreneurs	grief	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__imposter_syndrome__comparison	entrepreneurs	imposter_syndrome	comparison	1	EXERCISE-BANK-DEFICIT	BUILT	NO	no per-cell EXERCISE atoms
entrepreneurs__imposter_syndrome__shame	entrepreneurs	imposter_syndrome	shame	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__overthinking__false_alarm	entrepreneurs	overthinking	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__overthinking__spiral	entrepreneurs	overthinking	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__overthinking__watcher	entrepreneurs	overthinking	watcher	2	ASSEMBLED-PASS	BUILT	YES	register PASS
entrepreneurs__self_worth__comparison	entrepreneurs	self_worth	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__self_worth__shame	entrepreneurs	self_worth	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__sleep_anxiety__false_alarm	entrepreneurs	sleep_anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
