platform	surface	canvas	native_role	visible_opening_limit	visual_requirements
instagram	feed_portrait	1080x1350	saved, shared, visually led single image	125	large type; one clear focal hierarchy; no crowded caption plates; operator visual QA required
facebook	feed	1200x1500	community context and practical reflection	150	large type; one clear focal hierarchy; no crowded caption plates; operator visual QA required
linkedin	feed_portrait	1080x1350	professional insight with credible utility	140	large type; one clear focal hierarchy; no crowded caption plates; operator visual QA required
pinterest	standard_pin	1000x1500	searchable saveable idea pin	100	large type; one clear focal hierarchy; no crowded caption plates; operator visual QA required
x	image_post	1600x900	fast thesis with a strong visual hook	110	large type; one clear focal hierarchy; no crowded caption plates; operator visual QA required
threads	image_post	1080x1350	human, conversational post with one clear idea	125	large type; one clear focal hierarchy; no crowded caption plates; operator visual QA required
bluesky	image_post	1200x900	smart compact observation with alt text	110	large type; one clear focal hierarchy; no crowded caption plates; operator visual QA required
google_business	square_update	1200x1200	local-service proof, calm and specific	120	large type; one clear focal hierarchy; no crowded caption plates; operator visual QA required
tiktok_reels_shorts	vertical_video	1080x1920	faceless short-form first frame and beats	100	large type; one clear focal hierarchy; no crowded caption plates; operator visual QA required
youtube_shorts	vertical_video	1080x1920	short-form search plus retention	100	large type; one clear focal hierarchy; no crowded caption plates; operator visual QA required
