row_id	row_number	atom_type	row_kind	atom_type_counted	source_status	source_path	source_path_check	atom_family	depth_pattern	rewrite_lane	entry_contract	exit_contract	status	status_reason	final_accountability_gate	unresolved_flag
row-001-STORY_PROGRESS	1	STORY_PROGRESS	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/ch1_actual_atom_architecture/burnout/corporate_managers/en_US.yaml; SOURCE_OF_TRUTH/accent_banks/ch3_12_actual_atom_architecture/burnout/corporate_managers/en_US.yaml	all_exist	protagonist story/scene	PROTAGONIST_STORY_5	04_evidence_case_external_story_parable	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract PROTAGONIST_STORY_5 and accounted for as source deepening target	PASS	no
row-002-BRIDGE	2	BRIDGE	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/ch1_actual_atom_architecture/burnout/corporate_managers/en_US.yaml; SOURCE_OF_TRUTH/accent_banks/ch3_12_actual_atom_architecture/burnout/corporate_managers/en_US.yaml	all_exist	cohesion/flow/transition	COHESION_BRIDGE_3	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract COHESION_BRIDGE_3 and accounted for as source deepening target	PASS	no
row-003-ANALOGY	3	ANALOGY	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/ch1_actual_atom_architecture/burnout/corporate_managers/en_US.yaml; SOURCE_OF_TRUTH/accent_banks/ch3_12_actual_atom_architecture/burnout/corporate_managers/en_US.yaml	all_exist	analogy/metaphor/motif	ANALOGY_BOUNDARY_4	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract ANALOGY_BOUNDARY_4 and accounted for as source deepening target	PASS	no
row-004-ANGLE	4	ANGLE	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/ch3_12_actual_atom_architecture/burnout/corporate_managers/en_US.yaml; config/angles/angle_registry.yaml	all_exist	orientation/framing	ORIENTATION_FRAME_3	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract ORIENTATION_FRAME_3 and accounted for as source deepening target	PASS	no
row-005-AUTHOR_COMMENTARY	5	AUTHOR_COMMENTARY	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/ch1_actual_atom_architecture/burnout/corporate_managers/en_US.yaml; SOURCE_OF_TRUTH/accent_banks/ch3_12_actual_atom_architecture/burnout/corporate_managers/en_US.yaml	all_exist	quote/author disclosure/commentary	AUTHOR_SOURCE_RESTRICTED_4	04_evidence_case_external_story_parable	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	PRESERVED_SHORT	source-restricted voice/quote material preserved; expansion would risk invented disclosure or provenance	PASS	no
row-006-AUTHOR_TOOL_INTRO	6	AUTHOR_TOOL_INTRO	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/ch1_actual_atom_architecture/burnout/corporate_managers/en_US.yaml; SOURCE_OF_TRUTH/accent_banks/ch3_12_actual_atom_architecture/burnout/corporate_managers/en_US.yaml	all_exist	tool/exercise/practice	TOOL_EXERCISE_6	05_tool_exercise_practice	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract TOOL_EXERCISE_6 and accounted for as source deepening target	PASS	no
row-007-CALLBACK_RETURN	7	CALLBACK_RETURN	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/ch1_actual_atom_architecture/burnout/corporate_managers/en_US.yaml; SOURCE_OF_TRUTH/accent_banks/ch3_12_actual_atom_architecture/burnout/corporate_managers/en_US.yaml	all_exist	callback/motif return	CALLBACK_CHANGED_MEANING_4	07_short_rhythm_callback_propulsion	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	PRESERVED_SHORT	CALLBACK_CHANGED_MEANING_4 is expansion-resistant; accountability preserves rhythm unless rendered context requires changed meaning	PASS	no
row-008-CITED_EVIDENCE	8	CITED_EVIDENCE	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/evidence/burnout/entries.yaml	all_exist	evidence/proof	EVIDENCE_RETURN_6	04_evidence_case_external_story_parable	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract EVIDENCE_RETURN_6 and accounted for as source deepening target	PASS	no
row-009-CLOSING_TAKEAWAY	9	CLOSING_TAKEAWAY	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/ch3_12_actual_atom_architecture/burnout/corporate_managers/en_US.yaml; atoms/corporate_managers/burnout/TAKEAWAY/CANONICAL.txt	all_exist	short rhythm/landing/propulsion	SHORT_RHYTHM_2	07_short_rhythm_callback_propulsion	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	PRESERVED_SHORT	SHORT_RHYTHM_2 is expansion-resistant; accountability preserves rhythm unless rendered context requires changed meaning	PASS	no
row-010-COMPOSITE_TEACHING	10	COMPOSITE_TEACHING	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/composite_doctrine/burnout/CANONICAL.txt	all_exist	dense teaching/mechanism	DENSE_MECHANISM_5	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract DENSE_MECHANISM_5 and accounted for as source deepening target	PASS	no
