path	verdict	evidence	confidence
SOURCE_OF_TRUTH/accent_banks/quotes/anxiety/zh_TW.yaml	AMBIGUOUS_VARIANT	only Big5-encodable variant pairs: 污->汙:1 (ambig=1)	MEDIUM (mechanical only; unsampled, but 45/45 sampled peers confirmed legitimate)
SOURCE_OF_TRUTH/accent_banks/quotes/overthinking/zh_TW.yaml	AMBIGUOUS_VARIANT	only Big5-encodable variant pairs: 污->汙:1 (ambig=1)	MEDIUM (mechanical only; unsampled, but 45/45 sampled peers confirmed legitimate)
SOURCE_OF_TRUTH/composite_doctrine/anxiety/locales/zh-TW/CANONICAL.txt	AMBIGUOUS_VARIANT	only Big5-encodable variant pairs: 干->幹:1, 占->佔:1, 台->臺:1 (ambig=3)	MEDIUM (mechanical only; unsampled, but 45/45 sampled peers confirmed legitimate)
SOURCE_OF_TRUTH/practice_library/locales/zh-TW/inbox/thought_experiments_library_34_PRODUCTION_READY.json	AMBIGUOUS_VARIANT	only Big5-encodable variant pairs: 台->臺:5 (ambig=5)	MEDIUM (mechanical only; unsampled, but 45/45 sampled peers confirmed legitimate)
SOURCE_OF_TRUTH/teacher_banks/adi_da/approved_atoms_localized/zh-TW/EXERCISE/adi_da_EXERCISE_000_zh-TW.yaml	AMBIGUOUS_VARIANT	only Big5-encodable variant pairs: 干->幹:1 (ambig=1)	MEDIUM (mechanical only; unsampled, but 45/45 sampled peers confirmed legitimate)
SOURCE_OF_TRUTH/teacher_banks/adi_da/approved_atoms_localized/zh-TW/EXERCISE/adi_da_EXERCISE_001_zh-TW.yaml	AMBIGUOUS_VARIANT	only Big5-encodable variant pairs: 干->幹:1 (ambig=1)	MEDIUM (mechanical only; unsampled, but 45/45 sampled peers confirmed legitimate)
SOURCE_OF_TRUTH/teacher_banks/adi_da/approved_atoms_localized/zh-TW/EXERCISE/adi_da_EXERCISE_008_zh-TW.yaml	AMBIGUOUS_VARIANT	only Big5-encodable variant pairs: 托->託:4 (ambig=4)	MEDIUM (mechanical only; unsampled, but 45/45 sampled peers confirmed legitimate)
SOURCE_OF_TRUTH/teacher_banks/adi_da/approved_atoms_localized/zh-TW/STORY/adi_da_STORY_010_zh-TW.yaml	AMBIGUOUS_VARIANT	only Big5-encodable variant pairs: 干->幹:1 (ambig=1)	MEDIUM (mechanical only; unsampled, but 45/45 sampled peers confirmed legitimate)
SOURCE_OF_TRUTH/teacher_banks/adi_da/approved_atoms_localized/zh-TW/STORY/adi_da_STORY_029_zh-TW.yaml	AMBIGUOUS_VARIANT	only Big5-encodable variant pairs: 托->託:1 (ambig=1)	MEDIUM (mechanical only; unsampled, but 45/45 sampled peers confirmed legitimate)
atoms/corporate_managers/adhd_focus/EXERCISE/locales/zh-TW/CANONICAL.txt	AMBIGUOUS_VARIANT	only Big5-encodable variant pairs: 台->臺:1 (ambig=1)	HIGH (manually context-verified as legitimate Taiwan usage, 45/45 sample confirmed)
