catalog_id,brand_id,lane_id,teacher_id,topic_id,persona_id,format_id,runtime_format_id,content_type,series_id,series_position,title,subtitle,price_usd,keywords,description,cover_brief,companion_type,freebie_slug,estimated_word_count,estimated_chapters,priority,market_viability
CAT-E32709F72B72,inner_light_press_en_us,en_US,ahjan,anxiety,corporate_managers,F003,short_book_30,series_book,SER-279D9C44,1,Calm Signal Series: The Alarm Is Lying,A Nervous System Guide to Anxiety Recovery,0.99,anxiety relief; nervous system regulation; calm anxiety naturally; anxiety recovery; high functioning anxiety; anxiety workbook adults; somatic anxiety,A practical guide to anxiety recovery through body-based techniques and nervous system regulation. Written for professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",workbook,workbook-anxiety,4500-5500,7,WAVE_1,STRONG
CAT-627606EE4165,inner_light_press_en_us,en_US,ahjan,anxiety,corporate_managers,F003,short_book_30,series_book,SER-279D9C44,2,Calm Signal Series: Book 2,Somatic Exercises for Anxiety Relief,4.99,anxiety relief; nervous system regulation; calm anxiety naturally; anxiety recovery; high functioning anxiety; anxiety workbook adults; somatic anxiety,A practical guide to anxiety recovery through body-based techniques and nervous system regulation. Written for professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",workbook,workbook-anxiety,4500-5500,7,WAVE_2,STRONG
CAT-228DA50FF623,inner_light_press_en_us,en_US,ahjan,anxiety,corporate_managers,F003,short_book_30,series_book,SER-279D9C44,3,Calm Signal Series: Book 3,Calming High-Functioning Anxiety at Work,4.99,anxiety relief; nervous system regulation; calm anxiety naturally; anxiety recovery; high functioning anxiety; anxiety workbook adults; somatic anxiety,A practical guide to anxiety recovery through body-based techniques and nervous system regulation. Written for professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",workbook,workbook-anxiety,4500-5500,7,WAVE_2,STRONG
CAT-ECBD4E987AB8,inner_light_press_en_us,en_US,ahjan,anxiety,corporate_managers,F003,short_book_30,series_book,SER-279D9C44,4,Calm Signal Series: Book 4,Breaking the Anxiety Spiral with Body-Based Tools,4.99,anxiety relief; nervous system regulation; calm anxiety naturally; anxiety recovery; high functioning anxiety; anxiety workbook adults; somatic anxiety,A practical guide to anxiety recovery through body-based techniques and nervous system regulation. Written for professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",workbook,workbook-anxiety,4500-5500,7,WAVE_2,STRONG
CAT-3163AAAB177F,inner_light_press_en_us,en_US,ahjan,anxiety,corporate_managers,F003,short_book_30,series_book,SER-279D9C44,5,Calm Signal Series: Book 5,Anxiety Recovery Through Breath and Movement,4.99,anxiety relief; nervous system regulation; calm anxiety naturally; anxiety recovery; high functioning anxiety; anxiety workbook adults; somatic anxiety,A practical guide to anxiety recovery through body-based techniques and nervous system regulation. Written for professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",workbook,workbook-anxiety,4500-5500,7,WAVE_2,STRONG
CAT-FD9B4BBA8407,inner_light_press_en_us,en_US,ahjan,anxiety,corporate_managers,F003,short_book_30,series_book,SER-279D9C44,6,Calm Signal Series: Book 6,Rewiring Anxious Thought Patterns,4.99,anxiety relief; nervous system regulation; calm anxiety naturally; anxiety recovery; high functioning anxiety; anxiety workbook adults; somatic anxiety,A practical guide to anxiety recovery through body-based techniques and nervous system regulation. Written for professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",workbook,workbook-anxiety,4500-5500,7,WAVE_2,STRONG
CAT-591E498E9B0F,inner_light_press_en_us,en_US,ahjan,anxiety,corporate_managers,F003,short_book_30,series_book,SER-279D9C44,7,Calm Signal Series: Book 7,Building an Anxiety-Proof Morning Routine,4.99,anxiety relief; nervous system regulation; calm anxiety naturally; anxiety recovery; high functioning anxiety; anxiety workbook adults; somatic anxiety,A practical guide to anxiety recovery through body-based techniques and nervous system regulation. Written for professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",workbook,workbook-anxiety,4500-5500,7,WAVE_2,STRONG
CAT-B5CB461F6111,inner_light_press_en_us,en_US,ahjan,anxiety,corporate_managers,F015,micro_book_15,micro_book,,0,Safe Enough,How to Calm Anxiety and Reclaim Your Nervous System,3.99,anxiety relief; nervous system regulation; calm anxiety naturally; anxiety recovery; high functioning anxiety; anxiety workbook adults; somatic anxiety,A focused micro-guide to anxiety recovery using evidence-based somatic and nervous system techniques. Designed for professionals who need practical tools in 15 minutes or less.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",none,,2500-3000,5,WAVE_1,STRONG
CAT-6340E2A4E603,inner_light_press_en_us,en_US,ahjan,anxiety,corporate_managers,F006,standard_book,standalone,,0,Safe Enough,How to Calm Anxiety and Reclaim Your Nervous System,4.99,anxiety relief; nervous system regulation; calm anxiety naturally; anxiety recovery; high functioning anxiety; anxiety workbook adults; somatic anxiety,A practical guide to anxiety recovery through body-based techniques and nervous system regulation. Written for professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",workbook,workbook-anxiety,9000-11000,12,WAVE_2,STRONG
CAT-14B5C0D58EC1,inner_light_press_en_us,en_US,ahjan,burnout,corporate_managers,F003,short_book_30,series_book,SER-61A56EC7,1,The Recovery Road Series: The Collapse You Earned,Burnout Recovery for People Who Can't Stop,0.99,burnout recovery; work exhaustion healing; nervous system reset; burnout book professionals; hustle culture recovery; stress management; burnout prevention,A practical guide to burnout recovery through body-based techniques and nervous system regulation. Written for professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",workbook,workbook-burnout,4500-5500,7,WAVE_1,STRONG
CAT-A95E77C9D99C,inner_light_press_en_us,en_US,ahjan,burnout,corporate_managers,F003,short_book_30,series_book,SER-61A56EC7,2,The Recovery Road Series: Book 2,Nervous System Recovery from Work Exhaustion,4.99,burnout recovery; work exhaustion healing; nervous system reset; burnout book professionals; hustle culture recovery; stress management; burnout prevention,A practical guide to burnout recovery through body-based techniques and nervous system regulation. Written for professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",workbook,workbook-burnout,4500-5500,7,WAVE_2,STRONG
CAT-9524155A543A,inner_light_press_en_us,en_US,ahjan,burnout,corporate_managers,F003,short_book_30,series_book,SER-61A56EC7,3,The Recovery Road Series: Book 3,Setting Boundaries to Prevent Burnout,4.99,burnout recovery; work exhaustion healing; nervous system reset; burnout book professionals; hustle culture recovery; stress management; burnout prevention,A practical guide to burnout recovery through body-based techniques and nervous system regulation. Written for professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",workbook,workbook-burnout,4500-5500,7,WAVE_2,STRONG
CAT-61CF742F0BD2,inner_light_press_en_us,en_US,ahjan,burnout,corporate_managers,F003,short_book_30,series_book,SER-61A56EC7,4,The Recovery Road Series: Book 4,Burnout Recovery for High Achievers,4.99,burnout recovery; work exhaustion healing; nervous system reset; burnout book professionals; hustle culture recovery; stress management; burnout prevention,A practical guide to burnout recovery through body-based techniques and nervous system regulation. Written for professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",workbook,workbook-burnout,4500-5500,7,WAVE_2,STRONG
CAT-0B55BF197103,inner_light_press_en_us,en_US,ahjan,burnout,corporate_managers,F003,short_book_30,series_book,SER-61A56EC7,5,The Recovery Road Series: Book 5,Somatic Healing After Prolonged Stress,4.99,burnout recovery; work exhaustion healing; nervous system reset; burnout book professionals; hustle culture recovery; stress management; burnout prevention,A practical guide to burnout recovery through body-based techniques and nervous system regulation. Written for professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",workbook,workbook-burnout,4500-5500,7,WAVE_2,STRONG
CAT-41E152EAA055,inner_light_press_en_us,en_US,ahjan,burnout,corporate_managers,F003,short_book_30,series_book,SER-61A56EC7,6,The Recovery Road Series: Book 6,Rebuilding Energy and Motivation After Burnout,4.99,burnout recovery; work exhaustion healing; nervous system reset; burnout book professionals; hustle culture recovery; stress management; burnout prevention,A practical guide to burnout recovery through body-based techniques and nervous system regulation. Written for professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",workbook,workbook-burnout,4500-5500,7,WAVE_2,STRONG
CAT-401829D86D82,inner_light_press_en_us,en_US,ahjan,burnout,corporate_managers,F003,short_book_30,series_book,SER-61A56EC7,7,The Recovery Road Series: Book 7,Burnout and Identity: Who Am I Without Hustle,4.99,burnout recovery; work exhaustion healing; nervous system reset; burnout book professionals; hustle culture recovery; stress management; burnout prevention,A practical guide to burnout recovery through body-based techniques and nervous system regulation. Written for professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",workbook,workbook-burnout,4500-5500,7,WAVE_2,STRONG
CAT-7B37FB5D013F,inner_light_press_en_us,en_US,ahjan,burnout,corporate_managers,F015,micro_book_15,micro_book,,0,Before You Break,Escaping Burnout and Rebuilding Your Energy,3.99,burnout recovery; work exhaustion healing; nervous system reset; burnout book professionals; hustle culture recovery; stress management; burnout prevention,A focused micro-guide to burnout recovery using evidence-based somatic and nervous system techniques. Designed for professionals who need practical tools in 15 minutes or less.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",none,,2500-3000,5,WAVE_1,STRONG
CAT-AD65ADF0400F,inner_light_press_en_us,en_US,ahjan,burnout,corporate_managers,F006,standard_book,standalone,,0,The Collapse You Earned,Burnout Recovery for People Who Can't Stop,4.99,burnout recovery; work exhaustion healing; nervous system reset; burnout book professionals; hustle culture recovery; stress management; burnout prevention,A practical guide to burnout recovery through body-based techniques and nervous system regulation. Written for professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",workbook,workbook-burnout,9000-11000,12,WAVE_2,STRONG
CAT-BE4C921D5278,awakening_press_en_us,en_US,adi_da,self_worth,gen_z_professionals,F003,short_book_30,series_book,SER-1A0098FA,1,Mirror Work Collection: You Were Always Enough,Rebuilding Self-Esteem and Reclaiming Your Worth,0.99,self esteem books; self worth healing; self love guide; confidence building; feeling worthless recovery; enough self help; body neutrality,A practical guide to self-worth recovery through body-based techniques and nervous system regulation. Written for young professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",practice_guide,assessment-self-worth,4500-5500,7,WAVE_1,STRONG
CAT-F40BB460BF8B,awakening_press_en_us,en_US,adi_da,self_worth,gen_z_professionals,F003,short_book_30,series_book,SER-1A0098FA,2,Mirror Work Collection: Book 2,Somatic Practices for Self-Worth Recovery,4.99,self esteem books; self worth healing; self love guide; confidence building; feeling worthless recovery; enough self help; body neutrality,A practical guide to self-worth recovery through body-based techniques and nervous system regulation. Written for young professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",practice_guide,assessment-self-worth,4500-5500,7,WAVE_2,STRONG
CAT-84EA9E8E5088,awakening_press_en_us,en_US,adi_da,self_worth,gen_z_professionals,F003,short_book_30,series_book,SER-1A0098FA,3,Mirror Work Collection: Book 3,Healing the Inner Critic,4.99,self esteem books; self worth healing; self love guide; confidence building; feeling worthless recovery; enough self help; body neutrality,A practical guide to self-worth recovery through body-based techniques and nervous system regulation. Written for young professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",practice_guide,assessment-self-worth,4500-5500,7,WAVE_2,STRONG
CAT-1A64CE31A8A6,awakening_press_en_us,en_US,adi_da,self_worth,gen_z_professionals,F003,short_book_30,series_book,SER-1A0098FA,4,Mirror Work Collection: Book 4,Self-Worth Beyond Achievement,4.99,self esteem books; self worth healing; self love guide; confidence building; feeling worthless recovery; enough self help; body neutrality,A practical guide to self-worth recovery through body-based techniques and nervous system regulation. Written for young professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",practice_guide,assessment-self-worth,4500-5500,7,WAVE_2,STRONG
CAT-DAC0C6BD0F7C,awakening_press_en_us,en_US,adi_da,self_worth,gen_z_professionals,F003,short_book_30,series_book,SER-1A0098FA,5,Mirror Work Collection: Book 5,Body Image and Self-Esteem Healing,4.99,self esteem books; self worth healing; self love guide; confidence building; feeling worthless recovery; enough self help; body neutrality,A practical guide to self-worth recovery through body-based techniques and nervous system regulation. Written for young professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",practice_guide,assessment-self-worth,4500-5500,7,WAVE_2,STRONG
CAT-D9217B4AA7D5,awakening_press_en_us,en_US,adi_da,self_worth,gen_z_professionals,F003,short_book_30,series_book,SER-1A0098FA,6,Mirror Work Collection: Book 6,Building Confidence from the Inside Out,4.99,self esteem books; self worth healing; self love guide; confidence building; feeling worthless recovery; enough self help; body neutrality,A practical guide to self-worth recovery through body-based techniques and nervous system regulation. Written for young professionals seeking lasting change through evidence-based somatic approaches.,"Minimalist gradient background (muted_blue, warm_sand). Bold sans-serif title in white or dark contrast. Clean, modern, premium feel. No illustrations.",practice_guide,assessment-self-worth,4500-5500,7,WAVE_2,STRONG
