queue_id,brand_id,title,subtitle,topic_id,persona_id,engine,runtime_format_id,content_type,price_usd,priority,keywords
WQ-2026-W14-adhd_forge_en_us-001,adhd_forge_en_us,The Quiet Mind Series: Book 4,Overthinking at Night: A Sleep-Ready Mind,overthinking,gen_z_student,spiral,standard_book,series,3.99,STRONG,stop overthinking book; racing thoughts relief; quiet mind guide; analysis paralysis; worry less book; mental spirals; rumination recovery
WQ-2026-W14-adhd_forge_en_us-002,adhd_forge_en_us,The Steady Ground Collection: Book 4,Breaking the Anxiety Spiral with Body-Based Tools,anxiety,gen_z_professionals,shame,standard_book,series,3.99,STRONG,anxiety relief; nervous system regulation; calm anxiety naturally; anxiety recovery; high functioning anxiety; anxiety workbook adults; somatic anxiety
WQ-2026-W14-adhd_forge_en_us-003,adhd_forge_en_us,False Alarm,When Your Nervous System Lies About Danger,anxiety,gen_z_professionals,spiral,short_book_30,standalone,2.99,STRONG,anxiety relief; nervous system regulation; calm anxiety naturally; anxiety recovery; high functioning anxiety; anxiety workbook adults; somatic anxiety
WQ-2026-W14-adhd_forge_en_us-004,adhd_forge_en_us,The Mask You Wore,How Imposter Syndrome Kept You Small and How to Break Free,imposter_syndrome,gen_z_professionals,shame,short_book_30,standalone,2.99,STRONG,imposter syndrome book; feeling like fraud; self doubt recovery; imposter syndrome women; imposter syndrome work; confidence building; worthy enough
WQ-2026-W14-adhd_forge_en_us-005,adhd_forge_en_us,The Draft You Never Send,Overcoming Overthinking in Communication and Life,overthinking,gen_z_student,comparison,short_book_30,standalone,2.99,STRONG,stop overthinking book; racing thoughts relief; quiet mind guide; analysis paralysis; worry less book; mental spirals; rumination recovery
WQ-2026-W14-adhd_forge_en_us-006,adhd_forge_en_us,The Calm After,A Body-Based Guide to Anxiety Recovery,anxiety,gen_z_professionals,false_alarm,short_book_30,standalone,2.99,STRONG,anxiety relief; nervous system regulation; calm anxiety naturally; anxiety recovery; high functioning anxiety; anxiety workbook adults; somatic anxiety
WQ-2026-W14-adhd_forge_en_us-007,adhd_forge_en_us,You're Not a Fraud,Overcoming Imposter Syndrome and Owning Your Worth,imposter_syndrome,gen_z_professionals,overwhelm,short_book_30,standalone,2.99,STRONG,imposter syndrome book; feeling like fraud; self doubt recovery; imposter syndrome women; imposter syndrome work; confidence building; worthy enough
WQ-2026-W14-adhd_forge_en_us-008,adhd_forge_en_us,Your Brain Is Not the Boss,A Guide to Overcoming Overthinking and Mental Spirals — A Quick Guide,overthinking,gen_z_student,grief,micro_book_15,micro,0.99,STRONG,stop overthinking book; racing thoughts relief; quiet mind guide; analysis paralysis; worry less book; mental spirals; rumination recovery
WQ-2026-W14-adhd_forge_en_us-009,adhd_forge_en_us,Steady Ground,Finding Calm in the Middle of Anxiety — A Quick Guide,anxiety,gen_z_professionals,watcher,micro_book_15,micro,0.99,STRONG,anxiety relief; nervous system regulation; calm anxiety naturally; anxiety recovery; high functioning anxiety; anxiety workbook adults; somatic anxiety
WQ-2026-W14-adhd_forge_en_us-010,adhd_forge_en_us,The Proof Was Always You,An Imposter Syndrome Recovery Guide for Young Professionals — A Quick Guide,imposter_syndrome,gen_z_professionals,spiral,micro_book_15,micro,0.99,STRONG,imposter syndrome book; feeling like fraud; self doubt recovery; imposter syndrome women; imposter syndrome work; confidence building; worthy enough
