brand_id,genre,series_id,topic,title_ja,english_gloss,manga_author,written
adhd_forge_mystery,action_battle,adhd_forge_mystery__ja_JP__action_battle__series01,adhd_focus,精神の砦,Fortress of the Mind,風花 優,True
adhd_forge_mystery,isekai,adhd_forge_mystery__ja_JP__isekai__series01,courage,迷宮勇者の秘密,Mystery of the Maze Warrior,風花 柔,True
adhd_forge_mystery,psychological_thriller,adhd_forge_mystery__ja_JP__psychological_thriller__series01,self_worth,虚像の探偵,Mystery detective unravels illusions,星空 癒,True
adhd_forge_mystery,sports_competition,adhd_forge_mystery__ja_JP__sports_competition__series01,adhd_focus,幻影のゴール,Mystery of focus in sports,雪村 柔,True
bio_flow_healing,historical_period,bio_flow_healing__ja_JP__historical_period__series01,somatic_healing,闇夜の舞踏会,A masquerade ball in the dark night,風花 穏,True
bio_flow_healing,iyashikei,bio_flow_healing__ja_JP__iyashikei__series01,overthinking,風雪の静寂,Silence in Snowstorm,森川 穏,True
bio_flow_healing,psychological_thriller,bio_flow_healing__ja_JP__psychological_thriller__series01,sleep,夢幻連鎖,Mysterious chain linked by dreams,水瀬 癒,True
bio_flow_healing,psychological_thriller,bio_flow_healing__ja_JP__psychological_thriller__series02,somatic_healing,黒き触覚,Sensation-driven psychological thriller,藍沢 凪,True
bio_flow_healing,sci_fi_cyberpunk,bio_flow_healing__ja_JP__sci_fi_cyberpunk__series01,overthinking,虚像ネットワーク,illusionary cybernetic world,風花 蛍,True
bio_flow_healing,sci_fi_cyberpunk,bio_flow_healing__ja_JP__sci_fi_cyberpunk__series02,sleep,電脳睡夢,Cyber Sleep Dreams,風花 泉,True
body_memory_shojo,dark_fantasy,body_memory_shojo__ja_JP__dark_fantasy__series01,somatic_healing,影の舞踏会,Dark fantasy where physical sensations hold the key to fate,海原 凪,True
body_memory_shojo,dark_fantasy,body_memory_shojo__ja_JP__dark_fantasy__series02,trauma_recovery,紅蓮の月夜,Crimson Moonlit Night,桜庭 優,True
body_memory_shojo,iyashikei,body_memory_shojo__ja_JP__iyashikei__series01,shame,桜色の秘密庭園,Cherry Blossom Secret Garden,月影 穏,True
body_memory_shojo,iyashikei,body_memory_shojo__ja_JP__iyashikei__series02,grief,静寂の花咲く庭,Garden where flowers bloom in silence,水瀬 癒,True
body_memory_shojo,psychological_horror,body_memory_shojo__ja_JP__psychological_horror__series01,somatic_healing,闇の囁き,Whispers in the Dark,水瀬 和,True
body_memory_shojo,psychological_horror,body_memory_shojo__ja_JP__psychological_horror__series02,trauma_recovery,睡蓮の記憶,Lotus Memory,白石 癒,True
body_memory_shojo,supernatural_mystery,body_memory_shojo__ja_JP__supernatural_mystery__series01,shame,桜霧の迷宮,Maze of Cherry Mist,白石 凪,True
body_memory_shojo,supernatural_mystery,body_memory_shojo__ja_JP__supernatural_mystery__series02,grief,幽翠楼の秘密,Mystery of the Azure Mansion,星空 泉,True
bright_presence_tw_seinen,historical_period,bright_presence_tw_seinen__ja_JP__historical_period__series01,social_anxiety,麒麟楼の密室,A historical period mystery set in a tense social setting,藍沢 泉,True
bright_presence_tw_seinen,iyashikei,bright_presence_tw_seinen__ja_JP__iyashikei__series01,imposter_syndrome,風林荘のひそかな変奏,Whispering Changes at Fortunes Residence,雪村 泉,True
bright_presence_tw_seinen,psychological_thriller,bright_presence_tw_seinen__ja_JP__psychological_thriller__series01,self_worth,影絵探偵,Shadow Play Detective,森川 柔,True
bright_presence_tw_seinen,romance_josei_drama,bright_presence_tw_seinen__ja_JP__romance_josei_drama__series01,social_anxiety,桜坂の秘密交響曲,Mysteries and romance on a tense cherry blossom lane,星空 凪,True
calm_student_school,iyashikei,calm_student_school__ja_JP__iyashikei__series01,anxiety,風鈴の時間,Bell-ringing moments,藍沢 静,True
calm_student_school,romance_josei_drama,calm_student_school__ja_JP__romance_josei_drama__series01,social_anxiety,春の小声,Whispering Springs,風花 和,True
calm_student_school,school_coming_of_age,calm_student_school__ja_JP__school_coming_of_age__series01,self_worth,桜舞う秘密,Whispering Secrets Amid Cherry Blossoms,風花 楓,True
calm_student_school,supernatural_mystery,calm_student_school__ja_JP__supernatural_mystery__series01,anxiety,月光の囁き,Whisper of Moonlight,風花 泉,True
career_lift_workplace,iyashikei,career_lift_workplace__ja_JP__iyashikei__series01,imposter_syndrome,花の囁き,Whisper of Flowers,藍沢 泉,True
career_lift_workplace,romance_josei_drama,career_lift_workplace__ja_JP__romance_josei_drama__series01,social_anxiety,月光の約束,Promise under the moonlight,星空 静,True
career_lift_workplace,romance_josei_drama,career_lift_workplace__ja_JP__romance_josei_drama__series02,financial_anxiety,桜の秘密契約,A romantic drama set in a high-stress workplace,藍沢 楓,True
career_lift_workplace,supernatural_mystery,career_lift_workplace__ja_JP__supernatural_mystery__series01,burnout,闇の棲み家,Mystery of shadowy abode,星空 蛍,True
career_lift_workplace,supernatural_mystery,career_lift_workplace__ja_JP__supernatural_mystery__series02,imposter_syndrome,鏡花水月,Mystery of reflections and illusions,雪村 柔,True
career_lift_workplace,workplace_drama,career_lift_workplace__ja_JP__workplace_drama__series01,social_anxiety,絹の罠,Silken Trap,桜庭 和,True
career_lift_workplace,workplace_drama,career_lift_workplace__ja_JP__workplace_drama__series02,financial_anxiety,玻璃の階級,Glass Class Levels,桜庭 楓,True
career_lift_workplace,workplace_drama,career_lift_workplace__ja_JP__workplace_drama__series03,burnout,影の昇進,shadow promotion,森川 柔,True
cognitive_clarity,dark_fantasy,cognitive_clarity__ja_JP__dark_fantasy__series01,overthinking,闇の紋章,Dark Fantasy with a cursed mark,水瀬 凪,True
cognitive_clarity,dark_fantasy,cognitive_clarity__ja_JP__dark_fantasy__series02,imposter_syndrome,影の継承者,Inheritor of Shadows,風花 楓,True
cognitive_clarity,dark_fantasy,cognitive_clarity__ja_JP__dark_fantasy__series03,burnout,月食の密約,Lunar Eclipse Pact,海原 静,True
cognitive_clarity,psychological_thriller,cognitive_clarity__ja_JP__psychological_thriller__series01,boundaries,鏡の迷宮,Maze of Mirrors,雪村 凪,True
