locale,brand,title,subtitle,topic,persona,teacher_id,author_id,author_pen_name,allocation_reason
en_US,stillness_press,Quiet From Scatter to Anchor,An Adhd Focus Companion for the Easily Distracted — for mid-level leaders,adhd_focus,corporate_managers,ahjan,kai_okafor,Kai Okafor,primary
en_US,stillness_press,Quiet Brain on Your Side,A Adhd Focus Practice for Neurodivergent Adults — for millennial women professionals,adhd_focus,millennial_women_professionals,ahjan,kai_okafor,Kai Okafor,primary
en_US,stillness_press,Quiet Permission to Drift,Working With Your ADHD Brain Instead of Against It — for tech and finance pros,adhd_focus,tech_finance_burnout,ahjan,kai_okafor,Kai Okafor,primary
en_US,stillness_press,Quiet Brain on Your Side,A Adhd Focus Practice for Neurodivergent Adults — for Gen Z professionals,adhd_focus,gen_z_professionals,ahjan,kai_okafor,Kai Okafor,primary
en_US,stillness_press,Quiet The Loop That Frees You,Adhd Focus for Brains That Won't Sit Still — for frontline workers,adhd_focus,first_responders,ahjan,kai_okafor,Kai Okafor,primary
en_US,stillness_press,Quiet Focus Without Force,A Soft Adhd Focus Guide for Restless Minds — for teachers and educators,adhd_focus,educators,ahjan,kai_okafor,Kai Okafor,primary
en_US,stillness_press,Quiet The Loop That Frees You,Adhd Focus for Brains That Won't Sit Still — for working parents,adhd_focus,working_parents,ahjan,kai_okafor,Kai Okafor,primary
en_US,stillness_press,Quiet Brain on Your Side,A Adhd Focus Practice for Neurodivergent Adults — for founders,adhd_focus,entrepreneurs,ahjan,kai_okafor,Kai Okafor,primary
en_US,stillness_press,Quiet Brain on Your Side,A Adhd Focus Practice for Neurodivergent Adults — for Gen Z students,adhd_focus,gen_z_student,ahjan,kai_okafor,Kai Okafor,primary
en_US,stillness_press,Quiet Safe Enough,How to Calm Anxiety and Reclaim Your Nervous System — for mid-level leaders,anxiety,corporate_managers,ahjan,lena_thorne,Lena Thorne,primary
en_US,stillness_press,Quiet Threshold Calm,Crossing Out of Anxiety One Moment at a Time — for millennial women professionals,anxiety,millennial_women_professionals,ahjan,rowan_beck,Rowan Beck,alternate
en_US,stillness_press,Quiet The Emergency That Never Comes,Breaking Free from High-Functioning Anxiety — for tech and finance pros,anxiety,tech_finance_burnout,ahjan,lena_thorne,Lena Thorne,primary
en_US,stillness_press,Quiet Soft Steadying,A Hands-On Anxiety Recovery Practice — for Gen Z professionals,anxiety,gen_z_professionals,ahjan,rowan_beck,Rowan Beck,alternate
en_US,stillness_press,Quiet Safe Enough,How to Calm Anxiety and Reclaim Your Nervous System — for healthcare workers,anxiety,healthcare_rns,ahjan,lena_thorne,Lena Thorne,primary
en_US,stillness_press,Quiet Ground Where You Stand,A Daily Anxiety Recovery Practice — for frontline workers,anxiety,first_responders,ahjan,rowan_beck,Rowan Beck,alternate
en_US,stillness_press,Quiet Safe Enough,How to Calm Anxiety and Reclaim Your Nervous System — for teachers and educators,anxiety,educators,ahjan,lena_thorne,Lena Thorne,primary
en_US,stillness_press,Quiet Threshold Calm,Crossing Out of Anxiety One Moment at a Time — for working parents,anxiety,working_parents,ahjan,rowan_beck,Rowan Beck,alternate
en_US,stillness_press,Quiet The Alarm Is Lying,A Nervous System Guide to Anxiety Recovery — for founders,anxiety,entrepreneurs,ahjan,lena_thorne,Lena Thorne,primary
en_US,stillness_press,Quiet The Emergency That Never Comes,Breaking Free from High-Functioning Anxiety — for the sandwich generation,anxiety,gen_x_sandwich,ahjan,rowan_beck,Rowan Beck,alternate
en_US,stillness_press,Quiet The Alarm Is Lying,A Nervous System Guide to Anxiety Recovery — for younger students,anxiety,gen_alpha_students,ahjan,lena_thorne,Lena Thorne,primary
en_US,stillness_press,Quiet Soft Steadying,A Hands-On Anxiety Recovery Practice — for Gen Z students,anxiety,gen_z_student,ahjan,rowan_beck,Rowan Beck,alternate
en_US,stillness_press,"Quiet Soft No, Steady Self",A Compassionate Boundaries Practice — for mid-level leaders,boundaries,corporate_managers,ahjan,ruth_alder,Ruth Alder,primary
en_US,stillness_press,Quiet Stop Pouring from an Empty Cup,Boundaries for People Pleasers and Overgivers — for millennial women professionals,boundaries,millennial_women_professionals,ahjan,tara_woodfield,Tara Woodfield,alternate
en_US,stillness_press,Quiet Edge Work,Building Boundaries from the Inside Out — for tech and finance pros,boundaries,tech_finance_burnout,ahjan,ruth_alder,Ruth Alder,primary
en_US,stillness_press,Quiet Stop Pouring from an Empty Cup,Boundaries for People Pleasers and Overgivers — for Gen Z professionals,boundaries,gen_z_professionals,ahjan,tara_woodfield,Tara Woodfield,alternate
en_US,stillness_press,Quiet The No That Saved Me,A Practical Guide to Setting Boundaries and Finding Peace — for healthcare workers,boundaries,healthcare_rns,ahjan,ruth_alder,Ruth Alder,primary
en_US,stillness_press,Quiet Edge Work,Building Boundaries from the Inside Out — for frontline workers,boundaries,first_responders,ahjan,tara_woodfield,Tara Woodfield,alternate
en_US,stillness_press,Quiet Stop Pouring from an Empty Cup,Boundaries for People Pleasers and Overgivers — for teachers and educators,boundaries,educators,ahjan,ruth_alder,Ruth Alder,primary
