persona	topic	engine	format	pre_status	pre_errors	post_status	post_errors	classification
educators	anxiety	false_alarm	F006	PASS	-	PASS	-	already-legal
educators	anxiety	overwhelm	F006	PASS	-	PASS	-	already-legal
educators	anxiety	spiral	F006	PASS	-	PASS	-	already-legal
educators	anxiety	watcher	F006	PASS	-	PASS	-	already-legal
educators	boundaries	overwhelm	F006	FAIL	NO_BINDING;NO_STORY_POOL	FAIL	NO_BINDING;NO_STORY_POOL	illegal-binding (out of scope)
educators	boundaries	shame	F006	PASS	-	PASS	-	already-legal
educators	burnout	overwhelm	F006	PASS	-	PASS	-	already-legal
educators	burnout	shame	F006	FAIL	NO_BINDING;NO_STORY_POOL	FAIL	NO_BINDING;NO_STORY_POOL	illegal-binding (out of scope)
educators	burnout	watcher	F006	PASS	-	PASS	-	already-legal
educators	compassion_fatigue	overwhelm	F006	PASS	-	PASS	-	already-legal
educators	compassion_fatigue	shame	F006	FAIL	NO_BINDING;NO_STORY_POOL	FAIL	NO_BINDING;NO_STORY_POOL	illegal-binding (out of scope)
educators	compassion_fatigue	watcher	F006	PASS	-	PASS	-	already-legal
educators	imposter_syndrome	false_alarm	F006	FAIL	NO_STORY_POOL	PASS	-	REPAIRED (canonical atoms authored)
educators	imposter_syndrome	shame	F006	PASS	-	PASS	-	already-legal (REFLECTION pool depth gap found downstream, see report)
nyc_executives	adhd_focus	comparison	F006	PASS	-	PASS	-	already-legal
nyc_executives	adhd_focus	overwhelm	F006	PASS	-	PASS	-	already-legal
nyc_executives	adhd_focus	shame	F006	PASS	-	PASS	-	already-legal
nyc_executives	anxiety	false_alarm	F006	PASS	-	PASS	-	already-legal
nyc_executives	anxiety	overwhelm	F006	PASS	-	PASS	-	already-legal
nyc_executives	anxiety	shame	F006	PASS	-	PASS	-	already-legal
nyc_executives	anxiety	spiral	F006	FAIL	BAND_DEFICIT:missing_band_1	PASS	-	REPAIRED (band-1 atom authored) — PROVEN via full spine build
nyc_executives	anxiety	spiral	F015	PASS	-	PASS	-	already-legal
nyc_executives	anxiety	watcher	F006	FAIL	BAND_DEFICIT:missing_band_1	PASS	-	REPAIRED (band-1 atom authored)
nyc_executives	boundaries	shame	F004	PASS	-	PASS	-	already-legal
nyc_executives	boundaries	shame	F006	PASS	-	PASS	-	already-legal
nyc_executives	burnout	overwhelm	F006	PASS	-	PASS	-	already-legal
nyc_executives	burnout	shame	F006	FAIL	NO_BINDING;NO_STORY_POOL	FAIL	NO_BINDING;NO_STORY_POOL	illegal-binding (out of scope)
nyc_executives	burnout	watcher	F006	PASS	-	PASS	-	already-legal
nyc_executives	imposter_syndrome	comparison	F006	PASS	-	PASS	-	already-legal
nyc_executives	imposter_syndrome	false_alarm	F006	FAIL	NO_STORY_POOL	PASS	-	REPAIRED (canonical atoms authored)
nyc_executives	imposter_syndrome	shame	F006	PASS	-	PASS	-	already-legal
nyc_executives	mindfulness	comparison	F006	PASS	-	PASS	-	already-legal
nyc_executives	mindfulness	overwhelm	F006	PASS	-	PASS	-	already-legal
nyc_executives	mindfulness	shame	F006	PASS	-	PASS	-	already-legal
nyc_executives	overthinking	spiral	F006	PASS	-	PASS	-	already-legal
nyc_executives	self_worth	shame	F006	PASS	-	PASS	-	already-legal
