atom_id	persona	topic	locale	voice_id	params_hash	char_count	r2_key	bytes	sha256	status	speakable_preview	speakable_text
EVG-ENUS-ADDI-CORP-B-01	corporate_managers	addiction	en-US	english_male	12d67b29796a0b84	114	social_media/voice_bank/20260719b/mp3/en-US/corporate_managers/addiction/EVG-ENUS-ADDI-CORP-B-01.mp3	69062	635e4bf6e8dcd98e3a3932ca5655f13e8e87868f11e46cff21331746f7fd9e01	ok	That is the hinge. Once the signal is named, the next atom should offer one acti	That is the hinge. Once the signal is named, the next atom should offer one action instead of another explanation.
EVG-ENUS-ADDI-CORP-B-02	corporate_managers	addiction	en-US	english_male	2fb05313c43d5271	128	social_media/voice_bank/20260719b/mp3/en-US/corporate_managers/addiction/EVG-ENUS-ADDI-CORP-B-02.mp3	63103	48c816c1a3569cd923004111acea6dcffd658993d4fe319c11f412e19a77ee50	ok	From here, the post should move from recognition to relief, because recognition 	From here, the post should move from recognition to relief, because recognition without a tool can leave the reader open-looped.
EVG-ENUS-ADDI-CORP-B-03	corporate_managers	addiction	en-US	english_male	e974c7e705a27d58	107	social_media/voice_bank/20260719b/mp3/en-US/corporate_managers/addiction/EVG-ENUS-ADDI-CORP-B-03.mp3	66037	4d700e95aa46029b0d1a269e2fae90fc6372a29ba3004eb6c3a0b7f3ab48048e	ok	This is where the assembly turns practical. The body signal sets up the reset. A	This is where the assembly turns practical. The body signal sets up the reset. And the reset earns the CTA.
EVG-ENUS-ADDI-CORP-CA-01	corporate_managers	addiction	en-US	english_male	87cf6065515d11c9	61	social_media/voice_bank/20260719b/mp3/en-US/corporate_managers/addiction/EVG-ENUS-ADDI-CORP-CA-01.mp3	33129	6577f36d97793e8573fc84952e7bd6ae2239b5a6f94c3574902e03b7ecfee811	ok	Comment PAUSE if you want the draft checklist for this reset.	Comment PAUSE if you want the draft checklist for this reset.
EVG-ENUS-ADDI-CORP-CA-02	corporate_managers	addiction	en-US	english_male	221aece81e7e60bd	117	social_media/voice_bank/20260719b/mp3/en-US/corporate_managers/addiction/EVG-ENUS-ADDI-CORP-CA-02.mp3	61257	e26173dec5351bb3f034d275e0124864a7f931c798b0eec8a9c0fb8ae6392d51	ok	Save this for your next between back-to-back meetings. One reread is easier than	Save this for your next between back-to-back meetings. One reread is easier than reinventing the tool while stressed.
EVG-ENUS-ADDI-CORP-CA-03	corporate_managers	addiction	en-US	english_male	5631c9f7cda34302	68	social_media/voice_bank/20260719b/mp3/en-US/corporate_managers/addiction/EVG-ENUS-ADDI-CORP-CA-03.mp3	36026	9ac241bf36cfbc9f1936b0d93ee35fb3c9c286aaae4ce5e7ceab6d1c0aeb5dfe	ok	Share this with someone who is negotiating with a craving right now.	Share this with someone who is negotiating with a craving right now.
EVG-ENUS-ADDI-CORP-HC-01	corporate_managers	addiction	en-US	english_male	c057d3f1bd38f548	94	social_media/voice_bank/20260719b/mp3/en-US/corporate_managers/addiction/EVG-ENUS-ADDI-CORP-HC-01.mp3	64972	7e6f1af905cfdc32a9b894581ac4f28a8a90240b2b66f84f2ed922ed0e121406	ok	Corporate managers. Expecting willpower alone to out-argue the craving is not th	Corporate managers. Expecting willpower alone to out-argue the craving is not the whole story.
EVG-ENUS-ADDI-CORP-HC-02	corporate_managers	addiction	en-US	english_male	b5988e4ad5af5310	86	social_media/voice_bank/20260719b/mp3/en-US/corporate_managers/addiction/EVG-ENUS-ADDI-CORP-HC-02.mp3	43237	12aeb8e3d61bb099711315f1451330261c8594666d3c8f5de9555f9a615b8f3a	ok	If a craving before the reason is familiar, this craving pattern needs a better 	If a craving before the reason is familiar, this craving pattern needs a better reset.
EVG-ENUS-ADDI-CORP-HC-03	corporate_managers	addiction	en-US	english_male	f70a258c4994ea87	102	social_media/voice_bank/20260719b/mp3/en-US/corporate_managers/addiction/EVG-ENUS-ADDI-CORP-HC-03.mp3	42927	0ee81384b05c3150c7dc2c671f7d3abe816efb7247af925bd3e183985cf8b2cc	ok	The hidden cost of addiction is not lack of willpower. It is a shortcut the brai	The hidden cost of addiction is not lack of willpower. It is a shortcut the brain won't stop offering.
EVG-ENUS-ADDI-CORP-ME-01	corporate_managers	addiction	en-US	english_male	ee3c2181696ec426	201	social_media/voice_bank/20260719b/mp3/en-US/corporate_managers/addiction/EVG-ENUS-ADDI-CORP-ME-01.mp3	100174	0730d0fd6a0d9e6f21b8103bfb64044509d28341ad483661281efa7b3c5f2821	ok	The mechanism is simple. The brain has learned a fast, reliable way to change ho	The mechanism is simple. The brain has learned a fast, reliable way to change how a hard moment feels. That is why a better addiction post gives the reader a concrete action, not a motivational slogan.
