path	why	confidence	what_it_would_break_if_any	verification_done
.pr-body-governance-100.md	Stray PR-body scratch file left at repo root (governance DoD PR body); content lives in docs/GITHUB_GOVERNANCE_PLAN.md. Only self-ref + a mention in artifacts/governance/README.md.	HIGH	Nothing in code/CI. artifacts/governance/README.md mention is descriptive only.	git grep: no .py/.yml/.swift refs; only self + README prose
specs/PHOENIX_OMEGA_V4_COMPLETE_SPEC (1).md	Duplicate of an ALREADY-archived superseded spec: identical-named file exists at archive/PHOENIX_OMEGA_V4_COMPLETE_SPEC (1).md (archive/README explicitly marks it "Do not use… superseded by canonical spec"). The specs/ copy is a stray left in the live spec dir; has the macOS " (1)" dup-suffix.	HIGH	Nothing. Canonical = specs/PHOENIX_V4_CANONICAL_SPEC.md / PHOENIX_ARC_FIRST_CANONICAL_SPEC.md. Not in DOCS_INDEX, not imported.	git ls-tree: copy in both specs/ and archive/; archive/README declares it superseded
phoenix_catalog_1008.json	Root-level legacy catalog export; no .py/.yaml/.yml/.jsx reference. Superseded by config/source_of_truth/ + generated catalog bundles.	HIGH	Nothing in code. Referenced only in stale artifacts/media_html_paths_inventory*.txt and an .rtf.	git grep: 0 code refs (non-md, non-artifact)
phoenix_catalog_v4_1008.json	Root-level legacy catalog export (v4 sibling of above); no code reference.	HIGH	Nothing in code/CI.	git grep: 0 code refs
us_catalog_sample.json	Root-level sample catalog JSON; no code reference; superseded by SSOT-generated catalogs.	HIGH	Nothing.	git grep: 0 code refs
bold modern.jpg	Root-level stray image (space in name); no reference from any .py/.yaml/.html/.jsx. Looks like a cover-design scratch asset.	HIGH	Nothing; not wired to any cover/brand asset path.	git grep: 0 refs
premium.jpg	Root-level stray image; no reference anywhere in code/HTML.	HIGH	Nothing.	git grep: 0 refs
phoenix_title_engine.py	Unversioned root title engine, superseded by phoenix_title_engine_v4.py (the imported one). NOTE: system_registry.yaml has a GLOB phoenix_title_engine*.py that would still match v4 after removal, but governance scan expectations should be re-checked.	MED	Low risk: tests import _v4 explicitly; only the glob in config/governance/system_registry.yaml L15 matches the bare name. Removing it could change system_registry change-detection coverage — adjust the glob to phoenix_title_engine_v4.py first.	git grep: only system_registry glob + inventory CSVs; test imports _v4
phoenix_title_engine_v3.py	Superseded versioned root title engine (v4 is canonical/imported). Only referenced by 2026-04 inventory CSVs (themselves stale).	MED	Low: nothing imports v3. Verify no archived run scripts call it before removal.	git grep: only inventory CSVs (stale) reference it
revenue_dashboard.jsx	Root-level standalone dashboard component; 0 non-self references; dashboard surface is now brand-wizard-app/public/exec_catalog_dashboard.html + revenue work in brand_admin.	MED	Possibly nothing; confirm no manual operator workflow opens it directly. Not imported by brand-wizard-app build.	git grep: 0 non-self refs
regen_files.py	Root-level one-off regen script; 0 non-self references; no CI invocation.	MED	Likely nothing; verify it is not a documented manual recovery tool before removal.	git grep: 0 non-self refs
