claim	file	evidence	status
mode CLI surface	scripts/manga/run_series_setup.py	--mode teacher|music	completed
mode CLI surface	scripts/run_manga_pipeline.py	--mode teacher|music → run_one_book → emit_series_setup	completed
mode emit plumbing	phoenix_v4/manga/series/emit.py	build_series_artifact_bundle/emit_series_setup pass mode=	completed
mode architect	phoenix_v4/manga/series/story_architect.py	build_story_architecture_internal stamps mode+mode_vessel+genre_id	completed
mode handoff	phoenix_v4/manga/transmission.py	preserves genre_id/genre + mode/mode_vessel	completed
genre on chapter script	phoenix_v4/manga/chapter/writer_stub.py	stamps genre_id/genre/mode from handoff	completed
genre on chapter script	phoenix_v4/manga/chapter/writer.py	_normalize_pair stamps genre/mode when absent	completed
honest CI smoke	scripts/ci/smoke_manga_chapter_runner.py	asserts declared genre; no patch	completed
honest e2e	tests/test_manga_chapter_runner_e2e_replay.py	asserts genre_id; no patch	completed
unit coverage	tests/test_manga_series_setup.py	teacher+music mode/genre propagation tests	completed
proof M4	artifacts/qa/.../prove_m4.log	BEHAVIORAL DIFF: PASS	completed
proof setup teacher	artifacts/qa/.../series_setup_teacher/series/story_architecture_internal.json	mode=teacher vessel=tea-house hands	completed
proof setup music	artifacts/qa/.../series_setup_music/series/story_architecture_internal.json	mode=music vessel=wind-chime	completed
proof pipeline teacher	artifacts/qa/.../pipeline_teacher_iyashikei/workspace/chapter_script_writer_handoff.json	genre_id=iyashikei; no GENRE_ENGINE_UNDECLARED	completed
proof pipeline music	artifacts/qa/.../pipeline_music_iyashikei/workspace/chapter_script_writer_handoff.json	genre_id=iyashikei mode=music	completed
proof CI smoke	artifacts/qa/.../smoke_chapter_runner.log	smoke_manga_chapter_runner: OK	completed
proof pytest	artifacts/qa/.../pytest.log	9 passed	completed
ghost doc	docs/MANGA_BESTSELLER_STORY_WRITING_GUIDE.md	absent on a08403fa; not invented	unresolved
